osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction,access
27723359,True,A407,High Road,primary,30 mph,False,28.269,"LINESTRING (-0.2469486 51.5492118, -0.2473282 51.5491174)",,,,
27793787,False,,Chapel Close,residential,,False,153.757,"LINESTRING (-0.2469486 51.5492118, -0.2469756 51.5492561, -0.2470749 51.5494191, -0.2470472 51.5495438, -0.2470594 51.5497422, -0.2471452 51.5498329, -0.2473323 51.5499389, -0.2473697 51.5499759, -0.2475829 51.5504894)",,,,
1137199421,False,,Suffolk Road,residential,30 mph,True,12.47,"LINESTRING (-0.2526232 51.5447445, -0.2527816 51.5447981)",,,,
"[1072740893, 393242437]",True,A407,Church Road,primary,30 mph,False,162.791,"LINESTRING (-0.2526232 51.5447445, -0.2527381 51.5446126, -0.2532261 51.5440445, -0.2537366 51.5434546)",,,,
"[962098161, 10321502]",False,,Suffolk Road,residential,"['20 mph', '30 mph']",False,88.108,"LINESTRING (-0.2526232 51.5447445, -0.2525762 51.5447264, -0.2525241 51.5447064, -0.2524954 51.5446959, -0.2524668 51.5446854, -0.2517731 51.5444579, -0.2515836 51.5443957, -0.2515017 51.5443689)",,,,
10321771,False,,Church Road,tertiary,,True,20.974,"LINESTRING (-0.2494477 51.5476002, -0.2492382 51.5477366)",,,,
4242933,False,,Roundwood Road,tertiary,,False,60.915,"LINESTRING (-0.2494477 51.5476002, -0.2493966 51.5475514, -0.2489668 51.5471412)",,,,
10321771,False,,Church Road,tertiary,,False,28.139000000000003,"LINESTRING (-0.2494477 51.5476002, -0.2497151 51.5474538, -0.2497642 51.547446)",,,,
"[27723354, 1137246390]",True,B453,Neasden Lane,secondary,30 mph,False,67.697,"LINESTRING (-0.2492465 51.5495456, -0.2492205 51.54939, -0.2492089 51.5493204, -0.2491613 51.5492264, -0.2490849 51.5491442, -0.2489882 51.5490724, -0.2488898 51.5489994)","['1', '2']",,,
27723357,False,A407,Craven Park,primary,30 mph,True,4.893,"LINESTRING (-0.2548625 51.5420999, -0.2548518 51.5421434)",,,,
10321320,False,,West Ella Road,residential,,False,283.382,"LINESTRING (-0.2548625 51.5420999, -0.2547383 51.5421047, -0.2540212 51.5421692, -0.2539034 51.5421975, -0.2528155 51.5424954, -0.2527662 51.5425699, -0.2532948 51.5433139, -0.2536599 51.5434302, -0.2537366 51.5434546)",,,,
10321382,False,,Craven Park,tertiary,30 mph,True,47.407000000000004,"LINESTRING (-0.2548625 51.5420999, -0.2549703 51.5421512, -0.2550526 51.5422424, -0.2552073 51.5423646, -0.2553187 51.5424081)",,,,
27723357,False,A407,Craven Park,primary,30 mph,False,26.667,"LINESTRING (-0.2548625 51.5420999, -0.2548536 51.5419871, -0.2547912 51.5418663)",,,,
27723357,False,A407,Craven Park,primary,30 mph,False,4.893,"LINESTRING (-0.2548518 51.5421434, -0.2548625 51.5420999)",,,,
27723352,True,A407,Church Road,primary,30 mph,False,49.03,"LINESTRING (-0.2548518 51.5421434, -0.2548446 51.5422931, -0.2547433 51.542424, -0.2546417 51.5425555)",,,,
8136493,False,,Roundwood Road,tertiary,,True,57.753,"LINESTRING (-0.2474831 51.5456829, -0.2479711 51.5461044)",,,,
8136493,False,,Roundwood Road,tertiary,,False,73.392,"LINESTRING (-0.2474831 51.5456829, -0.2472073 51.5454266, -0.2468899 51.5451356)",,,,
"[930480417, 59852062]",False,,Fawcett Road,residential,,False,64.217,"LINESTRING (-0.2473043 51.5419109, -0.2473713 51.5419374, -0.2476421 51.5421187, -0.2478537 51.5422972, -0.24793 51.5423321)",,,,
27719239,False,,Woodheyes Road,residential,,False,41.263,"LINESTRING (-0.255762 51.5501324, -0.2555583 51.5497836)",,,,
"[8417793, 8432996, 43765783]",False,,Bridge Road,residential,,False,311.09700000000004,"LINESTRING (-0.255762 51.5501324, -0.2559165 51.549751, -0.2559521 51.5496631, -0.2559533 51.54966, -0.255958 51.5495712, -0.2559193 51.549493, -0.2558897 51.5494487, -0.2556281 51.5491693, -0.2554167 51.5489435, -0.254987 51.5484845, -0.2547526 51.5482341, -0.2545379 51.5479903, -0.2544975 51.5479166, -0.2545408 51.5478159, -0.2546826 51.5476073)",,,,
1010166849,False,,Tunley Road,residential,,False,41.618,"LINESTRING (-0.2521244 51.541763, -0.2520699 51.5417644, -0.2515716 51.5417772, -0.2515231 51.5417782)",,,,
1010166849,False,,Tunley Road,residential,,True,41.618,"LINESTRING (-0.2515231 51.5417782, -0.2515716 51.5417772, -0.2520699 51.5417644, -0.2521244 51.541763)",,,,
