osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,lanes,junction
17866661,False,M 52,North Broad Street,primary,25 mph,True,158.323,"LINESTRING (-84.032408 41.900748, -84.0324741 41.9006413, -84.033209 41.899455)",,,
143497348,False,M 52,East Front Street,primary,25 mph,False,221.119,"LINESTRING (-84.032408 41.900748, -84.0325402 41.9007912, -84.0331967 41.9010059, -84.0335555 41.9011233, -84.0340321 41.9012792, -84.0343052 41.9013685, -84.0346647 41.9014861, -84.034854 41.901548)",,,
143497375,False,,North Broad Street,residential,,False,67.535,"LINESTRING (-84.032408 41.900748, -84.0323492 41.9008386, -84.0321037 41.9012165, -84.0320528 41.9012948)",,,
17860081,False,,West Front Street,tertiary,25 mph,False,111.824,"LINESTRING (-84.034854 41.901548, -84.0350643 41.9016254, -84.0351998 41.9016753, -84.0356097 41.9018263, -84.0358351 41.9019094, -84.0359718 41.9019597, -84.036065 41.901994)",,,
143497348,False,M 52,East Front Street,primary,25 mph,True,221.119,"LINESTRING (-84.034854 41.901548, -84.0346647 41.9014861, -84.0343052 41.9013685, -84.0340321 41.9012792, -84.0335555 41.9011233, -84.0331967 41.9010059, -84.0325402 41.9007912, -84.032408 41.900748)",,,
574766445,False,,North Main Street,tertiary,,True,143.61700000000002,"LINESTRING (-84.034854 41.901548, -84.0348999 41.901477, -84.035085 41.9011905, -84.0351521 41.9010866, -84.0355676 41.9004434, -84.035606 41.900384)",,,
17868577,False,,Allis Street,residential,,False,186.122,"LINESTRING (-84.043001 41.89426, -84.04208 41.895787)",,,
17859738,False,,Pearl Street,residential,,False,146.346,"LINESTRING (-84.038195 41.898525, -84.0388815 41.898739, -84.0398259 41.8990335)",,,
17862039,False,,South Winter Street,tertiary,25 mph,False,77.944,"LINESTRING (-84.038195 41.898525, -84.0383484 41.8982544, -84.0385612 41.8978792)",,,
17862039,False,,South Winter Street,tertiary,25 mph,True,95.803,"LINESTRING (-84.038195 41.898525, -84.0381536 41.8985933, -84.0379745 41.8988886, -84.03797 41.898896, -84.0377733 41.8992146, -84.037715 41.899309)",,,
17859738,False,,Pearl Street,residential,,True,146.346,"LINESTRING (-84.0398259 41.8990335, -84.0388815 41.898739, -84.038195 41.898525)",,,
157866274,False,,College Avenue,residential,,True,88.49,"LINESTRING (-84.0398259 41.8990335, -84.0406462 41.8985997, -84.0406975 41.8985726)",,,
1044342800,False,,College Avenue,residential,,False,102.65700000000001,"LINESTRING (-84.0398259 41.8990335, -84.0396509 41.8991463, -84.0395456 41.8992747, -84.0392774 41.8997268, -84.0392197 41.899824)",,,
"[157866274, 17862717, 157866263]",False,,College Avenue,residential,,False,65.60399999999998,"LINESTRING (-84.0424379 41.8975871, -84.042273 41.8976675, -84.0421558 41.8977246, -84.042099 41.8977523, -84.0418851 41.8978682, -84.041789 41.8979253)",yes,,
17862039,False,,South Winter Street,tertiary,25 mph,False,95.803,"LINESTRING (-84.037715 41.899309, -84.0377733 41.8992146, -84.03797 41.898896, -84.0379745 41.8988886, -84.0381536 41.8985933, -84.038195 41.898525)",,,
143497381,False,,North Winter Street,tertiary,25 mph,True,180.30600000000004,"LINESTRING (-84.037715 41.899309, -84.0376693 41.8993846, -84.0374748 41.8997068, -84.0372508 41.9000778, -84.0372417 41.9000928, -84.0370792 41.900362, -84.0369271 41.9006213, -84.036822 41.900788)",,,
"[17867042, 1044342790, 1044342791]",False,,West Maumee Street,tertiary,,True,108.51200000000001,"LINESTRING (-84.037715 41.899309, -84.0376139 41.8992744, -84.03738 41.8991943, -84.0371893 41.8991289, -84.0366174 41.898933, -84.036524 41.898901)",,"['3', '2']",
