osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,bridge
9149676,Li'l General Cloggers Lane,residential,False,True,81.676,"LINESTRING (-84.6161713 34.0234278, -84.6161712 34.0233881, -84.616182 34.0228922, -84.6161737 34.0227486, -84.61617 34.0226936)",,,,
591074810,J. O. Stephenson Avenue Northwest,unclassified,False,False,107.632,"LINESTRING (-84.6161713 34.0234278, -84.6163691 34.0234279, -84.6166092 34.0234281, -84.6167772 34.0234282, -84.6169463 34.0234283, -84.6171493 34.0234277, -84.6173392 34.0234285)",2,25 mph,,
"[591074810, 9139050]",J. O. Stephenson Avenue Northwest,unclassified,False,True,82.86900000000001,"LINESTRING (-84.6161713 34.0234278, -84.6161076 34.0234344, -84.6159463 34.0234583, -84.6158449 34.0234676, -84.6157562 34.0234718, -84.6157418 34.0234725, -84.615628 34.0234766, -84.6155089 34.0234792, -84.6154257 34.023479, -84.6152761 34.0234786)","['3', '2']",25 mph,,
9127669,Cemetery Street,residential,False,False,86.77799999999998,"LINESTRING (-84.6154025 34.0205238, -84.6153216 34.0206021, -84.6147479 34.020942, -84.6147274 34.0209542, -84.6146568 34.020996)",,,,
9127669,Cemetery Street,residential,False,True,171.036,"LINESTRING (-84.6154025 34.0205238, -84.615508 34.0204498, -84.6155992 34.0203857, -84.6158061 34.0202731, -84.6163028 34.0200041, -84.6166 34.019828, -84.616683 34.019765, -84.616822 34.019633, -84.616877 34.0196)",,,,
9151220,Keene Street,residential,False,False,133.953,"LINESTRING (-84.6154025 34.0205238, -84.6150868 34.0201427, -84.6149881 34.0200236, -84.6149066 34.0199252, -84.6148382 34.0198426, -84.614783 34.0197759, -84.6145798 34.0195307)",,,,
9127669,Cemetery Street,residential,False,False,171.03600000000003,"LINESTRING (-84.616877 34.0196, -84.616822 34.019633, -84.616683 34.019765, -84.6166 34.019828, -84.6163028 34.0200041, -84.6158061 34.0202731, -84.6155992 34.0203857, -84.615508 34.0204498, -84.6154025 34.0205238)",,,,
669540545,,secondary,True,False,9.892,"LINESTRING (-84.6172962 34.0223839, -84.6172608 34.0223884, -84.6172279 34.0224, -84.6171994 34.0224179)",1,,roundabout,
9149676,Li'l General Cloggers Lane,residential,False,False,81.676,"LINESTRING (-84.61617 34.0226936, -84.6161737 34.0227486, -84.616182 34.0228922, -84.6161712 34.0233881, -84.6161713 34.0234278)",,,,
669540547,Watts Drive,secondary,False,False,82.562,"LINESTRING (-84.61617 34.0226936, -84.6159432 34.022713, -84.6155462 34.0227336, -84.6154277 34.0227371, -84.6152763 34.0227415)",2,,,
669540547,Watts Drive,secondary,False,True,47.587999999999994,"LINESTRING (-84.61617 34.0226936, -84.616371 34.0226638, -84.6165161 34.0226355, -84.6165937 34.0226221, -84.616674 34.0226021)",2,,,
591074808,South Main Street Northwest,secondary,False,False,81.962,"LINESTRING (-84.6152763 34.0227415, -84.6152762 34.0231122, -84.6152761 34.0233888, -84.6152761 34.0234786)",4,25 mph,,
"[591074808, 196945003, 591074807]",South Main Street Northwest,secondary,False,True,209.83499999999998,"LINESTRING (-84.6152763 34.0227415, -84.6152763 34.0226251, -84.6152764 34.0224132, -84.6152765 34.0222397, -84.6152746 34.022086, -84.6152615 34.0219785, -84.6152404 34.0218732, -84.6152011 34.0217441, -84.6151648 34.0216533, -84.6151491 34.0216139, -84.6150954 34.0215048, -84.6150532 34.0214333, -84.6150097 34.0213716, -84.6149629 34.021306, -84.6148612 34.0211844, -84.6147977 34.0211227, -84.6147623 34.0210883, -84.6146568 34.020996)","['4', '3', '2']",25 mph,,
669540547,Watts Drive,secondary,False,True,82.562,"LINESTRING (-84.6152763 34.0227415, -84.6154277 34.0227371, -84.6155462 34.0227336, -84.6159432 34.022713, -84.61617 34.0226936)",2,,,
9134094,Whitfield Place,residential,True,False,116.766,"LINESTRING (-84.6153332 34.0254039, -84.6154095 34.0254067, -84.6157294 34.0254185, -84.6161758 34.0254487, -84.6162723 34.0254533, -84.6163432 34.0254357, -84.6164204 34.0253917, -84.6164712 34.0253439, -84.6165323 34.0252994)",,,,
164657814,Moon Station Road,tertiary,False,False,143.089,"LINESTRING (-84.6153332 34.0254039, -84.6153574 34.0257803, -84.6154355 34.0264128, -84.6154896 34.0266832)",2,35 mph,,
164657814,Moon Station Road,tertiary,False,True,115.16600000000001,"LINESTRING (-84.6153332 34.0254039, -84.6153319 34.0250644, -84.6153365 34.0248273, -84.6153509 34.024721, -84.6153728 34.0246627, -84.6154144 34.0245897, -84.6154782 34.0245123, -84.6155165 34.0244792, -84.6155756 34.0244282)",2,35 mph,,
332018327,Cherokee Street Northwest,secondary,False,False,24.923,"LINESTRING (-84.6103918 34.0259198, -84.6102044 34.0260814)",2,35 mph,,
