osmid,oneway,lanes,highway,reversed,length,ref,name,maxspeed,geometry
182170171,False,2,motorway_link,False,10.987,,,,"LINESTRING (-90.323052 38.504126, -90.3231168 38.5040412)"
"[683857202, 285328245]",True,2,primary,False,114.113,US 50,South Lindbergh Boulevard,35 mph,"LINESTRING (-90.323052 38.504126, -90.3232366 38.504247, -90.3240482 38.5047759, -90.3240593 38.5047831)"
604229141,True,,trunk_link,False,16.554,,,,"LINESTRING (-90.3283566 38.5041369, -90.3282323 38.5040242)"
624155950,True,2,primary,False,26.888,US 61;US 67,Lemay Ferry Road,40 mph,"LINESTRING (-90.3283566 38.5041369, -90.3285876 38.5039763)"
985369834,False,5,secondary,False,10.841,MO 267,Lemay Ferry Road,40 mph,"LINESTRING (-90.3194716 38.511306, -90.3195707 38.5112469)"
985369834,False,5,secondary,True,119.14,MO 267,Lemay Ferry Road,40 mph,"LINESTRING (-90.3194716 38.511306, -90.3193027 38.5114153, -90.3192144 38.5114679, -90.3189705 38.5116128, -90.3188096 38.5117109, -90.318391 38.5119639)"
18707470,False,,residential,True,12.31,,Cordes Drive,,"LINESTRING (-90.3286046 38.5074329, -90.3285208 38.5075221)"
"[604221584, 604221585]",True,"['4', '2']",trunk,False,238.36900000000003,US 50;US 61;US 67,South Lindbergh Boulevard,35 mph,"LINESTRING (-90.3286046 38.5074329, -90.3281381 38.5071508, -90.3278521 38.5069776, -90.3276325 38.5068488, -90.327486 38.5067533, -90.3274058 38.5067, -90.3272557 38.5066032, -90.3271289 38.5065234, -90.3269844 38.5064413, -90.3264404 38.5061193)"
18698793,True,2,primary,False,17.056,US 50,South Lindbergh Boulevard,35 mph,"LINESTRING (-90.3261425 38.5059368, -90.3259914 38.5058391)"
604229165,True,3,primary,False,30.362,US 61;US 67,Lemay Ferry Road,40 mph,"LINESTRING (-90.3261425 38.5059368, -90.3263817 38.505738)"
624156034,True,2,primary_link,False,17.716,US 50,South Lindbergh Boulevard,35 mph,"LINESTRING (-90.3248608 38.5051248, -90.3246915 38.5050363)"
18699137,False,,residential,False,139.913,,Enderbury Drive,,"LINESTRING (-90.318893 38.5091551, -90.3192192 38.5091148, -90.319376 38.5090366, -90.3194595 38.5089268, -90.3195523 38.5087341, -90.3195903 38.5082143)"
18716819,False,,residential,False,150.662,,Brookville Drive,,"LINESTRING (-90.318893 38.5091551, -90.3185177 38.5091122, -90.3183031 38.5090577, -90.3180509 38.5089737, -90.317831 38.5088982, -90.3176164 38.5087974, -90.3174847 38.5086959, -90.3174394 38.5085618)"
18718737,False,,residential,True,80.153,,Hawkstone Lane,,"LINESTRING (-90.318893 38.5091551, -90.318922 38.5093398, -90.3190046 38.5095312, -90.3190293 38.5096475, -90.3189924 38.5097271, -90.3188759 38.50982)"
18713503,False,,residential,False,28.212,,Covington Manor Lane,,"LINESTRING (-90.3195903 38.5082143, -90.3199144 38.5082216)"
18713503,False,,residential,True,160.993,,Covington Manor Lane,,"LINESTRING (-90.3195903 38.5082143, -90.3177429 38.5081342)"
18699137,False,,residential,True,139.913,,Enderbury Drive,,"LINESTRING (-90.3195903 38.5082143, -90.3195523 38.5087341, -90.3194595 38.5089268, -90.319376 38.5090366, -90.3192192 38.5091148, -90.318893 38.5091551)"
18716819,False,,residential,False,57.35,,Brookville Drive,,"LINESTRING (-90.3174394 38.5085618, -90.3174768 38.508359, -90.3175864 38.5082279, -90.3177429 38.5081342)"
