osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed
9033667,2,Pine Grove Road,residential,12.2,False,False,23.886,"LINESTRING (-71.311028 42.182149, -71.310768 42.182244)",,
9033667,2,Pine Grove Road,residential,12.2,False,False,103.961,"LINESTRING (-71.30995 42.18276, -71.30907 42.18343)",,
9033667,2,Pine Grove Road,residential,12.2,False,True,89.415,"LINESTRING (-71.30995 42.18276, -71.310122 42.182603, -71.310213 42.182538, -71.310259 42.182506, -71.310399 42.182431, -71.310564 42.182366, -71.31071 42.182289, -71.310768 42.182244)",,
9033591,2,Spring Street,secondary,15.2,False,True,44.028,"LINESTRING (-71.3089048 42.1855625, -71.3088228 42.1854905, -71.30856 42.18526)",MA 27,35 mph
1034951202,2,North Meadows Road,secondary,12.2,False,True,38.604,"LINESTRING (-71.3089048 42.1855625, -71.3090353 42.1856402, -71.30927 42.18578)",MA 27,50 mph
"[1064989352, 1064989354]",2,Main Street,secondary,18.3,False,False,36.207,"LINESTRING (-71.3089048 42.1855625, -71.3087902 42.1855918, -71.3086353 42.1856313, -71.30849 42.18567)",MA 109,35 mph
1064989354,2,Main Street,secondary,18.3,False,True,34.048,"LINESTRING (-71.3089048 42.1855625, -71.3090615 42.1855337, -71.3093059 42.1854888)",MA 109,35 mph
9033288,,,secondary_link,,True,False,50.095,"LINESTRING (-71.30856 42.18526, -71.3086385 42.18547, -71.3086198 42.185533, -71.308597 42.185565, -71.3085832 42.1855844, -71.30849 42.18567)",,
9033591,2,Spring Street,secondary,15.2,False,False,44.028,"LINESTRING (-71.30856 42.18526, -71.3088228 42.1854905, -71.3089048 42.1855625)",MA 27,35 mph
9033591,2,Spring Street,secondary,15.2,False,True,130.058,"LINESTRING (-71.30856 42.18526, -71.308518 42.1852202, -71.30817 42.18489, -71.307627 42.184317)",MA 27,35 mph
9033667,2,Pine Grove Road,residential,12.2,False,True,103.961,"LINESTRING (-71.30907 42.18343, -71.30995 42.18276)",,
