osmid,name,highway,oneway,reversed,length,lanes,maxspeed,width,geometry,ref,access
689137967,Winthrop Place,residential,False,False,32.485,,,,"LINESTRING (-70.190714 42.048248, -70.1904997 42.048493)",,
9497589,Winthrop Street,residential,False,True,58.574,1,10 mph,4.3,"LINESTRING (-70.190714 42.048248, -70.1912586 42.0485284, -70.191297 42.0485481)",,
9497694,Tinys Way,residential,False,False,64.09,,,,"LINESTRING (-70.188709 42.056461, -70.188642 42.056592, -70.188602 42.056652, -70.188556 42.056702, -70.188267 42.056924)",,
9497944,Lovetts Court,residential,False,False,68.95400000000001,1,5 mph,,"LINESTRING (-70.1807626 42.05539, -70.1810482 42.0556286, -70.1813188 42.0558526)",,
235710753,Commercial Street,living_street,True,False,88.72099999999999,1,20 mph,6,"LINESTRING (-70.1807626 42.05539, -70.181504 42.054945, -70.1816 42.05489)",,
9497476,Priscilla Alden Road,residential,False,True,134.935,2,10 mph,7.6,"LINESTRING (-70.1832949 42.0568362, -70.183119 42.056615, -70.182924 42.056381, -70.1824262 42.0558085)",,
1213677667,Bradford Street,secondary,False,True,21.605,2,25 mph,10.7,"LINESTRING (-70.1833688 42.055395, -70.1835946 42.0552968)",MA 6A,
1213677667,Bradford Street,secondary,False,False,38.642,2,25 mph,10.7,"LINESTRING (-70.1833688 42.055395, -70.1829971 42.0555522, -70.1829621 42.055567)",MA 6A,
9497554,Court Street,residential,True,False,138.599,1,10 mph,4.9,"LINESTRING (-70.189304 42.048476, -70.1893524 42.048493, -70.1900651 42.0487415, -70.1907303 42.0490634, -70.1907654 42.0490827)",,
1213677667,Bradford Street,secondary,False,True,123.35400000000001,2,25 mph,10.7,"LINESTRING (-70.1802222 42.0568738, -70.1805769 42.0566946, -70.1814725 42.0562666)",MA 6A,
9497596,High Pole Hill Road,residential,True,False,315.395,1,10 mph,6.1,"LINESTRING (-70.189794 42.052171, -70.189739 42.052286, -70.189697 42.0523687, -70.1896494 42.052435, -70.189596 42.05251, -70.1895225 42.0526022, -70.1893717 42.0527046, -70.1891315 42.0528686, -70.1889856 42.0529615, -70.18873 42.0531621, -70.1886284 42.0530521, -70.188506 42.053015, -70.188346 42.053018, -70.188139 42.053024, -70.188007 42.053022, -70.187915 42.053012, -70.187799 42.052982, -70.187688 42.052944, -70.187608 42.052908, -70.187516 42.052855, -70.1874 42.052789, -70.1870858 42.0525845, -70.1869645 42.0525082)",,
200084322,Fishburn Court,residential,False,True,49.821,,10 mph,,"LINESTRING (-70.184313 42.056489, -70.1848969 42.0563759)",,
9497570,Pearl Street,residential,True,False,78.907,1,10 mph,4.9,"LINESTRING (-70.184313 42.056489, -70.18427 42.056303, -70.184109 42.055796)",,
9497443,Cemetery Road,residential,False,True,28.939999999999998,2,15 mph,4.9,"LINESTRING (-70.1883829 42.054365, -70.1884251 42.0542944, -70.188552 42.0541375)",,
596597033,Cemetery Road,residential,False,False,51.387,2,15 mph,4.9,"LINESTRING (-70.1883829 42.054365, -70.1883056 42.0544982, -70.1881281 42.0547866)",,
9498016,Kiley Court,residential,False,True,74.425,1,5 mph,,"LINESTRING (-70.181035 42.056063, -70.180751 42.055803, -70.1804737 42.0555393)",,
596597028,Bradford Street,secondary,False,False,68.82900000000001,2,20 mph,10.7,"LINESTRING (-70.1869645 42.0525082, -70.1868862 42.0525684, -70.1868324 42.0526199, -70.1866549 42.0527564, -70.1865525 42.0528504, -70.1864741 42.0529301, -70.1864239 42.0529781)",MA 6A,
951200279,Bradford Street,secondary,False,True,102.356,2,20 mph,10.7,"LINESTRING (-70.1869645 42.0525082, -70.1870421 42.0524066, -70.1871128 42.052308, -70.1871772 42.052208, -70.187243 42.0521163, -70.1873212 42.0520303, -70.1874003 42.0519522, -70.1874259 42.0519287, -70.1875972 42.0517719, -70.1876342 42.051738)",MA 6A,
9497579,Mozart Avenue,residential,False,False,57.869,1,10 mph,3.0,"LINESTRING (-70.190618 42.050456, -70.190552 42.050522, -70.190594 42.050746, -70.190672 42.05095)",,
9497583,Prince Street,residential,False,False,94.075,2,10 mph,7.6,"LINESTRING (-70.190618 42.050456, -70.190051 42.050466, -70.189721 42.050418, -70.1895583 42.0503649, -70.1895045 42.0503484)",,
9497583,Prince Street,residential,False,True,96.667,2,10 mph,7.6,"LINESTRING (-70.190618 42.050456, -70.191131 42.050438, -70.191557 42.050426, -70.1916691 42.0504127, -70.191785 42.050399)",,
416809807,Cudworth Street,residential,False,True,88.791,1,10,4.3,"LINESTRING (-70.190618 42.050456, -70.190635 42.050146, -70.1906524 42.0499439, -70.1907784 42.0496739)",,
9497606,Railroad Avenue,residential,False,True,26.434,1,10 mph,4.9,"LINESTRING (-70.184956 42.055048, -70.185255 42.054963)",,
9497467,Conwell Street,tertiary,False,False,96.288,2,20 mph,5.5,"LINESTRING (-70.184956 42.055048, -70.185337 42.055377, -70.185649 42.0556527, -70.1857119 42.0557074)",,
9497467,Conwell Street,tertiary,False,True,48.034,2,20 mph,5.5,"LINESTRING (-70.184956 42.055048, -70.1846621 42.0547696, -70.1846447 42.0547531, -70.1845971 42.054708)",,
591671137,Rail Road Avenue,residential,False,False,61.711,1,10 mph,,"LINESTRING (-70.184956 42.055048, -70.1846442 42.0551184, -70.1844067 42.0548598)",,
9497546,Webster Place,residential,False,True,54.037,1,10 mph,3.0,"LINESTRING (-70.1890182 42.0512026, -70.1886164 42.050819)",,
9497474,Conwell Street,tertiary,False,True,19.471,2,20 mph,4.9,"LINESTRING (-70.185869 42.055838, -70.1857119 42.0557074)",,
9497424,Harry Kemp Way,residential,True,False,32.914,,10 mph,12.2,"LINESTRING (-70.185538 42.0559183, -70.1855662 42.0558865, -70.185593 42.055859, -70.185625 42.055835, -70.185658 42.055822, -70.185696 42.055812, -70.185729 42.055811, -70.185766 42.055813, -70.185806 42.055822, -70.185869 42.055838)",,
9497554,Court Street,residential,True,False,25.019,1,10 mph,4.9,"LINESTRING (-70.1907654 42.0490827, -70.1909717 42.0492475)",,
580512154,Bradford Street,secondary,False,True,73.895,2,20 mph,10.7,"LINESTRING (-70.1907654 42.0490827, -70.191297 42.0485481)",MA 6A,
580512154,Bradford Street,secondary,False,False,64.166,2,20 mph,10.7,"LINESTRING (-70.1907654 42.0490827, -70.1907398 42.0491079, -70.1903005 42.0495451)",MA 6A,
"[9497454, 9497606]","['Railroad Avenue', 'Center Street']",residential,False,False,145.71499999999997,"['1', '2']",10 mph,"['4.9', '5.5']","LINESTRING (-70.1853631 42.0540813, -70.185621 42.05444, -70.18587 42.05478, -70.18587 42.05481, -70.185838 42.054837, -70.185255 42.054963)",,
9497454,Center Street,residential,False,True,140.26999999999998,2,10 mph,5.5,"LINESTRING (-70.1853631 42.0540813, -70.185043 42.053775, -70.1847357 42.053518, -70.1846614 42.0534606, -70.1844478 42.0532955, -70.1842986 42.0531803, -70.184241 42.0531358)",,
48968041,Bradford Street,secondary,False,True,137.941,2,20 mph,13.7,"LINESTRING (-70.1853631 42.0540813, -70.1854826 42.0539539, -70.185642 42.053784, -70.1858118 42.0536108, -70.1859097 42.0535131, -70.185988 42.0534351, -70.1860273 42.0533943, -70.1860528 42.0533677, -70.1860781 42.0533414, -70.1861412 42.0532748, -70.1862165 42.0531991, -70.1862881 42.053127, -70.1863358 42.0530729)",MA 6A,
1227182873,Bradford Street,secondary,False,False,62.43599999999999,2,25 mph,10.7,"LINESTRING (-70.1853631 42.0540813, -70.1852268 42.0542002, -70.185091 42.0543143, -70.1848625 42.0545021)",MA 6A,
9497565,Carver Street,residential,True,False,125.389,1,10 mph,4.3,"LINESTRING (-70.1903005 42.0495451, -70.1896613 42.0492283, -70.1891173 42.0489163, -70.1890981 42.0489053, -70.1890676 42.0488879)",,
416809804,Watsons Court,residential,True,False,42.287,1,10 mph,2.4,"LINESTRING (-70.1903005 42.0495451, -70.1903603 42.0495625, -70.190551 42.049636, -70.1907784 42.0496739)",,
580512154,Bradford Street,secondary,False,True,64.166,2,20 mph,10.7,"LINESTRING (-70.1903005 42.0495451, -70.1907398 42.0491079, -70.1907654 42.0490827)",MA 6A,
"[580512164, 587281158]",Bradford Street,secondary,False,False,111.013,2,20 mph,10.7,"LINESTRING (-70.1903005 42.0495451, -70.1902576 42.0495862, -70.1900622 42.0497857, -70.1899785 42.0498736, -70.1898403 42.0500191, -70.1896416 42.0502298, -70.1895752 42.0502962, -70.1895656 42.0503039, -70.1895045 42.0503484)",MA 6A,
9497429,Freeman Street,residential,True,False,123.451,1,5 mph,4.9,"LINESTRING (-70.18493 42.052521, -70.185072 42.052631, -70.1851363 42.0526707, -70.185167 42.052692, -70.185235 42.052724, -70.18529 42.052738, -70.185499 42.05277, -70.185533 42.052766, -70.185575 42.05276, -70.185619 42.052746, -70.185662 42.052723, -70.185747 42.052703, -70.185793 42.052698, -70.185862 42.052701, -70.185922 42.052723, -70.185979 42.052751, -70.186078 42.052792, -70.1861232 42.0528102, -70.1861549 42.052823, -70.1861891 42.0528312, -70.1862428 42.0528161)",,
235712539,Commercial Street,living_street,True,False,86.967,1,15 mph,6,"LINESTRING (-70.18493 42.052521, -70.1849703 42.0524864, -70.1850172 42.0524461, -70.185072 42.052399, -70.1850858 42.0523864, -70.1851807 42.0523001, -70.1854332 42.0520704, -70.1856066 42.0519217)",,
235710753,Commercial Street,living_street,True,False,29.061,1,20 mph,6,"LINESTRING (-70.1804737 42.0555393, -70.1807626 42.05539)",,
9498016,Kiley Court,residential,False,False,74.425,1,5 mph,,"LINESTRING (-70.1804737 42.0555393, -70.180751 42.055803, -70.181035 42.056063)",,
9497451,Ryder Street,residential,False,True,81.09500000000003,2,15 mph,18.3,"LINESTRING (-70.1869137 42.051245, -70.1869708 42.051267, -70.1869932 42.051283, -70.1872807 42.051487, -70.1873841 42.0515605, -70.1875847 42.0517029, -70.1876034 42.0517162, -70.1876342 42.051738)",,
"[9497507, 9497949]",Ryder Street Extension,"['residential', 'unclassified']",False,"[False, True]",175.00300000000001,2,10 mph,10.7,"LINESTRING (-70.1869137 42.051245, -70.1868674 42.0512183, -70.1868398 42.0511959, -70.1866248 42.050992, -70.1864384 42.0508762, -70.186269 42.0507826, -70.1861801 42.050858, -70.1861575 42.0508782, -70.1860908 42.0509268, -70.1856744 42.0512543, -70.1855031 42.0513577, -70.1854396 42.0513968, -70.1854061 42.0514174)",,
295175180,Commercial Street,living_street,True,False,84.894,1,15 mph,6,"LINESTRING (-70.1869137 42.051245, -70.1870451 42.0511462, -70.1872318 42.0510059, -70.1873104 42.0509449, -70.1873338 42.0509268, -70.1876189 42.0506897)",,yes
235710753,Commercial Street,living_street,True,False,36.393,1,20 mph,6,"LINESTRING (-70.1819446 42.0546886, -70.1820522 42.0546305, -70.1823064 42.0545017)",,
9497457,Cudworth Street,residential,False,False,50.057,1,10,4.3,"LINESTRING (-70.1909717 42.0492475, -70.190842 42.0495555, -70.1907784 42.0496739)",,
9497554,Court Street,residential,True,False,99.491,1,10 mph,4.9,"LINESTRING (-70.1909717 42.0492475, -70.191134 42.049387, -70.191291 42.049512, -70.191548 42.049643, -70.191911 42.049792)",,
9497476,Priscilla Alden Road,residential,False,False,134.935,2,10 mph,7.6,"LINESTRING (-70.1824262 42.0558085, -70.182924 42.056381, -70.183119 42.056615, -70.1832949 42.0568362)",,
1213677667,Bradford Street,secondary,False,False,93.78699999999999,2,25 mph,10.7,"LINESTRING (-70.1824262 42.0558085, -70.1823562 42.0558437, -70.182146 42.0559396, -70.181946 42.0560367, -70.1818794 42.056069, -70.1818377 42.0560892, -70.1815647 42.0562217, -70.1814725 42.0562666)",MA 6A,
1213677667,Bradford Street,secondary,False,True,51.759,2,25 mph,10.7,"LINESTRING (-70.1824262 42.0558085, -70.1826905 42.0556865, -70.1829621 42.055567)",MA 6A,
9497440,Fishburn Court,residential,False,False,52.724999999999994,1,10 mph,3.7,"LINESTRING (-70.1847311 42.055859, -70.184555 42.055812, -70.184436 42.055794, -70.184211 42.05578, -70.184109 42.055796)",,
9497440,Fishburn Court,residential,False,True,52.724999999999994,1,10 mph,3.7,"LINESTRING (-70.184109 42.055796, -70.184211 42.05578, -70.184436 42.055794, -70.184555 42.055812, -70.1847311 42.055859)",,
9497570,Pearl Street,residential,True,False,72.59,1,10 mph,4.9,"LINESTRING (-70.184109 42.055796, -70.183993 42.0554, -70.1839102 42.0551602)",,
1213677667,Bradford Street,secondary,False,False,123.35400000000001,2,25 mph,10.7,"LINESTRING (-70.1814725 42.0562666, -70.1805769 42.0566946, -70.1802222 42.0568738)",MA 6A,
1213677667,Bradford Street,secondary,False,True,93.78699999999999,2,25 mph,10.7,"LINESTRING (-70.1814725 42.0562666, -70.1815647 42.0562217, -70.1818377 42.0560892, -70.1818794 42.056069, -70.181946 42.0560367, -70.182146 42.0559396, -70.1823562 42.0558437, -70.1824262 42.0558085)",MA 6A,
9497546,Webster Place,residential,False,False,54.037,1,10 mph,3.0,"LINESTRING (-70.1886164 42.050819, -70.1890182 42.0512026)",,
"[951200280, 1011042118]",Bradford Street,secondary,False,False,44.519000000000005,2,20 mph,10.7,"LINESTRING (-70.1886164 42.050819, -70.1884485 42.05091, -70.1882219 42.0510386, -70.1881919 42.0510646)",MA 6A,
"[1011042118, 587281158]",Bradford Street,secondary,False,True,90.15299999999999,2,20 mph,10.7,"LINESTRING (-70.1886164 42.050819, -70.1889191 42.0506607, -70.1891649 42.0505339, -70.1893325 42.0504491, -70.1894296 42.0503991, -70.1895045 42.0503484)",MA 6A,
200084322,Fishburn Court,residential,False,False,49.821,,10 mph,,"LINESTRING (-70.1848969 42.0563759, -70.184313 42.056489)",,
1213677667,Bradford Street,secondary,False,False,7.34,2,25 mph,10.7,"LINESTRING (-70.1844673 42.0548115, -70.1844067 42.0548598)",MA 6A,
1213677667,Bradford Street,secondary,False,True,15.726,2,25 mph,10.7,"LINESTRING (-70.1844673 42.0548115, -70.1845971 42.054708)",MA 6A,
