osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,lanes,junction,bridge,tunnel
4821644,True,A780,Loreburn Street,primary,False,129.851,"LINESTRING (-3.6110129 55.0714394, -3.6108319 55.0713462, -3.6106363 55.0712218, -3.6104263 55.0710502, -3.6100835 55.0705099, -3.6100185 55.0704429)",,,,,
4821840,False,A780,Academy Street,primary,True,80.912,"LINESTRING (-3.6110129 55.0714394, -3.6112826 55.0712602, -3.6115861 55.0710787, -3.6118319 55.0708845)",30 mph,,,,
"[4821910, 4702447]",False,A701,"['Academy Street', 'Edinburgh Road']",primary,False,82.194,"LINESTRING (-3.6110129 55.0714394, -3.6108743 55.0715159, -3.6106893 55.0716377, -3.6106394 55.0716683, -3.6103143 55.0718694, -3.6101305 55.0719786)",30 mph,2,,,
4821841,True,A780,English Street,primary,False,80.891,"LINESTRING (-3.6086702 55.068731, -3.6084695 55.068812, -3.6075751 55.0690986)",30 mph,,,,
4753945,False,A780,Annan Road,primary,False,39.566,"LINESTRING (-3.6053526 55.0700012, -3.6049836 55.0701363, -3.6048079 55.0701665)",30 mph,,,,
4858139,False,A709,St Mary's Street,primary,False,42.471000000000004,"LINESTRING (-3.6053526 55.0700012, -3.6051746 55.0702251, -3.6050564 55.070343)",30 mph,,,,
4858140,False,A780,English Street,primary,True,88.41799999999999,"LINESTRING (-3.6053526 55.0700012, -3.6055992 55.0698625, -3.6059105 55.0696972, -3.6060318 55.0696382, -3.606382 55.069468)",,,,,
4753945,False,A780,Annan Road,primary,False,45.02,"LINESTRING (-3.6048079 55.0701665, -3.6041068 55.0702192)",30 mph,,,,
4753945,False,A780,Annan Road,primary,True,39.566,"LINESTRING (-3.6048079 55.0701665, -3.6049836 55.0701363, -3.6053526 55.0700012)",30 mph,,,,
5196928,True,,Friar's Vennel,residential,False,28.867,"LINESTRING (-3.6152273 55.0684574, -3.6149284 55.0686526)",,,,,
4757268,False,A781,Whitesands,primary,False,48.227999999999994,"LINESTRING (-3.6152273 55.0684574, -3.6148981 55.0682863, -3.6146506 55.0681767)",30 mph,2,,,
4757268,False,A781,Whitesands,primary,True,126.45,"LINESTRING (-3.6152273 55.0684574, -3.6153044 55.0684949, -3.6155707 55.0686211, -3.6158189 55.06877, -3.6162601 55.0689973, -3.6165688 55.0691702, -3.616678 55.0692327)",30 mph,2,,,
5196929,False,,Friar's Vennel,residential,False,18.485,"LINESTRING (-3.6149284 55.0686526, -3.6146809 55.0687395)",,,,,
42349995,False,,Brewery Street,unclassified,False,46.326,"LINESTRING (-3.6149284 55.0686526, -3.6144421 55.0683427)",,,,,
"[42349994, 40635330]",False,,Brewery Street,unclassified,False,111.016,"LINESTRING (-3.6149284 55.0686526, -3.6149755 55.0686853, -3.6152618 55.0688063, -3.6155932 55.0689431, -3.6159919 55.0691082, -3.6163151 55.0692556)",,,,,
4757268,False,A781,Whitesands,primary,False,139.11599999999999,"LINESTRING (-3.6119019 55.0668157, -3.6114692 55.0664257, -3.6109688 55.0661164, -3.6105682 55.0659104, -3.6104954 55.0658685)",30 mph,2,,,
4757268,False,A781,Whitesands,primary,True,94.181,"LINESTRING (-3.6119019 55.0668157, -3.6120968 55.0669581, -3.6124312 55.0672023, -3.6125757 55.0673079, -3.6128344 55.0674727)",30 mph,2,,,
5196933,True,,Assembly Street,residential,False,63.871,"LINESTRING (-3.6111123 55.0671699, -3.6114543 55.0670116, -3.6119019 55.0668157)",,,,,
341614298,True,,Irish Street,residential,False,133.144,"LINESTRING (-3.6111123 55.0671699, -3.6109522 55.0669741, -3.6105402 55.0665966, -3.610152 55.0662541, -3.6100638 55.0662039, -3.6099687 55.0661888)",,,,,
4821840,False,A780,Academy Street,primary,False,80.912,"LINESTRING (-3.6118319 55.0708845, -3.6115861 55.0710787, -3.6112826 55.0712602, -3.6110129 55.0714394)",30 mph,,,,
"[4821840, 4757269]",False,A780,"['Academy Street', 'Church Crescent']",primary,True,138.60999999999999,"LINESTRING (-3.6118319 55.0708845, -3.6122018 55.0705833, -3.6122585 55.0704445, -3.6122712 55.0703399, -3.6122871 55.0702624, -3.6123052 55.0702267, -3.6123665 55.0701752, -3.6124571 55.0701414, -3.6125789 55.0701347, -3.6126789 55.0701416, -3.6127829 55.0701788, -3.6128614 55.0702191, -3.6129595 55.0702696, -3.6130534 55.0702904)",30 mph,,,,
"[34589524, 34589526]",False,,"['Irving Street', 'George Street']",residential,True,120.769,"LINESTRING (-3.6118319 55.0708845, -3.6121697 55.0710188, -3.612616 55.0711908, -3.6130623 55.0713726, -3.61339 55.0712413)",20 mph,,,,
4821648,True,,Queensberry Street,residential,False,17.917,"LINESTRING (-3.6102094 55.0687529, -3.6102771 55.0689093)",,,,,
406017156,False,A709,St Mary's Street,primary,True,28.601,"LINESTRING (-3.6025354 55.0720383, -3.6021681 55.0721864)",30 mph,2,,,
427169385,True,A709,St Mary's Street,primary,False,17.041,"LINESTRING (-3.6025354 55.0720383, -3.6026766 55.0719081)",30 mph,2,,,
4858136,True,,,primary,False,3.22,"LINESTRING (-3.6026766 55.0719081, -3.6026699 55.0718794)",30 mph,,roundabout,,
"[4753945, 406014219, 4758395]",False,A780,Annan Road,primary,"[False, True]",170.279,"LINESTRING (-3.6014373 55.0703043, -3.6015081 55.0702958, -3.6021745 55.0702771, -3.6032979 55.0702407, -3.6035901 55.0702329, -3.6039019 55.0702246, -3.6041068 55.0702192)",30 mph,,,yes,
4753945,False,A780,Annan Road,primary,True,45.02,"LINESTRING (-3.6041068 55.0702192, -3.6048079 55.0701665)",30 mph,,,,
