osmid,highway,oneway,reversed,length,geometry,name,ref,maxspeed,bridge
15278080,residential,False,False,56.05200000000001,"LINESTRING (-98.094972 29.999225, -98.094898 29.998961, -98.094806 29.998791, -98.094792 29.998748)",,,,
15295707,residential,False,False,91.658,"LINESTRING (-98.094972 29.999225, -98.094838 29.999276, -98.0946725 29.9992984, -98.094513 29.99932, -98.09406 29.999448)",Mill Race Lane,,,
15295707,residential,False,True,78.18200000000002,"LINESTRING (-98.094972 29.999225, -98.09521 29.999135, -98.095308 29.9990991, -98.095644 29.998976, -98.095716 29.998944)",Mill Race Lane,,,
15278080,residential,False,True,56.052,"LINESTRING (-98.094792 29.998748, -98.094806 29.998791, -98.094898 29.998961, -98.094972 29.999225)",,,,
15295707,residential,False,True,32.284,"LINESTRING (-98.095716 29.998944, -98.096014 29.998811)",Mill Race Lane,,,
15278092,residential,False,False,73.73,"LINESTRING (-98.095716 29.998944, -98.095482 29.998783, -98.095281 29.998566, -98.095277 29.99844)",,,,
15295707,residential,False,False,78.182,"LINESTRING (-98.095716 29.998944, -98.095644 29.998976, -98.095308 29.9990991, -98.09521 29.999135, -98.094972 29.999225)",Mill Race Lane,,,
15278092,residential,False,True,73.73,"LINESTRING (-98.095277 29.99844, -98.095281 29.998566, -98.095482 29.998783, -98.095716 29.998944)",,,,
15295707,residential,False,False,32.284,"LINESTRING (-98.096014 29.998811, -98.095716 29.998944)",Mill Race Lane,,,
15279689,residential,False,False,135.974,"LINESTRING (-98.096014 29.998811, -98.096081 29.999204, -98.096424 29.99963, -98.096771 29.999689)",,,,
15295707,residential,False,True,281.273,"LINESTRING (-98.096014 29.998811, -98.096119 29.998765, -98.096394 29.998601, -98.0967564 29.9982785, -98.0968593 29.9982191, -98.096967 29.998157, -98.097158 29.998024, -98.097741 29.997651, -98.097913 29.997536, -98.0981632 29.9973661, -98.0982858 29.9972388)",Mill Race Lane,,,
15279689,residential,False,True,135.974,"LINESTRING (-98.096771 29.999689, -98.096424 29.99963, -98.096081 29.999204, -98.096014 29.998811)",,,,
15294578,residential,False,True,134.172,"LINESTRING (-98.0969475 29.9956425, -98.0962025 29.9947964, -98.0961027 29.994683)",Oak Drive,,,
15298697,residential,True,False,96.02799999999999,"LINESTRING (-98.0969475 29.9956425, -98.0965881 29.9959096, -98.0965774 29.9960293, -98.0962542 29.9962104)",Wimberley Square,,,
15298697,residential,True,False,18.079,"LINESTRING (-98.0962542 29.9962104, -98.0962099 29.9963684)",Wimberley Square,,,
15280338,residential,False,False,223.993,"LINESTRING (-98.0962542 29.9962104, -98.0954656 29.9952882, -98.0954562 29.9952139, -98.0954669 29.99515, -98.0955058 29.9950919, -98.0955639 29.9950357, -98.0961027 29.994683)",,,,
15280338,residential,False,True,223.993,"LINESTRING (-98.0961027 29.994683, -98.0955639 29.9950357, -98.0955058 29.9950919, -98.0954669 29.99515, -98.0954562 29.9952139, -98.0954656 29.9952882, -98.0962542 29.9962104)",,,,
15294578,residential,False,False,134.172,"LINESTRING (-98.0961027 29.994683, -98.0962025 29.9947964, -98.0969475 29.9956425)",Oak Drive,,,
15294578,residential,False,True,82.639,"LINESTRING (-98.0961027 29.994683, -98.0959212 29.9944769, -98.0955824 29.994092)",Oak Drive,,,
15282506,residential,False,False,120.221,"LINESTRING (-98.09406 29.999448, -98.094265 29.999591, -98.094269 29.999906, -98.094464 30.000417)",,,,
15295707,residential,False,True,91.658,"LINESTRING (-98.09406 29.999448, -98.094513 29.99932, -98.0946725 29.9992984, -98.094838 29.999276, -98.094972 29.999225)",Mill Race Lane,,,
