osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,ref
"[83257661, 5617933, 83257671]",Cemetery Lane,residential,30 mph,False,False,96.868,yes,"LINESTRING (-73.538654 42.635816, -73.539166 42.635452, -73.5393118 42.6353409, -73.5394017 42.6352812, -73.5394898 42.6352001)",,
"[81446896, 52475299, 81446894]",State Highway 43,primary,40 mph,False,False,256.84,yes,"LINESTRING (-73.538654 42.635816, -73.539246 42.636443, -73.5397389 42.6368754, -73.5398658 42.6369762, -73.5399498 42.63704, -73.5400655 42.6371157, -73.540146 42.637167, -73.540395 42.637308, -73.540762 42.637502)",2,NY 43;NY 66
52475299,State Highway 43,primary,40 mph,False,True,280.106,,"LINESTRING (-73.538654 42.635816, -73.538121 42.635266, -73.53753 42.634705, -73.53689 42.634086, -73.536697 42.633872, -73.536632 42.633785)",2,NY 43;NY 66
"[5617933, 83257661, 83257671]",Cemetery Lane,residential,30 mph,False,True,96.868,yes,"LINESTRING (-73.5394898 42.6352001, -73.5394017 42.6352812, -73.5393118 42.6353409, -73.539166 42.635452, -73.538654 42.635816)",,
52475299,State Highway 43,primary,40 mph,False,False,280.106,,"LINESTRING (-73.536632 42.633785, -73.536697 42.633872, -73.53689 42.634086, -73.53753 42.634705, -73.538121 42.635266, -73.538654 42.635816)",2,NY 43;NY 66
"[5636320, 81446884, 81446893]",Taborton Road,tertiary,40 mph,False,True,325.916,yes,"LINESTRING (-73.540762 42.637502, -73.540625 42.637543, -73.5398278 42.6378163, -73.539706 42.637858, -73.5391654 42.638037, -73.539093 42.638065, -73.5389803 42.638103, -73.53806 42.638443, -73.537872 42.638485, -73.537794 42.638487, -73.537084 42.638401)",2,CR 42
"[81446896, 52475299, 81446894]",State Highway 43,primary,40 mph,False,True,256.84000000000003,yes,"LINESTRING (-73.540762 42.637502, -73.540395 42.637308, -73.540146 42.637167, -73.5400655 42.6371157, -73.5399498 42.63704, -73.5398658 42.6369762, -73.5397389 42.6368754, -73.539246 42.636443, -73.538654 42.635816)",2,NY 43;NY 66
5624960,Old Taborton Road,residential,,False,False,144.224,,"LINESTRING (-73.537084 42.638401, -73.537071 42.63835, -73.53704 42.638319, -73.536876 42.638216, -73.536827 42.638159, -73.536662 42.637659, -73.536648 42.637615, -73.536643 42.637516, -73.536719 42.637256, -73.536743 42.637203)",,
"[5636320, 81446884, 81446893]",Taborton Road,tertiary,40 mph,False,False,325.916,yes,"LINESTRING (-73.537084 42.638401, -73.537794 42.638487, -73.537872 42.638485, -73.53806 42.638443, -73.5389803 42.638103, -73.539093 42.638065, -73.5391654 42.638037, -73.539706 42.637858, -73.5398278 42.6378163, -73.540625 42.637543, -73.540762 42.637502)",2,CR 42
5624960,Old Taborton Road,residential,,False,True,144.22400000000002,,"LINESTRING (-73.536743 42.637203, -73.536719 42.637256, -73.536643 42.637516, -73.536648 42.637615, -73.536662 42.637659, -73.536827 42.638159, -73.536876 42.638216, -73.53704 42.638319, -73.537071 42.63835, -73.537084 42.638401)",,
