osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes
12948063,residential,False,False,59.918,"LINESTRING (-94.1304924 36.1872288, -94.130295 36.1872478, -94.1298262 36.1872536)",,,
936287189,residential,False,False,132.251,"LINESTRING (-94.1304924 36.1872288, -94.1305705 36.1873175, -94.1306368 36.1873914, -94.1306743 36.1874585, -94.1307105 36.1875354, -94.1307839 36.1879769, -94.1307856 36.1881372, -94.130776 36.1882334, -94.130761 36.188364)",Mill Street,,
936287189,residential,False,True,97.958,"LINESTRING (-94.1304924 36.1872288, -94.130463 36.187181, -94.1304329 36.1871241, -94.1304021 36.1870386, -94.130391 36.1869781, -94.130386 36.1869022, -94.130398 36.1868145, -94.130445 36.1867063, -94.1304798 36.1866305, -94.1304922 36.1865709, -94.1304873 36.1863756)",Mill Street,,
158522434,residential,False,True,93.198,"LINESTRING (-94.1298262 36.1872536, -94.1298602 36.1864159)",Spring Street,,
12948063,residential,False,True,59.918,"LINESTRING (-94.1298262 36.1872536, -94.130295 36.1872478, -94.1304924 36.1872288)",,,
158522434,residential,False,False,122.57000000000001,"LINESTRING (-94.1298262 36.1872536, -94.1298109 36.1874881, -94.1297843 36.188219, -94.1297793 36.1883552)",Spring Street,,
12952176,residential,False,False,60.658,"LINESTRING (-94.1277952 36.1855366, -94.12712 36.1855122)",,,
12956475,residential,False,False,67.934,"LINESTRING (-94.1277952 36.1855366, -94.1275673 36.1861192)",Hewitt Street,,
12956475,residential,False,True,61.814,"LINESTRING (-94.1277952 36.1855366, -94.1279942 36.1850044)",Hewitt Street,,
12952176,residential,False,True,60.658,"LINESTRING (-94.12712 36.1855122, -94.1277952 36.1855366)",,,
12966837,unclassified,False,False,67.219,"LINESTRING (-94.12712 36.1855122, -94.1271053 36.1861166)",Graham Street,,
12966837,unclassified,False,True,60.454,"LINESTRING (-94.12712 36.1855122, -94.127151 36.1849691)",Graham Street,,
12968560,residential,False,False,47.692,"LINESTRING (-94.1304873 36.1863756, -94.1299573 36.1864069)",East Johnson Avenue,25 mph,
"[12968560, 936287203]",residential,False,"[False, True]",157.859,"LINESTRING (-94.1304873 36.1863756, -94.1306071 36.1863691, -94.1308222 36.1863573, -94.1308498 36.1863578, -94.1311784 36.186364, -94.1312818 36.186366, -94.132169 36.1863873, -94.1322442 36.186396)","['East Johnson Avenue', 'West Johnson Avenue']",25 mph,
936287189,residential,False,False,97.958,"LINESTRING (-94.1304873 36.1863756, -94.1304922 36.1865709, -94.1304798 36.1866305, -94.130445 36.1867063, -94.130398 36.1868145, -94.130386 36.1869022, -94.130391 36.1869781, -94.1304021 36.1870386, -94.1304329 36.1871241, -94.130463 36.187181, -94.1304924 36.1872288)",Mill Street,,
12962345,secondary,False,False,88.106,"LINESTRING (-94.130761 36.188364, -94.1297793 36.1883552)",East Huntsville Avenue,40 mph,
12955450,residential,False,False,164.317,"LINESTRING (-94.130761 36.188364, -94.1306685 36.1888401, -94.1305836 36.1893578, -94.1305958 36.1898313)",Mill Street,,
936287189,residential,False,True,132.251,"LINESTRING (-94.130761 36.188364, -94.130776 36.1882334, -94.1307856 36.1881372, -94.1307839 36.1879769, -94.1307105 36.1875354, -94.1306743 36.1874585, -94.1306368 36.1873914, -94.1305705 36.1873175, -94.1304924 36.1872288)",Mill Street,,
936287200,secondary,False,True,128.844,"LINESTRING (-94.130761 36.188364, -94.1308873 36.1883646, -94.1318248 36.1883805, -94.1321964 36.1883868)",West Huntsville Avenue,40 mph,
12955450,residential,False,True,164.317,"LINESTRING (-94.1305958 36.1898313, -94.1305836 36.1893578, -94.1306685 36.1888401, -94.130761 36.188364)",Mill Street,,
12966685,residential,False,False,76.972,"LINESTRING (-94.1305958 36.1898313, -94.1300206 36.1898239, -94.1297382 36.1898202)",Rhodes Avenue,,
12955587,tertiary,False,False,111.179,"LINESTRING (-94.1247842 36.1848587, -94.1248174 36.1838592)",Park Street,25 mph,
936287186,tertiary,False,True,23.329,"LINESTRING (-94.1247842 36.1848587, -94.1250436 36.1848722)",East Emma Avenue,25 mph,
12955587,tertiary,False,True,111.179,"LINESTRING (-94.1248174 36.1838592, -94.1247842 36.1848587)",Park Street,25 mph,
12961687,residential,False,True,134.642,"LINESTRING (-94.1248174 36.1838592, -94.1263158 36.1839188)",East Meadow Avenue,25 mph,
12955587,tertiary,False,False,105.669,"LINESTRING (-94.1248174 36.1838592, -94.1248402 36.1829646, -94.1248416 36.1829091)",Park Street,25 mph,
12961687,residential,False,False,106.46100000000001,"LINESTRING (-94.1248174 36.1838592, -94.1242687 36.183849, -94.1236315 36.1838371)",East Meadow Avenue,25 mph,
12955587,tertiary,False,False,39.499,"LINESTRING (-94.1248416 36.1829091, -94.1248531 36.182554)",Park Street,25 mph,
12955587,tertiary,False,True,105.669,"LINESTRING (-94.1248416 36.1829091, -94.1248402 36.1829646, -94.1248174 36.1838592)",Park Street,25 mph,
12960264,residential,False,False,105.832,"LINESTRING (-94.1248416 36.1829091, -94.1245913 36.1829039, -94.1241332 36.1828944, -94.1236628 36.1828847)",East Grove Avenue,25 mph,
12956088,residential,False,False,94.356,"LINESTRING (-94.133183 36.1851229, -94.133188 36.1850239, -94.1332213 36.1848522, -94.1332356 36.1847409, -94.1332351 36.1842771)",South Blair Street,25 mph,
12961839,residential,False,False,144.82399999999998,"LINESTRING (-94.133183 36.1851229, -94.1331661 36.186073, -94.133163 36.1862462, -94.1331598 36.1864252)",North Blair Street,25 mph,
936287202,tertiary,False,False,75.33800000000001,"LINESTRING (-94.133183 36.1851229, -94.1332815 36.1851355, -94.1340211 36.1851463)",West Emma Avenue,25 mph,
936287202,tertiary,False,True,83.55600000000001,"LINESTRING (-94.133183 36.1851229, -94.1331013 36.185115, -94.1322528 36.185099)",West Emma Avenue,25 mph,
12964104,residential,False,False,80.945,"LINESTRING (-94.1332351 36.1842771, -94.1341369 36.1842885)",West Meadow Avenue,25 mph,
12964104,residential,False,True,87.499,"LINESTRING (-94.1332351 36.1842771, -94.1322602 36.1842698)",West Meadow Avenue,25 mph,
12956088,residential,False,False,104.025,"LINESTRING (-94.1332351 36.1842771, -94.1332516 36.1839998, -94.1332519 36.1838249, -94.1332528 36.1833419)",South Blair Street,25 mph,
12956088,residential,False,True,94.35600000000001,"LINESTRING (-94.1332351 36.1842771, -94.1332356 36.1847409, -94.1332213 36.1848522, -94.133188 36.1850239, -94.133183 36.1851229)",South Blair Street,25 mph,
12956088,residential,False,False,110.111,"LINESTRING (-94.1332528 36.1833419, -94.1332741 36.1823518)",South Blair Street,25 mph,
12969982,residential,False,False,81.837,"LINESTRING (-94.1332528 36.1833419, -94.1341645 36.1833549)",Grove Avenue,25 mph,
12969982,residential,False,True,87.408,"LINESTRING (-94.1332528 36.1833419, -94.1322789 36.1833373)",Grove Avenue,25 mph,
12956088,residential,False,True,104.025,"LINESTRING (-94.1332528 36.1833419, -94.1332519 36.1838249, -94.1332516 36.1839998, -94.1332351 36.1842771)",South Blair Street,25 mph,
12956088,residential,False,True,110.111,"LINESTRING (-94.1332741 36.1823518, -94.1332528 36.1833419)",South Blair Street,25 mph,
12965904,residential,False,False,80.612,"LINESTRING (-94.1332741 36.1823518, -94.1341722 36.1823615)",West Allen Avenue,25 mph,
12965904,residential,False,True,86.625,"LINESTRING (-94.1332741 36.1823518, -94.1323092 36.1823331)",West Allen Avenue,25 mph,
12956469,residential,False,False,76.78,"LINESTRING (-94.1241446 36.1860559, -94.1241303 36.1867463)",North Cleveland Street,,
12968558,residential,False,True,78.136,"LINESTRING (-94.1241446 36.1860559, -94.1250149 36.1860753)",East Johnson Avenue,,
"[12963523, 12968558]",residential,False,False,148.307,"LINESTRING (-94.1241446 36.1860559, -94.1233421 36.1860415, -94.1233272 36.1864534, -94.1233173 36.1867271)","['East Johnson Avenue', 'Laura Street']",,
12956469,residential,False,True,76.78,"LINESTRING (-94.1241303 36.1867463, -94.1241446 36.1860559)",North Cleveland Street,,
12956866,residential,False,False,72.994,"LINESTRING (-94.1241303 36.1867463, -94.1233173 36.1867271)",East Center Avenue,,
12956866,residential,False,True,77.792,"LINESTRING (-94.1241303 36.1867463, -94.124997 36.1867576)",East Center Avenue,,
12956475,residential,False,False,61.814,"LINESTRING (-94.1279942 36.1850044, -94.1277952 36.1855366)",Hewitt Street,,
936287186,tertiary,False,False,75.777,"LINESTRING (-94.1279942 36.1850044, -94.1274778 36.1849828, -94.127151 36.1849691)",East Emma Avenue,25 mph,
936287186,tertiary,False,True,90.807,"LINESTRING (-94.1279942 36.1850044, -94.1281724 36.18501, -94.12836 36.185017, -94.1285169 36.1850209, -94.1285645 36.1850224, -94.1290052 36.1850369)",East Emma Avenue,25 mph,
12956475,residential,False,False,80.627,"LINESTRING (-94.1275673 36.1861192, -94.1273042 36.1868125)",Hewitt Street,,
12956475,residential,False,True,67.934,"LINESTRING (-94.1275673 36.1861192, -94.1277952 36.1855366)",Hewitt Street,,
12968558,residential,False,False,41.464,"LINESTRING (-94.1275673 36.1861192, -94.1271053 36.1861166)",East Johnson Avenue,,
12956475,residential,False,True,80.627,"LINESTRING (-94.1273042 36.1868125, -94.1275673 36.1861192)",Hewitt Street,,
12956866,residential,False,False,101.528,"LINESTRING (-94.1273042 36.1868125, -94.1261734 36.1867856)",East Center Avenue,,
12956475,residential,False,False,173.704,"LINESTRING (-94.1273042 36.1868125, -94.1269668 36.187779, -94.1268157 36.1882121, -94.1267751 36.1883151)",Hewitt Street,,
12962345,secondary,False,False,161.219,"LINESTRING (-94.1267751 36.1883151, -94.1249789 36.1882913)",East Huntsville Avenue,40 mph,
12956475,residential,False,True,173.704,"LINESTRING (-94.1267751 36.1883151, -94.1268157 36.1882121, -94.1269668 36.187779, -94.1273042 36.1868125)",Hewitt Street,,
12962345,secondary,False,True,269.647,"LINESTRING (-94.1267751 36.1883151, -94.1272632 36.188323, -94.127316 36.188325, -94.1297793 36.1883552)",East Huntsville Avenue,40 mph,
12966685,residential,False,False,58.55,"LINESTRING (-94.1278009 36.1897736, -94.1271488 36.189757)",Rhodes Avenue,,
12966685,residential,False,True,173.934,"LINESTRING (-94.1278009 36.1897736, -94.128828 36.1897957, -94.1297382 36.1898202)",Rhodes Avenue,,
12956866,residential,False,True,101.528,"LINESTRING (-94.1261734 36.1867856, -94.1273042 36.1868125)",East Center Avenue,,
12956866,residential,False,False,105.622,"LINESTRING (-94.1261734 36.1867856, -94.126008 36.1867816, -94.125515 36.1867699, -94.124997 36.1867576)",East Center Avenue,,
12970613,unclassified,False,True,75.287,"LINESTRING (-94.1261734 36.1867856, -94.1262026 36.186195, -94.1262281 36.1861115)",North Water Street,,
12956866,residential,False,False,77.792,"LINESTRING (-94.124997 36.1867576, -94.1241303 36.1867463)",East Center Avenue,,
158522435,tertiary,False,True,75.885,"LINESTRING (-94.124997 36.1867576, -94.1250149 36.1860753)",Berry Street,,
12956866,residential,False,True,105.622,"LINESTRING (-94.124997 36.1867576, -94.125515 36.1867699, -94.126008 36.1867816, -94.1261734 36.1867856)",East Center Avenue,,
