osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed
15410870,True,West Brenham Street,residential,False,50.047999999999995,"LINESTRING (-97.5606606 30.3380362, -97.5605652 30.337986, -97.5605397 30.3379726, -97.5604378 30.3379402, -97.5603305 30.3379326, -97.5602292 30.3379425, -97.5601736 30.3379656)",,,
655501831,False,South Bastrop Street,residential,False,107.77099999999999,"LINESTRING (-97.5606606 30.3380362, -97.5606046 30.3381219, -97.5605342 30.338256, -97.5604805 30.3383861, -97.5604391 30.3385624, -97.5603439 30.3389596)",,,
180768552,False,East Parsons Street,secondary,False,11.131,"LINESTRING (-97.552152 30.341571, -97.552065 30.3416372)",2,Loop 212;FM 973,35 mph
122454715,False,North Lampasas Street,residential,False,44.525999999999996,"LINESTRING (-97.552152 30.341571, -97.5521843 30.3416393, -97.5521957 30.3416827, -97.5521967 30.3417319, -97.552123 30.341956)",,,
180768552,False,East Parsons Street,secondary,True,70.045,"LINESTRING (-97.552152 30.341571, -97.5524996 30.3413061, -97.5527013 30.3411562)",2,Loop 212;FM 973,35 mph
15389073,False,East Eggleston Street,residential,False,100.061,"LINESTRING (-97.552123 30.341956, -97.5531484 30.3421192)",,,
15389073,False,East Eggleston Street,residential,True,38.902,"LINESTRING (-97.552123 30.341956, -97.5517253 30.3418882)",,,
122454715,False,North Lampasas Street,residential,False,96.562,"LINESTRING (-97.552123 30.341956, -97.5521146 30.3419917, -97.551922 30.3428069)",,,
122454715,False,North Lampasas Street,residential,True,44.525999999999996,"LINESTRING (-97.552123 30.341956, -97.5521967 30.3417319, -97.5521957 30.3416827, -97.5521843 30.3416393, -97.552152 30.341571)",,,
15376215,False,East Wheeler Street,residential,False,99.048,"LINESTRING (-97.551922 30.3428069, -97.550906 30.34265)",,,
15376215,False,East Wheeler Street,residential,True,99.22,"LINESTRING (-97.551922 30.3428069, -97.5529348 30.3429864)",,,
122454715,False,North Lampasas Street,residential,False,103.67,"LINESTRING (-97.551922 30.3428069, -97.551813 30.3432511, -97.5516982 30.343719)",,,
122454715,False,North Lampasas Street,residential,True,96.562,"LINESTRING (-97.551922 30.3428069, -97.5521146 30.3419917, -97.552123 30.341956)",,,
122454712,False,East Browning Street,residential,True,99.879,"LINESTRING (-97.5516982 30.343719, -97.5527138 30.3439155)",,,
"[635672945, 122454715, 15399289]",False,"['North Lockhart Street', 'North Lampasas Street']",residential,False,205.06100000000004,"LINESTRING (-97.5516982 30.343719, -97.5516462 30.3439254, -97.5516439 30.3440083, -97.5516668 30.3441187, -97.5517396 30.3441912, -97.55185 30.3442556, -97.5522586 30.3444566, -97.5523489 30.3444852, -97.5524594 30.3444914, -97.5525287 30.3444594, -97.552575 30.34441, -97.5526226 30.3443211, -97.5527138 30.3439155)",,,
"[122454712, 15380977]",False,"['East Browning Street', 'Gregg Street']",residential,"[False, True]",193.368,"LINESTRING (-97.5516982 30.343719, -97.5507876 30.3435409, -97.5507325 30.3434963, -97.5507087 30.3434386, -97.550906 30.34265)",,,
122454715,False,North Lampasas Street,residential,True,103.67,"LINESTRING (-97.5516982 30.343719, -97.551813 30.3432511, -97.551922 30.3428069)",,,
15386237,False,West Wheeler Street,residential,True,101.805,"LINESTRING (-97.5570708 30.343722, -97.558111 30.3439019)",,,
15393868,False,North Lexington Street,secondary,False,102.062,"LINESTRING (-97.5570708 30.343722, -97.5568574 30.3446212)",2,Loop 212,
655501819,False,East Wheeler Street,residential,False,101.488,"LINESTRING (-97.5570708 30.343722, -97.5563367 30.3436011, -97.5561462 30.3435697, -97.5560319 30.3435512)",,,
655501821,False,North Lexington Street,secondary,True,101.185,"LINESTRING (-97.5570708 30.343722, -97.5571736 30.3432833, -97.5572776 30.3428297)",2,Loop 212,
15376215,False,East Wheeler Street,residential,False,101.424,"LINESTRING (-97.5560319 30.3435512, -97.5549986 30.3433595)",,,
15391622,False,North Burnet Street,residential,True,102.127,"LINESTRING (-97.5560319 30.3435512, -97.5558027 30.3444481)",,,
655501818,False,North Burnet Street,residential,False,101.95199999999998,"LINESTRING (-97.5560319 30.3435512, -97.5561309 30.3431225, -97.5561445 30.3430636, -97.556229 30.3426977, -97.5562395 30.342652)",,,
655501819,False,East Wheeler Street,residential,True,101.488,"LINESTRING (-97.5560319 30.3435512, -97.5561462 30.3435697, -97.5563367 30.3436011, -97.5570708 30.343722)",,,
15376215,False,East Wheeler Street,residential,True,101.424,"LINESTRING (-97.5549986 30.3433595, -97.5560319 30.3435512)",,,
15377366,False,North La Grange Street,residential,True,103.077,"LINESTRING (-97.5549986 30.3433595, -97.554784 30.3442678)",,,
15376215,False,East Wheeler Street,residential,False,202.358,"LINESTRING (-97.5549986 30.3433595, -97.5539937 30.3431682, -97.5529348 30.3429864)",,,
15377366,False,North La Grange Street,residential,False,100.004,"LINESTRING (-97.5549986 30.3433595, -97.5552033 30.3425239, -97.5552142 30.3424796)",,,
15376215,False,East Wheeler Street,residential,False,99.22,"LINESTRING (-97.5529348 30.3429864, -97.551922 30.3428069)",,,
15399289,False,North Lockhart Street,residential,True,105.466,"LINESTRING (-97.5529348 30.3429864, -97.5527138 30.3439155)",,,
15376215,False,East Wheeler Street,residential,True,202.358,"LINESTRING (-97.5529348 30.3429864, -97.5539937 30.3431682, -97.5549986 30.3433595)",,,
15399289,False,North Lockhart Street,residential,False,98.583,"LINESTRING (-97.5529348 30.3429864, -97.5531311 30.3421893, -97.5531484 30.3421192)",,,
15376215,False,East Wheeler Street,residential,True,99.048,"LINESTRING (-97.550906 30.34265, -97.551922 30.3428069)",,,
"[122454712, 15380977]",False,"['East Browning Street', 'Gregg Street']",residential,"[False, True]",193.368,"LINESTRING (-97.550906 30.34265, -97.5507087 30.3434386, -97.5507325 30.3434963, -97.5507876 30.3435409, -97.5516982 30.343719)",,,
15384556,False,South Bastrop Street,residential,False,190.703,"LINESTRING (-97.5601245 30.3397632, -97.5600813 30.3398218, -97.5600629 30.3398467, -97.5599909 30.3400918, -97.5599702 30.3401578, -97.5599283 30.3403396, -97.5598238 30.3409943, -97.5597365 30.3414365)",,,
655501827,False,South Bastrop Street,residential,True,91.89499999999998,"LINESTRING (-97.5601245 30.3397632, -97.5601486 30.3396971, -97.5602004 30.3395548, -97.5602492 30.3393661, -97.5603217 30.3390549, -97.5603439 30.3389596)",,,
