osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,ref
10142154,South 1630 West,residential,False,True,99.82,"LINESTRING (-111.9370148 40.4854176, -111.937058 40.4863147)",,,,
10130363,South 1515 West,residential,False,False,138.824,"LINESTRING (-111.9342361 40.4864815, -111.9343558 40.4870096, -111.9343763 40.487117, -111.9344073 40.4872797, -111.9344678 40.48763, -111.9343757 40.4876805)",,,,
"[483120092, 425613622, 425613623]",West 14600 South,tertiary,False,True,239.38400000000001,"LINESTRING (-111.9342361 40.4864815, -111.9343937 40.4864748, -111.9358164 40.4863821, -111.9362602 40.4863532, -111.9363062 40.486351, -111.9364323 40.4863449, -111.937058 40.4863147)",2,yes,,
10130363,South 1515 West,residential,False,True,138.824,"LINESTRING (-111.9343757 40.4876805, -111.9344678 40.48763, -111.9344073 40.4872797, -111.9343763 40.487117, -111.9343558 40.4870096, -111.9342361 40.4864815)",,,,
1024037382,14400 South,secondary,False,True,15.006,"LINESTRING (-111.9398992 40.4896271, -111.9400764 40.48962)",2,,35 mph,
10142100,South Camp Williams Road,primary,True,False,210.29700000000003,"LINESTRING (-111.9398992 40.4896271, -111.9397625 40.4899449, -111.9394065 40.4908505, -111.939316 40.4910413, -111.9391982 40.4913402, -111.939211 40.4914365)",2,,45 mph,UT 68
39221621,14400 South,tertiary,False,False,56.452999999999996,"LINESTRING (-111.9398992 40.4896271, -111.939754 40.4896317, -111.9395985 40.4896354, -111.939543 40.4896408, -111.9394311 40.489659, -111.9392521 40.4897202)",,,,
39221615,South 1690 West,tertiary,False,True,386.76000000000005,"LINESTRING (-111.9392521 40.4897202, -111.9391719 40.4896347, -111.9391284 40.4895883, -111.9391023 40.4895378, -111.9390671 40.4894698, -111.9390534 40.4892133, -111.9390283 40.4884273, -111.9390207 40.4881904, -111.9390389 40.4880269, -111.9390799 40.4878806, -111.9391125 40.4877439, -111.9391186 40.4876403, -111.9391178 40.4875251, -111.9391018 40.4870981, -111.9390943 40.4868963, -111.9390821 40.4868031, -111.9390178 40.4862907)",,,,
"[39221617, 801944205, 791174201]","['South 1690 West', 'South Loumis Parkway']",tertiary,False,False,229.22299999999998,"LINESTRING (-111.9392521 40.4897202, -111.9391798 40.4897688, -111.9391407 40.4898138, -111.9390533 40.4899705, -111.9390163 40.4902353, -111.9389848 40.4905471, -111.938981 40.4905856, -111.9389517 40.4908252, -111.9389181 40.4909026, -111.9388136 40.4910315, -111.9386386 40.4911963, -111.9384224 40.4913056, -111.9382227 40.4913715, -111.9380991 40.4913989)",2,,25 mph,
39221621,14400 South,tertiary,False,True,56.452999999999996,"LINESTRING (-111.9392521 40.4897202, -111.9394311 40.489659, -111.939543 40.4896408, -111.9395985 40.4896354, -111.939754 40.4896317, -111.9398992 40.4896271)",,,,
