osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge
81262308,North Street,residential,30 mph,False,False,34.578,"LINESTRING (-99.1354063 30.0467787, -99.1356568 30.0470016)",,,,
81262308,North Street,residential,30 mph,False,True,34.578,"LINESTRING (-99.1356568 30.0470016, -99.1354063 30.0467787)",,,,
81262308,North Street,residential,30 mph,False,False,77.99000000000001,"LINESTRING (-99.1356568 30.0470016, -99.1361744 30.0474369, -99.1362391 30.0474893)",,,,
81262308,North Street,residential,30 mph,False,False,146.858,"LINESTRING (-99.1362391 30.0474893, -99.1362897 30.0475364, -99.1367643 30.0479786, -99.1368936 30.0480899, -99.1372232 30.0483737, -99.137299 30.048439)",,,,
81262308,North Street,residential,30 mph,False,True,77.99000000000001,"LINESTRING (-99.1362391 30.0474893, -99.1361744 30.0474369, -99.1356568 30.0470016)",,,,
1252017488,Washington Street,residential,,False,True,143.81799999999998,"LINESTRING (-99.1362391 30.0474893, -99.1362754 30.0474586, -99.1362948 30.0474423, -99.1367374 30.0470527, -99.1371798 30.0466633, -99.1372115 30.0466354, -99.1372879 30.0465681)",,,,
"[1252017489, 1252017490, 1252017491]",Washington Street,residential,,False,False,197.82799999999997,"LINESTRING (-99.1362391 30.0474893, -99.1361868 30.0475369, -99.1361721 30.0475503, -99.1355693 30.0480738, -99.1354125 30.0482102, -99.135198 30.0483966, -99.1348724 30.0486797, -99.134853 30.0486966, -99.1347903 30.0487512)",,,,
81262308,North Street,residential,30 mph,False,False,146.266,"LINESTRING (-99.137299 30.048439, -99.1373847 30.0485128, -99.1378745 30.0489349, -99.1382962 30.0492983, -99.138376 30.049367)",,,,
81262308,North Street,residential,30 mph,False,True,146.85799999999998,"LINESTRING (-99.137299 30.048439, -99.1372232 30.0483737, -99.1368936 30.0480899, -99.1367643 30.0479786, -99.1362897 30.0475364, -99.1362391 30.0474893)",,,,
"[1252017496, 44769172]",Earl Garrett Street,residential,,False,False,195.79300000000003,"LINESTRING (-99.137299 30.048439, -99.1372357 30.0484973, -99.1363605 30.0492787, -99.1359395 30.0496382, -99.1358742 30.0496956)",,,,
1252017496,Earl Garrett Street,residential,,False,True,144.15999999999997,"LINESTRING (-99.137299 30.048439, -99.1373777 30.0483689, -99.1377501 30.0480372, -99.1382674 30.047574, -99.138282 30.0475607, -99.1383412 30.0475079)",,,,
