osmid,oneway,name,highway,maxspeed,width,reversed,length,lanes,geometry,ref,bridge
9407837,True,Depot Street,tertiary,30 mph,30.5,False,14.25,,"LINESTRING (-73.2578648 42.4493376, -73.2580067 42.4492637)",,
9409109,True,Center Street,residential,,15.2,False,310.327,2,"LINESTRING (-73.2578648 42.4493376, -73.2578542 42.4494203, -73.2578368 42.4495147, -73.2577671 42.4497057, -73.257702 42.449897, -73.2576245 42.4501077, -73.2575906 42.4501974, -73.2575389 42.450287, -73.2574906 42.4503531, -73.2574014 42.4504528, -73.2573189 42.4505263, -73.2572132 42.4506032, -73.2570913 42.4506742, -73.2569562 42.4507397, -73.2568016 42.4507918, -73.2566774 42.4508212, -73.2565641 42.4508457, -73.2563578 42.4508821, -73.2561345 42.4509247, -73.2559946 42.4509555, -73.2558837 42.4509895, -73.2558 42.451021, -73.255479 42.451159)",,
845768572,False,Dewey Avenue,tertiary,,15.2,False,50.258,2,"LINESTRING (-73.260479 42.453791, -73.260351 42.454233)",,
9408453,False,Southern Avenue,residential,25 mph,9.1,False,117.297,2,"LINESTRING (-73.260479 42.453791, -73.259653 42.453661, -73.259078 42.453581)",,
845768572,False,Dewey Avenue,tertiary,,15.2,True,132.852,2,"LINESTRING (-73.260479 42.453791, -73.260488 42.453759, -73.26064 42.453202, -73.260705 42.452989, -73.260875 42.452691, -73.260911 42.452646)",,
9407536,False,,residential,,,True,20.51,,"LINESTRING (-73.258264 42.452237, -73.258361 42.452067)",,
9407991,False,Daniels Avenue,residential,25 mph,15.2,False,182.215,2,"LINESTRING (-73.258264 42.452237, -73.258235 42.452359, -73.258125 42.452751, -73.257991 42.453224, -73.257836 42.453799, -73.257823 42.453843)",,
845768573,False,Columbus Avenue,residential,30 mph,15.2,False,98.549,2,"LINESTRING (-73.258264 42.452237, -73.257883 42.452177, -73.257086 42.452064)",,
845768573,False,Columbus Avenue,residential,30 mph,15.2,True,94.90299999999999,2,"LINESTRING (-73.258264 42.452237, -73.258836 42.452326, -73.259395 42.452416)",,
9408629,False,Division Street,residential,25 mph,,True,101.073,2,"LINESTRING (-73.25856 42.450446, -73.258649 42.450487, -73.258875 42.450543, -73.2591582 42.4506154, -73.259434 42.450682, -73.259721 42.450743)",,
9409144,False,Francis Avenue,tertiary,25 mph,15.2,False,108.514,2,"LINESTRING (-73.25856 42.450446, -73.258174 42.4507, -73.257804 42.450944, -73.257636 42.451057, -73.257583 42.451103)",,
"[9409144, 9409331]",False,"['Circular Avenue', 'Francis Avenue']","['tertiary', 'residential']",25 mph,"['12.2', '15.2']",True,137.69,2,"LINESTRING (-73.25856 42.450446, -73.258903 42.450212, -73.2592914 42.4499761, -73.25936 42.449956, -73.259416 42.449954, -73.259509 42.449959, -73.259801 42.450055, -73.259939 42.450122)",,
9408939,False,John Street,residential,25 mph,15.2,True,105.181,2,"LINESTRING (-73.261946 42.454869, -73.262019 42.454687, -73.262254 42.454058, -73.262291 42.453958)",,
9409468,False,West Union Street,residential,25 mph,15.2,True,156.495,2,"LINESTRING (-73.261946 42.454869, -73.262476 42.454956, -73.263043 42.455039, -73.263456 42.455097, -73.263812 42.45516)",,
9408875,False,Hurlbut Street,residential,25 mph,18.3,True,10.136,2,"LINESTRING (-73.2599807 42.4477416, -73.2599985 42.4476514)",,
845800379,True,West Street,tertiary,,,False,262.577,2,"LINESTRING (-73.2599807 42.4477416, -73.2602498 42.4477525, -73.2604537 42.447774, -73.2605562 42.4477908, -73.2606534 42.44781, -73.2607435 42.4478367, -73.260822 42.44786, -73.260949 42.447917, -73.26105 42.447977, -73.261088 42.447998, -73.2611071 42.4480132, -73.261137 42.448037, -73.261174 42.448072, -73.2613 42.448193, -73.26138 42.448289, -73.261456 42.44838, -73.261495 42.448427, -73.2615697 42.4485338, -73.2616411 42.4486537, -73.261712 42.4487908, -73.2617779 42.4489368, -73.261816 42.4490458, -73.2618681 42.4492163, -73.2618951 42.449335)",,
9409468,False,West Union Street,residential,25 mph,15.2,False,156.495,2,"LINESTRING (-73.263812 42.45516, -73.263456 42.455097, -73.263043 42.455039, -73.262476 42.454956, -73.261946 42.454869)",,
9409468,False,West Union Street,residential,25 mph,15.2,True,70.848,2,"LINESTRING (-73.263812 42.45516, -73.264484 42.455244, -73.264662 42.455272)",,
9409577,False,Onota Street,tertiary,,15.2,True,109.36699999999999,2,"LINESTRING (-73.263812 42.45516, -73.26387 42.455018, -73.263976 42.454725, -73.264098 42.454245, -73.264108 42.454202)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,False,37.065,2,"LINESTRING (-73.259231 42.452173, -73.259317 42.452189, -73.259368 42.452211, -73.259424 42.45225, -73.259414 42.452331, -73.259395 42.452416)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,True,164.034,2,"LINESTRING (-73.259231 42.452173, -73.259322 42.451902, -73.259424 42.451637, -73.259528 42.451342, -73.259627 42.451041, -73.259721 42.450743)",,
9409331,False,Circular Avenue,residential,25 mph,12.2,False,203.547,2,"LINESTRING (-73.259231 42.452173, -73.259496 42.452146, -73.259794 42.452054, -73.25998 42.451945, -73.260174 42.451824, -73.260361 42.451689, -73.260459 42.45157, -73.260569 42.451391, -73.260617 42.451211, -73.260632 42.451029, -73.260616 42.450892)",,
9409331,False,Circular Avenue,residential,25 mph,12.2,True,72.805,2,"LINESTRING (-73.259231 42.452173, -73.259008 42.452173, -73.258801 42.452151, -73.258472 42.452097, -73.258361 42.452067)",,
9406333,True,Church Street,tertiary,25 mph,15.2,False,118.087,2,"LINESTRING (-73.2576638 42.4473721, -73.2575205 42.44735, -73.257374 42.4473275, -73.2571148 42.4472876, -73.2568664 42.4472493, -73.2564309 42.4471821, -73.256255 42.447155)",,
"[33418138, 954333819]",True,Center Street,trunk,25 mph,"['30.5', '12']",False,89.63499999999999,"['3', '2']","LINESTRING (-73.2576638 42.4473721, -73.2575986 42.4474605, -73.2575777 42.4475421, -73.2575881 42.4476844, -73.2576386 42.447969, -73.2576435 42.4479956, -73.2576741 42.4481601)",MA 9,
9408540,False,Schuyler Street,residential,25 mph,14.6,False,100.10600000000001,2,"LINESTRING (-73.265973 42.451757, -73.26552 42.451696, -73.265112 42.451636, -73.264892 42.451612, -73.264776 42.451586)",,
9408996,False,Albro Street,residential,25 mph,19.8,False,179.159,2,"LINESTRING (-73.265973 42.451757, -73.265932 42.451935, -73.26577 42.452537, -73.265574 42.453341)",,
9409468,False,West Union Street,residential,25 mph,15.2,False,70.848,2,"LINESTRING (-73.264662 42.455272, -73.264484 42.455244, -73.263812 42.45516)",,
9409468,False,West Union Street,residential,25 mph,15.2,True,86.53200000000001,2,"LINESTRING (-73.264662 42.455272, -73.265238 42.455364, -73.265696 42.455425)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,False,50.166,2,"LINESTRING (-73.259078 42.453581, -73.258949 42.454022)",,
9408453,False,Southern Avenue,residential,25 mph,9.1,True,117.297,2,"LINESTRING (-73.259078 42.453581, -73.259653 42.453661, -73.260479 42.453791)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,True,132.12900000000002,2,"LINESTRING (-73.259078 42.453581, -73.25925 42.452963, -73.259317 42.452703, -73.259395 42.452416)",,
845800378,False,South Church Street,residential,25 mph,18.3,False,50.434,2,"LINESTRING (-73.2601609 42.4469113, -73.259558 42.446823)",,
9408875,False,Hurlbut Street,residential,25 mph,18.3,False,83.468,2,"LINESTRING (-73.2601609 42.4469113, -73.2601604 42.4469483, -73.2601579 42.4469829, -73.2601565 42.447002, -73.2601512 42.4470374, -73.2601217 42.4471555, -73.26005 42.4474442, -73.2600246 42.4475462, -73.2599985 42.4476514)",,
9409200,False,South Church Street,residential,25 mph,18.3,True,108.208,2,"LINESTRING (-73.2601609 42.4469113, -73.2602651 42.4469267, -73.2603383 42.4469429, -73.2604128 42.4469681, -73.260693 42.447093, -73.2607595 42.4471222, -73.261053 42.447251, -73.26135 42.447311)",,
9408417,False,Prospect Street,residential,25 mph,15.2,False,94.499,2,"LINESTRING (-73.258949 42.454022, -73.257823 42.453843)",,
9408417,False,Prospect Street,residential,25 mph,15.2,True,117.391,2,"LINESTRING (-73.258949 42.454022, -73.260351 42.454233)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,True,50.166,2,"LINESTRING (-73.258949 42.454022, -73.259078 42.453581)",,
9409178,False,Robbins Avenue,residential,25 mph,13.7,False,136.044,2,"LINESTRING (-73.258949 42.454022, -73.258775 42.454711, -73.2586234 42.4552215)",,
9408888,False,Mckay Street,residential,25 mph,,False,11.984,2,"LINESTRING (-73.2550397 42.4485799, -73.2550029 42.4486842)",,
"[9409092, 954333823]",True,West Street,trunk,30 mph,10.8,False,86.93900000000001,"['3', '2']","LINESTRING (-73.2550397 42.4485799, -73.2544632 42.448486, -73.2542426 42.4484479, -73.2541687 42.4484278, -73.2541559 42.4484243, -73.2540945 42.4483992, -73.2540301 42.4483641)",MA 9,
9409577,False,Onota Street,tertiary,,15.2,True,179.071,2,"LINESTRING (-73.2643663 42.4531678, -73.264776 42.451586)",,
