osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,access,geometry,bridge,junction
178272620,Snargate Street,residential,30 mph,False,False,7.122,,,,"LINESTRING (1.3104388 51.1212002, 1.3103505 51.1212323)",,
828808033,Snargate Street,trunk,40 mph,True,False,244.26200000000003,2,A20,yes,"LINESTRING (1.3104388 51.1212002, 1.3109494 51.1216876, 1.3114196 51.1221732, 1.3116525 51.1223855, 1.311818 51.1225131, 1.3120447 51.1226712, 1.3122039 51.1227661, 1.3123215 51.1228408, 1.3125163 51.122955)",,
103969647,Mill Lane,residential,30 mph,True,False,6.659,,,,"LINESTRING (1.3146449 51.12377, 1.3145993 51.1238226)",,
"[940782338, 940782339, 933769, 71167113, 71167115]",Townwall Street,trunk,40 mph,True,False,297.23400000000004,"['3', '2']",A20,yes,"LINESTRING (1.3146449 51.12377, 1.3148944 51.123857, 1.3150342 51.1239085, 1.3155286 51.1240985, 1.3162775 51.1243843, 1.3168205 51.1245916, 1.3172695 51.1247639, 1.3176501 51.1249173, 1.3180989 51.12511, 1.3182668 51.1251751)",yes,
23469284,Camden Crescent,residential,30 mph,False,True,119.45700000000002,,,,"LINESTRING (1.3160476 51.1237027, 1.3156769 51.1235553, 1.3153775 51.1234411, 1.3152792 51.1233983, 1.3152003 51.1233462, 1.3151024 51.1232596, 1.315045 51.1231915, 1.3150111 51.1231408, 1.3148667 51.1229695)",,
23469286,Wellesley Road,residential,30 mph,False,False,29.169,,,,"LINESTRING (1.3160476 51.1237027, 1.3159529 51.12379, 1.3158123 51.1239195)",,
23469286,Wellesley Road,residential,30 mph,False,True,56.105000000000004,,,,"LINESTRING (1.3160476 51.1237027, 1.3161081 51.123647, 1.316136 51.1236213, 1.3165002 51.1232857)",,
4381945,Cambridge Road,residential,30 mph,False,True,32.797,,,,"LINESTRING (1.3133543 51.1214425, 1.3137761 51.1213125)",,
23469282,Cambridge Road,residential,30 mph,True,False,187.90800000000002,,,,"LINESTRING (1.3133543 51.1214425, 1.3136776 51.1218367, 1.3140397 51.122225, 1.314361 51.1226541, 1.314377 51.1226687, 1.314571 51.1228457, 1.3147079 51.1228722)",,
23469286,Wellesley Road,residential,30 mph,False,False,56.105000000000004,,,,"LINESTRING (1.3165002 51.1232857, 1.316136 51.1236213, 1.3161081 51.123647, 1.3160476 51.1237027)",,
"[104509587, 71165700]","['Marine Parade', 'Waterloo Crescent']",residential,30 mph,False,True,292.672,2,,,"LINESTRING (1.3165002 51.1232857, 1.3157827 51.1229105, 1.315694 51.1228592, 1.315375 51.1226786, 1.3151182 51.1225168, 1.3150571 51.1224762, 1.3147452 51.1222335, 1.3143533 51.1218896, 1.314075 51.1216305, 1.3137761 51.1213125)",,
31621123,Folkestone Road,secondary,30 mph,False,True,4.797,,B2011,,"LINESTRING (1.3082907 51.1258079, 1.3082231 51.1258001)",,
31621123,Folkestone Road,secondary,30 mph,False,False,66.83699999999999,,B2011,,"LINESTRING (1.3082907 51.1258079, 1.3083697 51.1258241, 1.3087209 51.1259284, 1.3091638 51.1260541)",,
31621123,Folkestone Road,secondary,30 mph,False,True,66.83699999999999,,B2011,,"LINESTRING (1.3091638 51.1260541, 1.3087209 51.1259284, 1.3083697 51.1258241, 1.3082907 51.1258079)",,
144219513,Folkestone Road,secondary,30 mph,True,False,37.464,,B2011,,"LINESTRING (1.3091638 51.1260541, 1.3092894 51.1261529, 1.3093576 51.126244, 1.3093915 51.1263518)",,
1218334873,York Street,primary,30 mph,True,False,30.257,2,A256,,"LINESTRING (1.309957 51.1264051, 1.3102878 51.1262292)",,
144219516,,primary,30 mph,True,False,24.73,,,,"LINESTRING (1.309957 51.1264051, 1.3099593 51.1263237, 1.3099344 51.1262794, 1.309892 51.1262406, 1.3098351 51.1262101)",,roundabout
144219514,,primary,30 mph,True,False,8.111,,,,"LINESTRING (1.3098351 51.1262101, 1.3097834 51.1261934, 1.3097275 51.1261835)",,roundabout
5010089,Priory Road,primary,30 mph,True,False,68.392,,A256,,"LINESTRING (1.309418 51.1264372, 1.309476 51.1266593, 1.309476 51.1267734, 1.3094427 51.1268909, 1.3093444 51.1270348)",,
443210105,,primary,30 mph,True,False,38.67300000000001,,,,"LINESTRING (1.309418 51.1264372, 1.3094594 51.1264778, 1.3095165 51.1265101, 1.3095852 51.1265317, 1.3096605 51.1265411, 1.3097371 51.1265376, 1.3098095 51.1265215, 1.3098887 51.1264906)",,roundabout
443210122,,primary,30 mph,True,False,10.678999999999998,,,,"LINESTRING (1.3098887 51.1264906, 1.3099097 51.126468, 1.3099382 51.126438, 1.309957 51.1264051)",,roundabout
5010113,Worthington Street,residential,30 mph,True,False,42.642,,,,"LINESTRING (1.3102878 51.1262292, 1.3107833 51.1264536)",,
4434671,York Street,primary,30 mph,True,False,95.296,2,A256,,"LINESTRING (1.3102878 51.1262292, 1.3105119 51.1260579, 1.3111174 51.1255487)",,
4434674,New Street,residential,30 mph,False,False,39.303,,,,"LINESTRING (1.3111174 51.1255487, 1.3114773 51.1257117, 1.3115684 51.1257601)",,
5010137,York Street,primary,30 mph,True,False,175.992,2,A256,,"LINESTRING (1.3111174 51.1255487, 1.3116717 51.1250638, 1.3124558 51.1243878, 1.3126117 51.1242744)",,
27237661,Queen's Gardens,residential,30 mph,False,False,94.596,,,,"LINESTRING (1.3115684 51.1257601, 1.3107833 51.1264536)",,
4434674,New Street,residential,30 mph,False,False,65.045,,,,"LINESTRING (1.3115684 51.1257601, 1.3118117 51.1258788, 1.3122884 51.1261314)",,
4434674,New Street,residential,30 mph,False,True,39.303,,,,"LINESTRING (1.3115684 51.1257601, 1.3114773 51.1257117, 1.3111174 51.1255487)",,
