osmid,oneway,lanes,highway,reversed,length,geometry,name,ref
15305570,True,1,secondary_link,False,101.471,"LINESTRING (-95.6951895 29.9716957, -95.6949724 29.971684, -95.694717 29.971722, -95.694512 29.9717886, -95.694417 29.971883, -95.694388 29.972066)",,
1035058028,True,3,secondary,False,29.820999999999998,"LINESTRING (-95.6951895 29.9716957, -95.6950662 29.9716217, -95.694935 29.971543)",Northwest Freeway Frontage Road,
"[423696608, 1034168976, 423696606]",True,3,secondary,False,433.61699999999996,"LINESTRING (-95.699401 29.973204, -95.6984727 29.9729909, -95.698055 29.972895, -95.697493 29.972735, -95.6971479 29.9726204, -95.696921 29.972545, -95.696193 29.972239, -95.6957733 29.9720252, -95.695471 29.9718713, -95.695388 29.971829, -95.69526 29.971743)",Northwest Freeway Frontage Road,
15305578,True,1,secondary_link,False,98.06800000000001,"LINESTRING (-95.693644 29.971532, -95.6938507 29.9715532, -95.694011 29.971539, -95.694063 29.971512, -95.694263 29.971407, -95.694304 29.971385, -95.6943624 29.9712676, -95.694365 29.9711303)",,
1031655966,True,4,secondary,False,27.792,"LINESTRING (-95.693644 29.971532, -95.6937514 29.9716185, -95.693859 29.9716986)",Northwest Freeway Frontage Road,
1067464344,True,4,secondary,False,46.273,"LINESTRING (-95.7004046 29.9734108, -95.7000654 29.9733346, -95.7000307 29.9733268, -95.6999396 29.9733063)",Northwest Freeway Frontage Road,
422781436,True,2,tertiary,False,34.702,"LINESTRING (-95.694935 29.971543, -95.6952845 29.9714673)",Spring Cypress Road,
1035058029,True,,secondary,False,18.939,"LINESTRING (-95.694935 29.971543, -95.6947811 29.971437)",Northwest Freeway Frontage Road,
1034168977,True,,secondary,False,13.882,"LINESTRING (-95.6999396 29.9733063, -95.6998003 29.9732743)",Northwest Freeway Frontage Road,
"[1067094882, 47916724]",True,"['3', '2']",secondary,False,98.643,"LINESTRING (-95.6999396 29.9733063, -95.6999707 29.9732211, -95.7000275 29.9730651, -95.7002123 29.9727375, -95.7003489 29.9724953)",Fry Road,
