osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,bridge,ref
9139856,2,Houghton Street,tertiary,11.0,False,False,76.376,"LINESTRING (-73.113704 42.702802, -73.113708 42.7028687, -73.1137229 42.7031169, -73.1137452 42.7034882)",,,
"[224701888, 224701883, 9139846]",2,Marshall Street,tertiary,15.2,False,True,212.02899999999997,"LINESTRING (-73.113704 42.702802, -73.1136878 42.7025108, -73.1136751 42.7023688, -73.1136683 42.7022831, -73.1136614 42.7021826, -73.1136572 42.7020843, -73.1136551 42.7019752, -73.1136517 42.7018683, -73.113651 42.7018267, -73.1136447 42.7014411, -73.1136438 42.7013854, -73.1136441 42.7013403, -73.1136468 42.7012842, -73.1136531 42.7012339, -73.1136629 42.7011848, -73.1136882 42.7010841, -73.1136975 42.7010363, -73.1137013 42.7009936, -73.1137018 42.7009883, -73.1137018 42.7008992)","['25 mph', '30 mph']",yes,
224701885,2,River Street,tertiary,13.1,False,True,290.038,"LINESTRING (-73.113704 42.702802, -73.114178 42.7027863, -73.1145522 42.7027739, -73.1146429 42.7027709, -73.1148587 42.702765, -73.115074 42.702764, -73.1151125 42.7027638, -73.1169087 42.7027545, -73.1170734 42.7027548, -73.1172519 42.7027626)",30 mph,,
431587368,2,River Street,tertiary,13.1,False,False,67.664,"LINESTRING (-73.113704 42.702802, -73.1133394 42.7028176, -73.1131934 42.7028239, -73.1130407 42.7028268, -73.1128769 42.7028245)",,,
9140137,2,Bracewell Avenue,residential,10.7,False,False,77.312,"LINESTRING (-73.1137452 42.7034882, -73.1128008 42.7034462)",,,
9139856,2,Houghton Street,tertiary,11.0,False,True,76.376,"LINESTRING (-73.1137452 42.7034882, -73.1137229 42.7031169, -73.113708 42.7028687, -73.113704 42.702802)",,,
9140305,2,Furnace Street,residential,15.2,False,False,41.552,"LINESTRING (-73.1154337 42.6964033, -73.1153971 42.6965243, -73.1153629 42.6966333, -73.1153155 42.6967667)",,,
9139973,2,Freeman Avenue,residential,9.1,False,True,82.71,"LINESTRING (-73.1085127 42.7032555, -73.1087437 42.7025313)",,,
9140137,2,Bracewell Avenue,residential,10.7,False,True,65.802,"LINESTRING (-73.1085127 42.7032555, -73.1093165 42.7032912)",,,
9140137,2,Bracewell Avenue,residential,10.7,False,False,138.59300000000002,"LINESTRING (-73.1085127 42.7032555, -73.1082613 42.7032443, -73.1081554 42.7032332, -73.1080569 42.7032158, -73.1079476 42.7031889, -73.106908 42.7028814)",,,
