osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes
10010799,True,South Highway 67,secondary,55 mph,False,32.04,"LINESTRING (-96.9502411 32.5850511, -96.9500409 32.5852847)",
9941483,True,,secondary_link,,False,111.46300000000001,"LINESTRING (-96.9502411 32.5850511, -96.9502399 32.5851564, -96.9502523 32.5852063, -96.9502752 32.5852434, -96.9503149 32.5852798, -96.9508248 32.5855874, -96.9508719 32.5856066, -96.9509168 32.5856115, -96.950965 32.5856086, -96.9510771 32.5855662)",
10010793,True,South Highway 67,secondary,55 mph,False,60.828,"LINESTRING (-96.9510771 32.5855662, -96.951467 32.5851288)",2
10010793,True,South Highway 67,secondary,55 mph,False,29.611,"LINESTRING (-96.9506794 32.5860241, -96.9508543 32.5858023)",2
10010799,True,South Highway 67,secondary,55 mph,False,79.688,"LINESTRING (-96.950727 32.584463, -96.950594 32.584632, -96.9502411 32.5850511)",
9953117,False,South Broad Street,residential,30 mph,True,10.736,"LINESTRING (-96.9570614 32.5898611, -96.9570696 32.5899574)",2
151786896,True,West Belt Line Road,secondary,45 mph,False,66.002,"LINESTRING (-96.9570614 32.5898611, -96.956357 32.589871)",
9953117,False,South Broad Street,residential,30 mph,False,131.69799999999998,"LINESTRING (-96.9570614 32.5898611, -96.9570729 32.5894953, -96.9570778 32.5893399, -96.9570799 32.5892733, -96.9570828 32.5891237, -96.9570915 32.588677)",2
10014339,False,Cedar Street,residential,30 mph,True,67.503,"LINESTRING (-96.9570915 32.588677, -96.956371 32.588675)",2
9953117,False,South Broad Street,residential,30 mph,False,72.582,"LINESTRING (-96.9570915 32.588677, -96.9571064 32.5880751, -96.9571077 32.5880244)",2
9953117,False,South Broad Street,residential,30 mph,True,131.698,"LINESTRING (-96.9570915 32.588677, -96.9570828 32.5891237, -96.9570799 32.5892733, -96.9570778 32.5893399, -96.9570729 32.5894953, -96.9570614 32.5898611)",2
10014339,False,Cedar Street,residential,30 mph,False,189.045,"LINESTRING (-96.9570915 32.588677, -96.9580238 32.5886844, -96.9581407 32.58868, -96.9582767 32.5886685, -96.9583476 32.5886587, -96.9585473 32.588631, -96.9586101 32.5886223, -96.9586685 32.588621, -96.9587372 32.5886273, -96.958804 32.588638, -96.958873 32.5886594, -96.9589252 32.5886849, -96.9589609 32.5887066, -96.9590549 32.5887701)",2
