osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,junction,name,width,tunnel
"[35486466, 37777462, 127635974]",True,"['1', '2']",A367,primary,30 mph,False,85.035,yes,"LINESTRING (-2.3609635 51.3774295, -2.3608281 51.3774314, -2.3607514 51.3774386, -2.3606991 51.3774516, -2.3606594 51.3774721, -2.3606319 51.3774922, -2.3606216 51.3775067, -2.3606158 51.3775209, -2.3605599 51.3777348, -2.360572 51.3777727, -2.3605866 51.3777984, -2.3606112 51.3778178, -2.360669 51.3778539, -2.3607209 51.3778713, -2.3608949 51.3779001)",,,,
55290796,True,1,A36,trunk,30 mph,False,49.841,,"LINESTRING (-2.3609635 51.3774295, -2.3607731 51.3773974, -2.3605239 51.37737, -2.3602579 51.3773504)",roundabout,,,
2520,False,,,residential,,True,62.105000000000004,,"LINESTRING (-2.3647485 51.3783206, -2.3648435 51.3781552, -2.3649188 51.3780376, -2.3649943 51.3777858)",,Oak Street,,
133875223,False,2,A36,trunk,30 mph,False,142.82500000000002,,"LINESTRING (-2.3647485 51.3783206, -2.364309 51.3782157, -2.3636703 51.3780517, -2.3634688 51.378, -2.3633165 51.3779609, -2.3629459 51.3778658, -2.362841 51.3778389)",,Lower Bristol Road,,
984881209,True,2,A36,trunk,30 mph,False,17.764,,"LINESTRING (-2.3612129 51.3774654, -2.3609635 51.3774295)",roundabout,,,
546225667,False,4,A367,primary,20 mph,True,10.336,,"LINESTRING (-2.3662793 51.3810215, -2.3662273 51.3811086)",,Charles Street,,
"[3441624, 37728001]",False,2,A367,primary,20 mph,False,483.289,,"LINESTRING (-2.3662793 51.3810215, -2.366304 51.3809144, -2.3663306 51.3807993, -2.3663612 51.3805944, -2.366368 51.3804683, -2.3663382 51.3802845, -2.3663069 51.3801683, -2.3662496 51.3800584, -2.3661534 51.3799476, -2.366022 51.3798197, -2.3658906 51.379729, -2.3657677 51.3796584, -2.3655326 51.3795491, -2.3653537 51.3794784, -2.3650698 51.3793662, -2.364908 51.3792956, -2.3648147 51.3792549, -2.3647062 51.3792224, -2.3646309 51.3792066, -2.3645468 51.3791919, -2.3644777 51.379181, -2.3643979 51.3791752, -2.36431 51.3791756, -2.3642274 51.3791782, -2.3640019 51.3792155, -2.3638842 51.3792269, -2.3637888 51.3792297, -2.3633988 51.3792074, -2.363191 51.3791944, -2.3631158 51.3791918, -2.3625953 51.3791619, -2.3624638 51.3791483, -2.3622847 51.3791235, -2.3621598 51.3791029, -2.3619984 51.3790691, -2.3618539 51.3790351, -2.361633 51.3789922, -2.3614579 51.3789572)",,"['Green Park Road', 'Corn Street']",,
115952099,True,1,B3118,secondary,30 mph,False,16.243000000000002,,"LINESTRING (-2.3662793 51.3810215, -2.3664321 51.3810482, -2.3665016 51.3810664)",,Midland Bridge Road,,
8769305,True,,A367,primary,30 mph,False,30.48,,"LINESTRING (-2.3649794 51.3825569, -2.3653731 51.3826784)",,Saint Paul's Place,,
167257,False,,A367,primary,30 mph,False,17.548000000000002,,"LINESTRING (-2.3649794 51.3825569, -2.3650015 51.3825076, -2.3650167 51.3824703, -2.3650672 51.3824099)",,Charles Street,,
3120967,False,,A367,primary,20 mph,False,72.396,,"LINESTRING (-2.3649794 51.3825569, -2.3649291 51.3826163, -2.364828 51.3827539, -2.364793 51.3827817, -2.3647412 51.3828067, -2.3646827 51.3828207, -2.3642647 51.3828884, -2.3641941 51.3829066)",,Chapel Row,,
55290807,True,2,A36,trunk,30 mph,False,54.208,,"LINESTRING (-2.3602478 51.377034, -2.361017 51.3771185)",roundabout,,,
3027057,True,,A367,primary,30 mph,False,163.62399999999997,,"LINESTRING (-2.3602478 51.377034, -2.3604006 51.3770275, -2.3605106 51.3770027, -2.3605737 51.3769716, -2.3606167 51.3769386, -2.3607268 51.3768484, -2.3607945 51.3767894, -2.3608569 51.3767501, -2.3609635 51.3767163, -2.3610952 51.3766995, -2.3612124 51.3767019, -2.3613319 51.3767202, -2.3619254 51.3768506, -2.3623058 51.376974)",,Wells Road,,
2523,True,1,,unclassified,20 mph,False,179.525,,"LINESTRING (-2.3619747 51.3848984, -2.3617957 51.3845027, -2.36146 51.3837603, -2.361272 51.3833446)",,Milsom Street,,
55290798,False,,A4,primary,20 mph,False,113.85000000000001,,"LINESTRING (-2.3619747 51.3848984, -2.3624024 51.3848061, -2.3627898 51.3847355, -2.3628898 51.38472, -2.3633802 51.3846423, -2.3634285 51.3846258, -2.3634616 51.3845991, -2.3634745 51.3845585)",,George Street,,
"[1205716889, 209]",False,"['3', '2']",A4,primary,20 mph,True,91.05899999999998,,"LINESTRING (-2.3619747 51.3848984, -2.361596 51.3849803, -2.3615137 51.3849967, -2.3609162 51.3851399, -2.3608873 51.3851506, -2.3608272 51.385173, -2.3607658 51.3852063)",,George Street,,
"[59969641, 59969643, 30991997, 1040747475]",True,"['1', '2']",,unclassified,20 mph,False,99.55799999999999,,"LINESTRING (-2.3612022 51.383254, -2.3611403 51.3831928, -2.3610091 51.3830933, -2.3609228 51.3830646, -2.3608416 51.3830501, -2.3607679 51.3830421, -2.3606775 51.3830417, -2.3604941 51.383046, -2.3600927 51.383073, -2.3599161 51.3830838)",,"['New Bond Street', 'Old Bond Street']",5.6,
7985210,True,1,,primary,20 mph,False,91.902,,"LINESTRING (-2.3595545 51.3843482, -2.3595949 51.3841859, -2.3596247 51.3839356, -2.3596339 51.3838509, -2.3596223 51.3837598, -2.3595508 51.3835291)",,Walcot Street,,
