osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,ref,bridge
188344183,True,2,East 11th Street,secondary,25 mph,False,96.239,"LINESTRING (-93.0991593 44.9505568, -93.0990707 44.9506058, -93.0988668 44.9507209, -93.0987207 44.9507941, -93.0986149 44.950846, -93.0985185 44.9508861, -93.098387 44.9509306, -93.0981973 44.9509834, -93.0981209 44.9510014)",,,
180192223,True,1,,secondary_link,25 mph,False,67.934,"LINESTRING (-93.094236 44.954054, -93.0945696 44.9539156, -93.0946416 44.953893, -93.0947122 44.9538799, -93.0947952 44.9538862, -93.0948544 44.9539077, -93.0949718 44.9539994)",,,
637665558,True,3,East 12th Street,secondary,25 mph,False,58.733000000000004,"LINESTRING (-93.094236 44.954054, -93.0946591 44.9537629, -93.0947828 44.9536953)",,,
927413344,True,4,East 12th Street,secondary,25 mph,False,18.006,"LINESTRING (-93.0940914 44.9541795, -93.094236 44.954054)",,,
"[83699950, 1042225622]",True,"['1', '2']",North Wacouta Street,tertiary,25 mph,False,99.69300000000001,"LINESTRING (-93.0904992 44.953208, -93.090337 44.9530541, -93.0898345 44.9525771, -93.0898264 44.9525672, -93.0898211 44.952556, -93.0897906 44.9524724)",,,
"[247967156, 194797254, 194797255]",True,1,Jackson Street,secondary,25 mph,False,59.383999999999986,"LINESTRING (-93.0870439 44.9457955, -93.0870361 44.9457534, -93.0868986 44.9456416, -93.086807 44.9455644, -93.0867934 44.9455437, -93.0867854 44.9455144, -93.0867877 44.9454758, -93.0868005 44.9454376, -93.0868303 44.9453951, -93.0868919 44.9453475)",yes,,
194041852,True,2,East Kellogg Boulevard,secondary,25 mph,False,38.409000000000006,"LINESTRING (-93.0879886 44.9465164, -93.0881602 44.9464726, -93.0882903 44.9463785, -93.0882995 44.9462941)",,,
262493256,True,2,Jackson Street,secondary,25 mph,False,109.333,"LINESTRING (-93.0879886 44.9465164, -93.0878656 44.9464245, -93.0870439 44.9457955)",,,
125839395,True,1,East 4th Street,unclassified,25 mph,False,130.673,"LINESTRING (-93.0887276 44.9473139, -93.0888367 44.9472579, -93.0888972 44.9472268, -93.0891869 44.9470863, -93.0899355 44.9467231, -93.0900913 44.9466436)",,,
223371531,True,2,Jackson Street,secondary,25 mph,False,106.188,"LINESTRING (-93.0887276 44.9473139, -93.0886974 44.9472822, -93.0886701 44.9472555, -93.0886302 44.9472125, -93.0885277 44.9470845, -93.0884428 44.9469841, -93.0883646 44.9468876, -93.0882504 44.9467645, -93.0880916 44.9466105, -93.0880781 44.9465981, -93.0879886 44.9465164)",,,
223371523,True,3,East 5th Street,tertiary,25 mph,False,128.62800000000001,"LINESTRING (-93.0894698 44.9480739, -93.0893957 44.9481093, -93.0890368 44.9482808, -93.0886035 44.9484861, -93.0881825 44.9486899, -93.0881157 44.9487217)",,,
223371531,True,2,Jackson Street,secondary,25 mph,False,102.73,"LINESTRING (-93.0894698 44.9480739, -93.0893921 44.9479935, -93.0887739 44.9473622, -93.0887276 44.9473139)",,,
223371533,True,2,Jackson Street,secondary,25 mph,False,109.304,"LINESTRING (-93.0902551 44.9488845, -93.0901727 44.9488086, -93.0895349 44.9481434, -93.0894698 44.9480739)",,,
