osmid,oneway,ref,highway,reversed,length,geometry,lanes,maxspeed,name,bridge
23465363,True,NY 100,trunk_link,False,558.9639999999998,"LINESTRING (-73.8243754 41.1474423, -73.8243292 41.1473416, -73.8242861 41.1472365, -73.8242511 41.1471432, -73.8242158 41.147043, -73.8241804 41.1469393, -73.8237888 41.1457246, -73.8237339 41.1455606, -73.8235442 41.1449962, -73.8235074 41.144896, -73.8234743 41.1448092, -73.8234424 41.1447317, -73.8234106 41.1446634, -73.8233778 41.1445995, -73.8233439 41.1445352, -73.8233095 41.1444757, -73.8232716 41.1444093, -73.8232329 41.1443439, -73.8231902 41.1442769, -73.823145 41.14421, -73.8231062 41.1441535, -73.8230558 41.1440837, -73.8229441 41.1439381, -73.8228955 41.1438736, -73.822847 41.1438078, -73.8228014 41.1437414, -73.8227664 41.1436864, -73.8227299 41.1436275, -73.822692 41.1435637, -73.8226556 41.1435007, -73.8222424 41.1427014)",,,,
43537979,True,,primary_link,False,122.366,"LINESTRING (-73.8243754 41.1474423, -73.8243251 41.147384, -73.8242851 41.1473278, -73.8242489 41.1472667, -73.8242177 41.1472012, -73.8238612 41.1464151)",,,,
23465814,True,,trunk_link,False,79.13800000000002,"LINESTRING (-73.822914 41.144569, -73.822953 41.144749, -73.8229797 41.1448499, -73.8229866 41.1448817, -73.822992 41.1449149, -73.822994 41.1449452, -73.822993 41.1449745, -73.8229896 41.1450043, -73.8229839 41.1450344, -73.8229757 41.1450641, -73.8229448 41.1451561, -73.8229394 41.145182, -73.822936 41.14521, -73.8229363 41.1452383, -73.8229387 41.1452712)",,,,
936197673,True,NY 9A;NY 100,trunk,False,73.856,"LINESTRING (-73.822914 41.144569, -73.8230843 41.1449856, -73.8231281 41.1450953, -73.8231722 41.1452041)",2,45 mph,,
284578373,True,,trunk_link,False,28.678,"LINESTRING (-73.8229387 41.1452712, -73.822944 41.1452479, -73.8229521 41.1452295, -73.8229628 41.1452115, -73.8229775 41.1451919, -73.8229937 41.1451783, -73.8230152 41.1451663, -73.8230366 41.1451596, -73.8230594 41.1451572, -73.8230814 41.145159, -73.8231009 41.1451642, -73.8231238 41.1451737, -73.823147 41.145187, -73.8231722 41.1452041)",,,,
284578374,False,,trunk_link,False,47.403999999999996,"LINESTRING (-73.8229387 41.1452712, -73.8229761 41.1456051, -73.8229863 41.145696)",,,,
"[43537976, 852565179, 852565180]",True,NY 100,primary,False,143.278,"LINESTRING (-73.8250066 41.1486394, -73.8249026 41.148413, -73.8248483 41.1483054, -73.8247511 41.1481305, -73.8246715 41.1479928, -73.8246017 41.147872, -73.824566 41.1478087, -73.8245272 41.1477399, -73.8244736 41.14764, -73.8244214 41.1475382, -73.8243754 41.1474423)",1,,Saw Mill River Road,yes
23467733,True,,trunk_link,False,207.94299999999996,"LINESTRING (-73.8241299 41.1489311, -73.8239645 41.1486661, -73.8239384 41.1486211, -73.8239163 41.1485779, -73.8238987 41.1485362, -73.8238853 41.148488, -73.8238794 41.1484409, -73.8238846 41.1483927, -73.8238961 41.1483529, -73.8239159 41.1483131, -73.8239436 41.1482727, -73.823977 41.1482358, -73.8240148 41.1482025, -73.8240658 41.1481679, -73.824118 41.1481399, -73.8241707 41.1481193, -73.8242303 41.1481024, -73.8242916 41.1480943, -73.8243577 41.1480916, -73.8244219 41.1480942, -73.8244849 41.1481041, -73.8245518 41.1481211, -73.8246086 41.1481417, -73.8246536 41.1481643, -73.8246982 41.1481939, -73.8247364 41.1482297, -73.8247712 41.148271, -73.8248024 41.1483195, -73.8248662 41.1484233, -73.8250066 41.1486394)",1,,,
"[724740425, 426198781, 426198782]",True,NY 9A,trunk,False,195.69700000000003,"LINESTRING (-73.8241299 41.1489311, -73.8240466 41.1488447, -73.8239667 41.1487532, -73.8238917 41.1486586, -73.823826 41.1485647, -73.8237616 41.1484623, -73.8237043 41.1483595, -73.8236559 41.1482605, -73.8236104 41.1481497, -73.8235769 41.1480471, -73.823555 41.1479702, -73.8235352 41.1478845, -73.8235224 41.1478223, -73.8235146 41.1477678, -73.8235084 41.1477137, -73.8235046 41.1476597, -73.823502 41.1476003, -73.823502 41.1475004, -73.8235039 41.147394, -73.8235067 41.1472761)",2,45 mph,,yes
"[374234185, 936197673, 852565181, 852565182]",True,NY 9A;NY 100,trunk,False,383.494,"LINESTRING (-73.8231722 41.1452041, -73.8232102 41.1453081, -73.8232529 41.1454271, -73.8232862 41.1455315, -73.8233204 41.1456515, -73.8233456 41.1457581, -73.8233669 41.1458698, -73.8233849 41.1459733, -73.823401 41.1460878, -73.8234118 41.1461946, -73.8234217 41.1463141, -73.8234266 41.1464253, -73.8234293 41.1465376, -73.8234287 41.1466558, -73.8234153 41.1472185, -73.8234101 41.1474488, -73.8234089 41.1475639, -73.823411 41.1476169, -73.8234152 41.147671, -73.8234197 41.1477251, -73.8234259 41.1477797, -73.8234341 41.1478417, -73.8234438 41.1478922, -73.823464 41.147976, -73.823473 41.148018, -73.823481 41.148059, -73.8235441 41.148228, -73.823622 41.148388, -73.823691 41.1485086, -73.823721 41.148561, -73.8237469 41.1485925)",2,"['55 mph', '45 mph']",,yes
284578374,False,,trunk_link,True,47.403999999999996,"LINESTRING (-73.8229863 41.145696, -73.8229761 41.1456051, -73.8229387 41.1452712)",,,,
"[585757891, 45326731]",False,,secondary,False,46.276,"LINESTRING (-73.8229863 41.145696, -73.8230411 41.1457004, -73.8230995 41.1457041, -73.8231629 41.1457066, -73.8232278 41.1457065, -73.8233023 41.1457034, -73.8233739 41.1456991, -73.8234344 41.145694, -73.8235362 41.1456811)",,,Pleasantville Road,yes
