osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,lanes,junction,bridge
23783471,True,A38,Bedminster Down Road,trunk,False,27.315,"LINESTRING (-2.6097659 51.4331285, -2.6096974 51.4331531, -2.6094251 51.4332518)",,,,
202761583,False,A3029,Winterstoke Road,trunk,False,6.57,"LINESTRING (-2.6114323 51.4334808, -2.6113592 51.4334432)",,,,
203792896,False,B3122,Bedminster Road,secondary,True,33.566,"LINESTRING (-2.6006246 51.4350764, -2.6009723 51.4348663)",30 mph,,,
203792896,False,B3122,Bedminster Road,secondary,False,40.480999999999995,"LINESTRING (-2.6006246 51.4350764, -2.600441 51.4351863, -2.6001717 51.4353046)",30 mph,,,
611896395,False,,Malago Drive,residential,False,60.272000000000006,"LINESTRING (-2.6006246 51.4350764, -2.6003819 51.4349349, -2.6003314 51.4348977, -2.600301 51.4348556, -2.6002715 51.4347626, -2.6002657 51.4346523, -2.6002905 51.4346211)",,,,
4441004,False,,Francis Road,residential,False,106.52199999999999,"LINESTRING (-2.5988777 51.4356264, -2.598766 51.4364385, -2.598754 51.4365812)",20 mph,,,
"[145816700, 145816701]",False,B3122,Bedminster Road,secondary,False,36.898,"LINESTRING (-2.5988777 51.4356264, -2.5987932 51.4356317, -2.598571 51.4356345, -2.5984155 51.4356345, -2.5983459 51.4356357)",30 mph,,,
203792896,False,B3122,Bedminster Road,secondary,True,97.74799999999999,"LINESTRING (-2.5988777 51.4356264, -2.5991857 51.4355945, -2.5993838 51.4355574, -2.5995896 51.4355155, -2.5999219 51.4354101, -2.6001717 51.4353046)",30 mph,,,
4436943,True,A3029,Winterstoke Road,trunk,False,24.134999999999998,"LINESTRING (-2.6106703 51.4332304, -2.6105391 51.4332091, -2.6103341 51.433174)",,2,,
202761583,False,A3029,Winterstoke Road,trunk,True,49.317,"LINESTRING (-2.6106703 51.4332304, -2.6109944 51.433307, -2.6112124 51.4333836, -2.6113095 51.4334215)",,,,
"[30216874, 419939004, 39019958]",False,A38,Sheene Road,trunk,True,143.231,"LINESTRING (-2.6000976 51.4377325, -2.6001696 51.4378165, -2.6002075 51.4379116, -2.6002428 51.4380324, -2.6002556 51.4382498, -2.6002673 51.4383299, -2.6002734 51.4383715, -2.6002827 51.438435, -2.6003017 51.4385656, -2.600315 51.4386124, -2.6004244 51.4389963)","['20 mph', '30 mph']",,,
