osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,tunnel
47094995,Mall Boulevard,secondary,False,False,17.076,,,,"LINESTRING (-75.3861073 40.0864532, -75.3862226 40.0865789)",,
555506564,West Dekalb Pike,trunk,True,False,52.682,2,US 202,45 mph,"LINESTRING (-75.3861073 40.0864532, -75.3856285 40.0866606, -75.3855684 40.0866866)",,
12372883,Anthony Road,residential,False,True,125.043,,,,"LINESTRING (-75.3883085 40.0950051, -75.3882576 40.0947164, -75.3881956 40.0946014, -75.3881153 40.0945242, -75.3875481 40.0940952)",,
12371181,Thomas Drive,residential,False,True,99.297,,,,"LINESTRING (-75.3829991 40.0948437, -75.3823125 40.0941215)",,
12347115,Elliott Drive,residential,False,False,401.29299999999995,,,,"LINESTRING (-75.3829991 40.0948437, -75.383211 40.0947404, -75.3833397 40.0946952, -75.3835168 40.0946665, -75.3867242 40.094325, -75.3871705 40.0942922, -75.3875481 40.0940952)",,
12347115,Elliott Drive,residential,False,False,55.323,,,,"LINESTRING (-75.3875481 40.0940952, -75.3879977 40.0937357)",,
12347115,Elliott Drive,residential,False,True,401.293,,,,"LINESTRING (-75.3875481 40.0940952, -75.3871705 40.0942922, -75.3867242 40.094325, -75.3835168 40.0946665, -75.3833397 40.0946952, -75.383211 40.0947404, -75.3829991 40.0948437)",,
12372883,Anthony Road,residential,False,False,125.043,,,,"LINESTRING (-75.3875481 40.0940952, -75.3881153 40.0945242, -75.3881956 40.0946014, -75.3882576 40.0947164, -75.3883085 40.0950051)",,
12372883,Anthony Road,residential,False,True,473.04699999999997,,,,"LINESTRING (-75.3875481 40.0940952, -75.3869902 40.0936947, -75.3866555 40.0935765, -75.3841321 40.0937997, -75.3832003 40.0939073, -75.3829374 40.093932, -75.3826853 40.093973, -75.382519 40.0940222, -75.3823125 40.0941215)",,
12347115,Elliott Drive,residential,False,True,55.323,,,,"LINESTRING (-75.3879977 40.0937357, -75.3875481 40.0940952)",,
184030599,Allendale Road,primary,False,True,149.79500000000002,,,35 mph,"LINESTRING (-75.3879977 40.0937357, -75.3872077 40.0931434, -75.3867307 40.0928002)",,
12363627,Powderhorn Road,residential,False,False,73.307,,,,"LINESTRING (-75.3795608 40.0884135, -75.3803407 40.0881331)",,
12363627,Powderhorn Road,residential,False,True,17.295,,,,"LINESTRING (-75.3795608 40.0884135, -75.3793777 40.0884811)",,
12348869,Colonial Place,residential,True,False,73.025,,,,"LINESTRING (-75.3795608 40.0884135, -75.3794664 40.088269, -75.3794045 40.0881979, -75.3793026 40.0881897, -75.3792543 40.0882225, -75.379249 40.0882841, -75.3793777 40.0884811)",,
12348869,Colonial Place,residential,True,False,74.421,,,,"LINESTRING (-75.3793777 40.0884811, -75.3797496 40.0890869)",,
12363627,Powderhorn Road,residential,False,False,17.295,,,,"LINESTRING (-75.3793777 40.0884811, -75.3795608 40.0884135)",,
12363627,Powderhorn Road,residential,False,True,105.82,,,,"LINESTRING (-75.3793777 40.0884811, -75.3782562 40.0888928)",,
