osmid,bridge,oneway,lanes,name,highway,reversed,length,ref,maxspeed,geometry,width,junction,tunnel
146633034,yes,True,2,Peasholme Green,tertiary,False,9.286,,,"LINESTRING (-1.0741977 53.9613258, -1.0740707 53.9613631)",,,
"[146633032, 146633037]",yes,True,2,Jewbury,primary,False,31.433,A1036,30 mph,"LINESTRING (-1.0741977 53.9613258, -1.0743572 53.9613613, -1.0743752 53.9613659, -1.0744044 53.9613737, -1.0746458 53.9614277)",,,
"[709780673, 988849602, 988849601, 4015244]",,True,"['3', '2']","[""St. Maurice's Road"", 'Jewbury']",primary,False,157.98000000000002,A1036,30 mph,"LINESTRING (-1.0748876 53.9614745, -1.0753182 53.9614991, -1.0755791 53.961543, -1.0756999 53.96159, -1.0758252 53.9616557, -1.0759405 53.9617339, -1.0765262 53.9621002, -1.0767817 53.9622556)",,,
4015244,,True,2,St. Maurice's Road,primary,False,125.36299999999999,A1036,30 mph,"LINESTRING (-1.0767817 53.9622556, -1.0768272 53.962282, -1.0774312 53.9626324, -1.0777656 53.9628264, -1.0779295 53.9629076, -1.0779799 53.9629313, -1.0780335 53.9629612, -1.0781637 53.9630359)",,,
4436597,,False,,Cloisters Walk,residential,False,60.311,,,"LINESTRING (-1.0767817 53.9622556, -1.0764376 53.962504, -1.0764139 53.9625211, -1.076674 53.9626497)",,,
4015243,,True,1,Lord Mayors Walk,primary,False,25.742,A1036,30 mph,"LINESTRING (-1.0781637 53.9630359, -1.0782695 53.9630473, -1.0783036 53.9630626, -1.078379 53.963096, -1.0784572 53.9631704)",,,
"[4408605, 318656551]",,False,"['3', '2']",Monkgate,primary,False,102.008,A1036,30 mph,"LINESTRING (-1.0781637 53.9630359, -1.0780603 53.9630863, -1.0779451 53.9631417, -1.0779118 53.9631563, -1.0778551 53.963181, -1.077639 53.963282, -1.0772797 53.9634234, -1.0771022 53.9634815, -1.0768881 53.9635606)",,,
"[993016768, 993016769, 321058547, 321058548, 4437144, 177970395, 993016767]",,False,"['1', '2']","['Monkgate', 'Goodramgate']",residential,False,88.48299999999999,,,"LINESTRING (-1.0781637 53.9630359, -1.0782862 53.9629314, -1.0783035 53.9629173, -1.0783238 53.9629013, -1.0783506 53.9628782, -1.0783806 53.9628322, -1.0784334 53.9627429, -1.0784663 53.9627072, -1.0785069 53.9626658, -1.0785366 53.9626398, -1.0785568 53.9626263, -1.0786027 53.9625993, -1.0786527 53.9625471, -1.078675 53.9625255, -1.0787152 53.9624819, -1.0788096 53.9623833, -1.0788162 53.9623723, -1.0788219 53.9623484)",,,
4425885,,False,,St. John Street,residential,False,40.435,,20 mph,"LINESTRING (-1.0800033 53.9639404, -1.0795857 53.9642085)",,,
"[970439633, 1002144498, 989055163]",,False,"['3', '2']",Lord Mayors Walk,primary,False,132.844,A1036,30 mph,"LINESTRING (-1.0800033 53.9639404, -1.0792579 53.9635225, -1.0791036 53.9634388, -1.0787895 53.963307, -1.0784572 53.9631704)",,,
