osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,junction
13504499,Leveson Street,residential,False,False,68.793,"LINESTRING (-90.0386499 30.4758872, -90.0387863 30.4764946)",,,,
13500402,Keller Street,residential,False,False,110.183,"LINESTRING (-90.0395251 30.4773382, -90.0397532 30.4783094)",,,,
13500402,Keller Street,residential,False,True,108.554,"LINESTRING (-90.0395251 30.4773382, -90.0392984 30.4763817)",,,,
13504390,2nd Street,residential,False,True,96.059,"LINESTRING (-90.0395251 30.4773382, -90.040509 30.4771731)",,,,
13504499,Leveson Street,residential,False,False,100.222,"LINESTRING (-90.0390001 30.4774474, -90.0392225 30.4783281)",,,,
13504499,Leveson Street,residential,False,True,107.91,"LINESTRING (-90.0390001 30.4774474, -90.0387863 30.4764946)",,,,
13505939,Grover Street,residential,False,True,29.506,"LINESTRING (-90.0390001 30.4774474, -90.0386939 30.4774752)",,,,
13509319,5th Street,residential,False,True,85.298,"LINESTRING (-90.0372996 30.4748369, -90.0364098 30.4748557)",,,,
13501919,Saint Joseph Street,residential,False,False,187.141,"LINESTRING (-90.0372996 30.4748369, -90.03741 30.4753106, -90.03749 30.475799, -90.037523 30.4759817, -90.0375465 30.476503)",,,,
13491230,Eads Street,residential,False,False,112.613,"LINESTRING (-90.032966 30.476549, -90.034141 30.476535)",,,,
13516726,Gum Street,residential,False,False,108.503,"LINESTRING (-90.032966 30.476549, -90.032998 30.4775244)",,,,
13491230,Eads Street,residential,False,True,112.613,"LINESTRING (-90.034141 30.476535, -90.032966 30.476549)",,,,
13514433,Laurel Street,residential,False,False,108.64,"LINESTRING (-90.034141 30.476535, -90.034149 30.477512)",,,,
13494745,,residential,False,True,61.95,"LINESTRING (-90.034141 30.476535, -90.034133 30.476352, -90.034133 30.475978)",,,,
13494745,,residential,False,False,61.95,"LINESTRING (-90.034133 30.475978, -90.034133 30.476352, -90.034141 30.476535)",,,,
13504536,Saint Charles Street,residential,False,True,177.757,"LINESTRING (-90.034133 30.475978, -90.03408 30.475259, -90.033927 30.474723, -90.0338433 30.4744049)",,,,
165552359,Highway 36,primary,False,False,134.919,"LINESTRING (-90.034133 30.475978, -90.034729 30.476348, -90.034973 30.476497, -90.035278 30.476684)",2,LA 36,,
165552359,Highway 36,primary,False,True,129.252,"LINESTRING (-90.034133 30.475978, -90.033096 30.475339, -90.033035 30.475303)",2,LA 36,,
13512671,Saint James Street,residential,False,True,80.37,"LINESTRING (-90.033035 30.475303, -90.0327758 30.4746156)",,,,
