osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,access,geometry
15164070,Central Avenue,residential,False,True,131.529,,,,,"LINESTRING (-97.648131 29.67603, -97.646779 29.675891)"
1002823307,South Magnolia Avenue,primary,False,False,61.883,4,TX 80,35 mph,yes,"LINESTRING (-97.648131 29.67603, -97.648059 29.676583)"
194297559,West Davis Street,unclassified,False,False,134.499,2,,,,"LINESTRING (-97.650208 29.681585, -97.65159 29.6817315)"
15166239,Pecan Avenue,residential,False,False,112.249,,,35 mph,,"LINESTRING (-97.650208 29.681585, -97.6501952 29.6816933, -97.6501463 29.6821072, -97.6500893 29.6825892)"
194297559,West Davis Street,unclassified,False,True,133.14600000000002,2,,,,"LINESTRING (-97.650208 29.681585, -97.6489284 29.6814616, -97.648838 29.6814543)"
15163885,North Cedar Avenue,residential,False,False,67.207,,,,,"LINESTRING (-97.644408 29.683961, -97.644346 29.684563)"
410654366,Lamar Street,residential,False,True,7.971,,,,,"LINESTRING (-97.644408 29.683961, -97.644326 29.683953)"
410654366,Lamar Street,residential,False,False,127.385,,,,,"LINESTRING (-97.644408 29.683961, -97.645392 29.684059, -97.64572 29.684069)"
15163885,North Cedar Avenue,residential,False,True,67.207,,,,,"LINESTRING (-97.644346 29.684563, -97.644408 29.683961)"
15164429,East Davis Street,tertiary,False,False,133.118,2,FM 1322,,,"LINESTRING (-97.6447 29.681048, -97.646069 29.6811842)"
15164429,East Davis Street,tertiary,False,True,131.318,2,FM 1322,,,"LINESTRING (-97.6447 29.681048, -97.64335 29.68091)"
15163889,North Cedar Avenue,residential,False,False,111.44200000000001,2,,35 mph,,"LINESTRING (-97.6447 29.681048, -97.64463 29.6815593, -97.6445687 29.6820437)"
"[15163889, 15164451]","['South Cedar Avenue', 'North Cedar Avenue']",residential,False,True,88.57399999999998,2,,35 mph,,"LINESTRING (-97.6447 29.681048, -97.6447428 29.6807144, -97.644755 29.6806194, -97.6447618 29.6805731, -97.644808 29.680257)"
15163889,North Cedar Avenue,residential,False,False,104.209,2,,35 mph,,"LINESTRING (-97.644439 29.683021, -97.644373 29.683539, -97.644344 29.683794, -97.644326 29.683953)"
15163889,North Cedar Avenue,residential,False,True,109.39099999999999,2,,35 mph,,"LINESTRING (-97.644439 29.683021, -97.644503 29.682547, -97.6445687 29.6820437)"
15167540,East Austin Street,unclassified,False,False,135.286,,CR 122,,,"LINESTRING (-97.644439 29.683021, -97.645249 29.683116, -97.6458289 29.6831688)"
