osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,geometry,name,ref,bridge
"[407504760, 224001111]",True,2,primary,30 mph,circular,False,37.36,"LINESTRING (-0.4834232 51.5479609, -0.4833284 51.5480631, -0.4832686 51.5481159, -0.4832161 51.5481458, -0.4831387 51.5481637, -0.4830458 51.5481655)",,,
224001115,True,,primary,30 mph,circular,False,11.305,"LINESTRING (-0.4830458 51.5481655, -0.4829771 51.5481585, -0.4828863 51.5481437)",,,
75612173,False,,unclassified,,,False,20.209,"LINESTRING (-0.486321 51.5447947, -0.4862946 51.5446137)",Barnsfield Place,,
8310785,False,,unclassified,,,True,150.521,"LINESTRING (-0.486321 51.5447947, -0.4865528 51.5448961, -0.48663 51.5449548, -0.4866643 51.5450723, -0.4866984 51.5455594, -0.4866988 51.5456986, -0.486699 51.5457724, -0.4866952 51.5458406, -0.486687 51.5459873, -0.4866653 51.5460525)",Florence Way,,
75612173,False,,unclassified,,,True,35.171,"LINESTRING (-0.486321 51.5447947, -0.4863323 51.5448487, -0.4863897 51.5451081)",Barnsfield Place,,
43899019,False,,primary,30 mph,,False,21.449,"LINESTRING (-0.4862643 51.5444711, -0.4859577 51.5445003)",Rockingham Road,A4007,
75612173,False,,unclassified,,,True,15.994,"LINESTRING (-0.4862643 51.5444711, -0.4862946 51.5446137)",Barnsfield Place,,
43899019,False,,primary,30 mph,,True,147.20499999999998,"LINESTRING (-0.4862643 51.5444711, -0.4863978 51.5444505, -0.4865636 51.5444107, -0.4867985 51.544297, -0.486959 51.5441827, -0.4871324 51.5440425, -0.4876839 51.5435332)",Rockingham Road,A4007,
4408458,True,1,primary,30 mph,,False,43.336,"LINESTRING (-0.4822001 51.5446128, -0.482435 51.5447275, -0.4824904 51.5447505, -0.4825346 51.5447641, -0.4827448 51.5447817)",Rockingham Road,A4007,
224001112,True,4,primary,30 mph,circular,False,42.471999999999994,"LINESTRING (-0.4822001 51.5446128, -0.4823076 51.5447163, -0.4823399 51.5447547, -0.4823657 51.5447905, -0.4823921 51.5448293, -0.4824205 51.5448865, -0.4824377 51.5449599)",Trumper Way,A4020,
50642383,True,5,primary,30 mph,circular,False,54.673,"LINESTRING (-0.4816644 51.5442512, -0.481975 51.5444593, -0.482124 51.5445609, -0.4822001 51.5446128)",Trumper Way,A4020,
4408450,True,2,primary,30 mph,circular,False,41.989,"LINESTRING (-0.4811203 51.54414, -0.4812077 51.5441312, -0.4812463 51.5441264, -0.4813147 51.5441272, -0.4813936 51.5441396, -0.4814523 51.5441509, -0.4815355 51.5441794, -0.4816644 51.5442512)",Trumper Way,A4020,
49904829,True,1,primary,30 mph,,False,48.189,"LINESTRING (-0.4811203 51.54414, -0.481219 51.544072, -0.4813124 51.5440197, -0.4813644 51.5439821, -0.4814152 51.5439367, -0.4815678 51.5438095)",Cowley Road,A408,
4409464,True,2,primary,30 mph,,False,49.230000000000004,"LINESTRING (-0.4805422 51.544735, -0.4803511 51.5446717, -0.4801899 51.5446017, -0.4799461 51.5444943)",Hillingdon Road,A4020,
"[4408449, 1073007882, 1073007883]",True,2,primary,30 mph,circular,False,38.421,"LINESTRING (-0.4805422 51.544735, -0.4804386 51.5446615, -0.4803731 51.544602, -0.4803567 51.5445633, -0.4803558 51.5445259, -0.4803624 51.5444968, -0.4803729 51.5444746, -0.4804016 51.5444325)",Cowley Road,A4020,
4408452,True,4,primary,30 mph,circular,False,77.608,"LINESTRING (-0.4819185 51.5452384, -0.4818125 51.5452268, -0.4815319 51.545133, -0.4812305 51.5450145, -0.4811687 51.5449924, -0.4811127 51.5449723, -0.4810566 51.5449522, -0.4809355 51.54491)",Cross Street,A4020,
49904792,True,,secondary,30 mph,,False,110.53300000000002,"LINESTRING (-0.4828863 51.5481437, -0.4827406 51.5481317, -0.4826456 51.5481393, -0.4825857 51.5481498, -0.4825419 51.5481574, -0.4824115 51.5482032, -0.4819403 51.5486268, -0.4817867 51.5487649)",Harefield Road,B467,
224001114,True,,primary,30 mph,circular,False,31.520999999999994,"LINESTRING (-0.4828863 51.5481437, -0.48275 51.5480697, -0.4826826 51.5480123, -0.4826549 51.5479667, -0.482641 51.547923, -0.4826406 51.5479164)",,,
49904792,True,,secondary,30 mph,,False,9.848,"LINESTRING (-0.4817867 51.5487649, -0.4816858 51.5488274)",Harefield Road,B467,
4408646,True,,residential,,,False,15.508,"LINESTRING (-0.4817867 51.5487649, -0.4818689 51.5488372, -0.4818711 51.5488881)",High Street,,
313259389,False,,residential,,,True,80.603,"LINESTRING (-0.4792413 51.5430904, -0.4788218 51.5424141)",Whitehall Road,,
313259389,False,,residential,,,False,74.967,"LINESTRING (-0.4792413 51.5430904, -0.4794538 51.5434242, -0.4796377 51.5437179)",Whitehall Road,,
313259389,False,,residential,,,False,80.603,"LINESTRING (-0.4788218 51.5424141, -0.4792413 51.5430904)",Whitehall Road,,
4364684,True,,residential,,,False,195.65499999999997,"LINESTRING (-0.4788218 51.5424141, -0.4798252 51.5422909, -0.4808928 51.5421677, -0.481609 51.5421184)",Myddleton Road,,
1073007880,False,,primary,30 mph,,True,19.238,"LINESTRING (-0.4815678 51.5438095, -0.4816131 51.5436388)",Cowley Road,A408,
4408453,True,3,primary,30 mph,,False,50.349999999999994,"LINESTRING (-0.4815678 51.5438095, -0.4815624 51.543888, -0.4815573 51.5439481, -0.481559 51.5439952, -0.4815604 51.5440365, -0.4815704 51.5440953, -0.4816644 51.5442512)",Cowley Road,A408,
4364683,True,,residential,,,False,162.934,"LINESTRING (-0.4815587 51.5428269, -0.4803439 51.5429544, -0.4792413 51.5430904)",Hinton Road,,
"[1073007880, 1073007879]",False,,primary,30 mph,,False,90.535,"LINESTRING (-0.4815587 51.5428269, -0.4815745 51.5431585, -0.48162 51.543373, -0.4816261 51.5434294, -0.4816199 51.5435552, -0.4816164 51.5435985, -0.4816131 51.5436388)",Cowley Road,A408,
1073007879,False,,primary,30 mph,,True,78.875,"LINESTRING (-0.4815587 51.5428269, -0.4815785 51.5423888, -0.4815924 51.5422632, -0.481609 51.5421184)",Cowley Road,A408,
