osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed,bridge
9243325,2,Sutton Street,secondary,15.2,False,False,44.337,"LINESTRING (-71.6546561 42.1535963, -71.6544661 42.1536192, -71.6542761 42.1536421, -71.6541243 42.1536554)",,,
9243325,2,Sutton Street,secondary,15.2,False,True,45.207,"LINESTRING (-71.6546561 42.1535963, -71.6547935 42.1535766, -71.6551961 42.1535255)",,,
9243825,2,Fowler Road,residential,10.4,False,True,184.45499999999996,"LINESTRING (-71.6546561 42.1535963, -71.6547995 42.152983, -71.654955 42.152327, -71.655039 42.1520368, -71.6550598 42.1519649)",,,
9244177,2,Ash Street,residential,10.4,False,False,103.509,"LINESTRING (-71.6563098 42.1520529, -71.6550598 42.1519649)",,,
9243696,2,Bartlett Street,residential,9.1,False,False,70.074,"LINESTRING (-71.6563098 42.1520529, -71.656289 42.152325, -71.65626 42.152682)",,,
9244177,2,Ash Street,residential,10.4,False,True,222.71100000000004,"LINESTRING (-71.6563098 42.1520529, -71.6563648 42.1520509, -71.6564138 42.1520419, -71.6564528 42.1520319, -71.6565618 42.1519839, -71.6573899 42.1513265, -71.6574407 42.1512817, -71.6574769 42.1512471, -71.6575229 42.1512094, -71.6575603 42.1511675, -71.6576051 42.1511157, -71.6576511 42.1510543, -71.6576824 42.1510143, -71.6577272 42.150972, -71.6577751 42.1509278, -71.6578162 42.1508864, -71.6578456 42.1508487, -71.6578628 42.1508137, -71.6578763 42.1507741, -71.657888 42.1507354, -71.6578972 42.150689, -71.6579021 42.150644, -71.6579033 42.1506017, -71.6579045 42.1505401)",,,
9244178,2,Taft Street,residential,12.2,False,True,62.13,"LINESTRING (-71.647438 42.152209, -71.647559 42.1516575)",,,
9243451,2,Taft Street,residential,10.4,False,False,117.872,"LINESTRING (-71.647438 42.152209, -71.64741 42.152337, -71.647206 42.153255)",,,
9243568,2,Church Avenue,residential,13.7,False,False,90.173,"LINESTRING (-71.647438 42.152209, -71.647206 42.152106, -71.64717 42.152092, -71.647134 42.152077, -71.647097 42.152063, -71.64706 42.152049, -71.647023 42.152037, -71.646987 42.152024, -71.646949 42.152009, -71.646911 42.151995, -71.646872 42.151983, -71.646828 42.151972, -71.646783 42.151963, -71.646738 42.151955, -71.646682 42.151942, -71.646626 42.15193, -71.646569 42.151918, -71.646525 42.151911, -71.646481 42.151904, -71.646437 42.151898)",,,
9244170,2,Church Avenue,residential,13.4,False,True,72.553,"LINESTRING (-71.647438 42.152209, -71.647743 42.152336, -71.648205 42.152529)",,,
9243568,2,Church Avenue,residential,13.7,False,True,90.173,"LINESTRING (-71.646437 42.151898, -71.646481 42.151904, -71.646525 42.151911, -71.646569 42.151918, -71.646626 42.15193, -71.646682 42.151942, -71.646738 42.151955, -71.646783 42.151963, -71.646828 42.151972, -71.646872 42.151983, -71.646911 42.151995, -71.646949 42.152009, -71.646987 42.152024, -71.647023 42.152037, -71.64706 42.152049, -71.647097 42.152063, -71.647134 42.152077, -71.64717 42.152092, -71.647206 42.152106, -71.647438 42.152209)",,,
9244216,2,Plantation Street,residential,12.2,False,False,139.211,"LINESTRING (-71.646437 42.151898, -71.646339 42.152338, -71.6463017 42.1525038, -71.6462536 42.1527173, -71.6462471 42.1527461, -71.64616 42.153133)",,,
"[9244236, 9243999, 701389463]",2,"['Railroad Street', 'Railroad Street Extension']",residential,9.1,False,False,327.91,"LINESTRING (-71.652604 42.151099, -71.652692 42.151205, -71.652779 42.151306, -71.652814 42.151378, -71.652849 42.151471, -71.652873 42.15159, -71.652882 42.151689, -71.65292 42.151776, -71.6529831 42.1519392, -71.6530026 42.1519897, -71.6530094 42.1520257, -71.6530088 42.1520832, -71.6530064 42.1521233, -71.6529929 42.1521727, -71.6529767 42.1522232, -71.652882 42.1523836, -71.6528809 42.1524205, -71.6528871 42.1524558, -71.6529003 42.1524917, -71.6529184 42.1525255, -71.6541243 42.1536554)",,,
9243762,2,Beanes Lane,residential,12.2,False,False,176.69000000000003,"LINESTRING (-71.649914 42.151597, -71.6496099 42.1517427, -71.6495327 42.1517739, -71.649343 42.151862, -71.6492643 42.1518983, -71.648999 42.1520207, -71.648708 42.152155, -71.648608 42.152204, -71.648486 42.152266, -71.6484 42.152335, -71.648386 42.152347, -71.648307 42.152414, -71.648205 42.152529)",,,
246459838,2,Providence Road,secondary,15.2,False,False,349.94499999999994,"LINESTRING (-71.649914 42.151597, -71.649933 42.151632, -71.6499382 42.1516413, -71.6500399 42.1518236, -71.6500684 42.1518748, -71.650216 42.1521394, -71.6502614 42.1522208, -71.650324 42.152333, -71.650369 42.1524139, -71.650618 42.152861, -71.6511291 42.1536784, -71.651192 42.153779, -71.651688 42.154453)",MA 122,30 mph,
"[9243435, 9243823]",2,Upton Street,residential,9.1,False,True,521.1700000000002,"LINESTRING (-71.64702 42.157434, -71.647483 42.157014, -71.647503 42.156996, -71.647523 42.156978, -71.647545 42.156961, -71.64757 42.156944, -71.647598 42.156928, -71.647626 42.156914, -71.647662 42.1569, -71.647699 42.156886, -71.647737 42.156874, -71.647777 42.156863, -71.647817 42.156853, -71.647858 42.156843, -71.647895 42.156835, -71.647932 42.156828, -71.647969 42.156821, -71.648016 42.156814, -71.648062 42.156808, -71.648109 42.156802, -71.64815 42.156798, -71.64819 42.156795, -71.648231 42.156791, -71.648268 42.156787, -71.648305 42.156784, -71.648342 42.15678, -71.648382 42.156776, -71.648422 42.156772, -71.648462 42.156766, -71.648497 42.156757, -71.648532 42.156746, -71.648566 42.156735, -71.648595 42.156726, -71.648625 42.156718, -71.648654 42.156709, -71.648689 42.156698, -71.648724 42.156686, -71.648759 42.156674, -71.648799 42.156659, -71.648838 42.156642, -71.648875 42.156623, -71.648883 42.156618, -71.648986 42.156561, -71.64908 42.1564965, -71.649087 42.156492, -71.649183 42.156427, -71.649271 42.156359, -71.649378 42.156272, -71.649517 42.156166, -71.649642 42.156056, -71.649749 42.155961, -71.649881 42.155851, -71.650038 42.155723, -71.650172 42.155595, -71.650319 42.155453, -71.650451 42.155323, -71.650635 42.155186, -71.650802 42.155061, -71.650981 42.154937, -71.651185 42.154813, -71.651398 42.154673, -71.651569 42.1545432, -71.651688 42.154453)",,30 mph,
