osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,tunnel
4276429,Grange Gardens,residential,False,True,94.012,"LINESTRING (-0.1245187 51.6317417, -0.1246356 51.6315584, -0.1247178 51.6314466, -0.1247515 51.6314283, -0.1248054 51.631415, -0.1255485 51.6314341)",,,,,
8127998,The Bourne,primary,False,False,65.381,"LINESTRING (-0.1245187 51.6317417, -0.123796 51.6315296, -0.1236714 51.6314802)",2,A111,30 mph,,
8127998,The Bourne,primary,False,True,42.559999999999995,"LINESTRING (-0.1245187 51.6317417, -0.1246962 51.6317974, -0.1249361 51.6318654, -0.1250796 51.6319001)",2,A111,30 mph,,
4276451,Bourne Avenue,residential,False,True,38.43599999999999,"LINESTRING (-0.1220608 51.6304311, -0.1220941 51.6303928, -0.1221055 51.6303571, -0.1221066 51.6303142, -0.1220945 51.6302724, -0.1220726 51.6302321, -0.1220544 51.6301853, -0.1220602 51.6301323, -0.1220757 51.630097)",,,20 mph,,
8127998,The Bourne,primary,False,False,38.271,"LINESTRING (-0.1220608 51.6304311, -0.121877 51.6303292, -0.1216181 51.6302256)",2,A111,30 mph,,
8127998,The Bourne,primary,False,True,161.66,"LINESTRING (-0.1220608 51.6304311, -0.1230467 51.6311434, -0.1232094 51.6312517, -0.1236714 51.6314802)",2,A111,30 mph,,
8127998,The Bourne,primary,False,True,132.39,"LINESTRING (-0.1199663 51.6296206, -0.12061 51.6298484, -0.1216181 51.6302256)",2,A111,30 mph,,
352503580,Parkway,residential,False,True,187.14499999999998,"LINESTRING (-0.1199663 51.6296206, -0.1199919 51.6295888, -0.120039 51.6295489, -0.1200802 51.6295201, -0.1201507 51.6294861, -0.1213553 51.6290327, -0.1215284 51.6290081, -0.1216995 51.629011, -0.1223451 51.6291114)",,,20 mph,,
"[699608249, 699608250]",The Bourne,primary,False,False,65.312,"LINESTRING (-0.1199663 51.6296206, -0.1191968 51.6293742, -0.1191279 51.6293485)",2,A111,30 mph,,
4276456,Greenway,residential,False,False,30.451999999999998,"LINESTRING (-0.1179884 51.6289288, -0.118056 51.6288802, -0.1181115 51.628844, -0.1183207 51.6287511)",,,20 mph,,
800491825,The Bourne,primary,False,False,100.474,"LINESTRING (-0.1179884 51.6289288, -0.1177452 51.6288226, -0.1172524 51.6285867, -0.1170341 51.6284882, -0.1167962 51.6284142)",2,A111,30 mph,,
800491825,The Bourne,primary,False,True,68.744,"LINESTRING (-0.1179884 51.6289288, -0.1183467 51.6290744, -0.1188339 51.6292553)",2,A111,30 mph,,
800491825,The Bourne,primary,False,True,100.474,"LINESTRING (-0.1167962 51.6284142, -0.1170341 51.6284882, -0.1172524 51.6285867, -0.1177452 51.6288226, -0.1179884 51.6289288)",2,A111,30 mph,,
228960029,,primary,True,False,10.012,"LINESTRING (-0.1241731 51.6247353, -0.1241858 51.6247716, -0.124177 51.6247961, -0.1241521 51.6248192)",1,A1004,30 mph,roundabout,
"[938558729, 699600308]",The Green,primary,False,True,29.372000000000003,"LINESTRING (-0.1241731 51.6247353, -0.1242867 51.6247165, -0.1244135 51.6246912, -0.1245451 51.6246733, -0.124585 51.6246714)",,A1003,"['20 mph', '30 mph']",,
