osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,tunnel,access,junction
37281237,B4053,Baldwin Street,secondary,20 mph,False,False,89.529,"LINESTRING (-2.592285 51.4537595, -2.5924927 51.4537234, -2.5932886 51.4535698, -2.593524 51.4535316)",,,,,
174536053,,High Street,tertiary,20 mph,False,True,70.828,"LINESTRING (-2.5926152 51.4546853, -2.5925588 51.454601, -2.5924575 51.454503, -2.5921684 51.4542288, -2.5920761 51.4541458)",,,,,
644594545,,High Street,tertiary,20 mph,True,False,18.518,"LINESTRING (-2.5926152 51.4546853, -2.5926648 51.4547223, -2.5926914 51.4548052, -2.5926688 51.4548359)",,,,,
13064527,,Broad Street,unclassified,20 mph,False,False,93.489,"LINESTRING (-2.5926651 51.4548932, -2.5928793 51.4549172, -2.592994 51.4549401, -2.5931217 51.4549907, -2.5937903 51.4553276)",,,,,
20343248,,Wine Street,tertiary,20 mph,False,False,71.13,"LINESTRING (-2.5926651 51.4548932, -2.5926247 51.4549655, -2.5925794 51.4550186, -2.5925344 51.4550563, -2.5924358 51.455114, -2.5923431 51.4551604, -2.5921303 51.4552369, -2.5920076 51.4552777, -2.5919256 51.4553049)",2,,,,
644594544,,High Street,tertiary,20 mph,False,True,6.385999999999999,"LINESTRING (-2.5926651 51.4548932, -2.5926698 51.4548594, -2.5926688 51.4548359)",,,,,
4002740,,The Grove,tertiary,20 mph,False,False,295.76099999999997,"LINESTRING (-2.5968207 51.4495271, -2.5964799 51.4495104, -2.5953098 51.4494301, -2.5950648 51.4494132, -2.5948614 51.4493993, -2.5942065 51.4493553, -2.594014 51.4493424, -2.5937565 51.4493251, -2.5935975 51.4493135, -2.5935207 51.4493107, -2.5933247 51.4493105, -2.5931083 51.4493203, -2.5930182 51.4493326, -2.5929462 51.449361, -2.5928961 51.4494212, -2.5928581 51.4494769, -2.5927816 51.4495596)",,,,,
"[57018667, 178180686]",,Prince Street,tertiary,20 mph,False,False,127.95299999999999,"LINESTRING (-2.5968207 51.4495271, -2.596814 51.4496586, -2.5967959 51.4497194, -2.5967243 51.4499596, -2.5966012 51.450412, -2.5965344 51.4506627)",2,,,,
4315881,,Little King Street,unclassified,20 mph,True,False,45.989000000000004,"LINESTRING (-2.5927111 51.4516509, -2.5927537 51.4516486, -2.5932938 51.4516188, -2.5933722 51.4516145)",,,,,
22633678,,Welsh Back,unclassified,20 mph,False,False,141.259,"LINESTRING (-2.5927111 51.4516509, -2.5927287 51.4510884, -2.5927342 51.4509821, -2.5927652 51.450381)",,,,,
4360866,,Mill Avenue,unclassified,,False,False,56.607,"LINESTRING (-2.5927652 51.450381, -2.5935778 51.4504331)",,,,,
22633678,,Welsh Back,unclassified,20 mph,False,False,91.74200000000002,"LINESTRING (-2.5927652 51.450381, -2.592766 51.4503682, -2.5928094 51.4496767, -2.5928143 51.4496267, -2.5927816 51.4495596)",,,,,
22633678,,Welsh Back,unclassified,20 mph,False,True,141.259,"LINESTRING (-2.5927652 51.450381, -2.5927342 51.4509821, -2.5927287 51.4510884, -2.5927111 51.4516509)",,,,,
3528793,,,unclassified,20 mph,True,False,37.900000000000006,"LINESTRING (-2.5968483 51.4544241, -2.5969108 51.4544363, -2.5969699 51.4544465, -2.5970575 51.4544537, -2.5971336 51.454445, -2.5972311 51.4544179, -2.5973574 51.4543702)",1,,,,
"[561043753, 561043839]",,Colston Avenue,unclassified,20 mph,True,False,28.628,"LINESTRING (-2.5968483 51.4544241, -2.5968051 51.4544129, -2.5967864 51.4543832, -2.5967827 51.4543548, -2.5967877 51.4543414, -2.5967959 51.4543085, -2.5968208 51.4543461, -2.5968271 51.4543557, -2.5968445 51.4544008, -2.5968483 51.4544241)",1,,,,
"[562883782, 3528791]",,Colston Avenue,unclassified,20 mph,False,True,36.339,"LINESTRING (-2.5968483 51.4544241, -2.5968835 51.4544694, -2.5969682 51.4545482, -2.5969993 51.4545969, -2.5970113 51.4546429, -2.5970134 51.4547255)",2,,,,
3528789,A38,,primary,20 mph,False,False,46.171,"LINESTRING (-2.5973574 51.4543702, -2.5971971 51.4545496, -2.5970664 51.4546718, -2.5970335 51.4547051, -2.5970134 51.4547255)",2,,,,
3730328,A38,Colston Avenue,primary,20 mph,False,False,31.861,"LINESTRING (-2.5973574 51.4543702, -2.597481 51.4542179, -2.5975586 51.4541126)",2,,,,
686430350,A4018,St Augustine's Parade,primary,20 mph,False,False,10.254,"LINESTRING (-2.5978856 51.4529361, -2.5979132 51.4528455)",3,,,,
4002731,A4,Anchor Road,primary,20 mph,True,False,180.20600000000002,"LINESTRING (-2.5978856 51.4529361, -2.5978351 51.4527977, -2.5978419 51.45275, -2.5978587 51.4526918, -2.5978871 51.4526418, -2.5979226 51.4525852, -2.5979543 51.4525442, -2.5981056 51.4524031, -2.5982088 51.4523092, -2.5982703 51.452237, -2.59828 51.4522109, -2.5983097 51.4520336, -2.598338 51.4519015, -2.5984184 51.4517192, -2.5985121 51.4516163, -2.5987349 51.4514704)",1,,,,
"[562883781, 712126725, 173587174, 38966223, 484592976, 33129914]",A38,"[""St Augustine's Parade"", ""Saint Augustine's Parade"", 'Colston Avenue']",primary,20 mph,False,True,133.085,"LINESTRING (-2.5978856 51.4529361, -2.597816 51.4532698, -2.5977593 51.4535463, -2.5977405 51.4536191, -2.5977178 51.4536998, -2.5976652 51.4539011, -2.5976137 51.4540228, -2.5975586 51.4541126)","['4', '2']",,,,
