osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,bridge,width
512092573,True,2,A351,primary,40 mph,False,28.552,"LINESTRING (-2.1133931 50.6909659, -2.1133583 50.6910418, -2.1133187 50.6911146, -2.1132419 50.6912028)",,,,
1256675242,True,2,A351,primary,40 mph,False,16.127,"LINESTRING (-2.1133931 50.6909659, -2.1133046 50.6909717, -2.1132177 50.6909595, -2.1131739 50.690943)",Saxon Roundabout,roundabout,,
24311155,True,2,B3075,secondary,40 mph,False,21.629,"LINESTRING (-2.113118 50.6906737, -2.1131213 50.6904792)",North Causeway,,,
1256675243,True,2,A351,primary,40 mph,False,13.347,"LINESTRING (-2.113118 50.6906737, -2.1131939 50.6906378, -2.1132844 50.69062)",Saxon Roundabout,roundabout,,
42737850,True,3,A351,primary,40 mph,False,36.606,"LINESTRING (-2.1139665 50.6905762, -2.1137393 50.690668, -2.1137031 50.6906968, -2.1136461 50.6907422, -2.1135995 50.6907986)",Wareham Bypass,,,
8149361,True,,A351,primary,40 mph,False,37.862,"LINESTRING (-2.113437 50.6906347, -2.1136239 50.690614, -2.1139665 50.6905762)",Wareham Bypass,,,
1255719846,True,2,A351,primary,40 mph,False,22.692999999999998,"LINESTRING (-2.113437 50.6906347, -2.1134882 50.690654, -2.113549 50.6906938, -2.1135874 50.6907437, -2.1135995 50.6907986)",Saxon Roundabout,roundabout,,
1255719846,True,2,A351,primary,40 mph,False,5.439,"LINESTRING (-2.1135995 50.6907986, -2.1135873 50.6908469)",Saxon Roundabout,roundabout,,
1255719846,True,2,A351,primary,40 mph,False,2.95,"LINESTRING (-2.1134326 50.6909571, -2.1133931 50.6909659)",Saxon Roundabout,roundabout,,
143614235,False,,,unclassified,,True,174.66899999999998,"LINESTRING (-2.1028023 50.6867591, -2.1045724 50.6867448, -2.1052798 50.6867134)",Bestwall Road,,,
4938351,False,2,,residential,,True,13.38,"LINESTRING (-2.1087267 50.6885682, -2.108731 50.6886885)",Folly Lane,,,
4951029,False,2,,residential,30 mph,False,126.162,"LINESTRING (-2.1087267 50.6885682, -2.1086948 50.6884138, -2.1086599 50.6882423, -2.1086365 50.6880647, -2.1085898 50.6879601, -2.1085499 50.687887, -2.1083019 50.6874742)",Moreton's Lane,,,
143614242,False,2,,residential,,True,89.08500000000001,"LINESTRING (-2.1087267 50.6885682, -2.1090883 50.6885077, -2.1098886 50.6883766, -2.1099497 50.6883646)",Brixey's Lane,,,
4938351,False,2,,residential,,False,13.38,"LINESTRING (-2.108731 50.6886885, -2.1087267 50.6885682)",Folly Lane,,,
4938351,False,2,,residential,,True,36.312,"LINESTRING (-2.108731 50.6886885, -2.1088882 50.6889995)",Folly Lane,,,
338420953,False,2,,residential,,False,61.679,"LINESTRING (-2.108731 50.6886885, -2.108264 50.6887776, -2.108232 50.6887177, -2.1081395 50.6885449)",Folly Lane,,,
1124861691,False,2,B3075,secondary,30 mph,False,13.041,"LINESTRING (-2.1120089 50.6893015, -2.1119181 50.6891993)",North Street,,,
4951027,False,1,,residential,30 mph,False,87.312,"LINESTRING (-2.1120089 50.6893015, -2.111958 50.6893182, -2.1118184 50.6893356, -2.1117031 50.6893599, -2.1115798 50.6893868, -2.1113392 50.689478, -2.1111415 50.689538, -2.1110178 50.6895582, -2.1108575 50.6895643)",Mount Pleasant,,,
"[340765723, 34235738, 1118189851]",False,2,B3075,secondary,30 mph,True,153.108,"LINESTRING (-2.1120089 50.6893015, -2.1120603 50.6893428, -2.1125139 50.6897815, -2.1127601 50.6900389, -2.1127805 50.6900591, -2.1129521 50.6902287, -2.1130889 50.690404, -2.1131213 50.6904792)","['North Causeway', 'North Bridge', 'North Street']",,yes,
23845099,False,2,,unclassified,30 mph,True,18.757,"LINESTRING (-2.108183 50.6863262, -2.1079331 50.6863844)",East Street,,,
23845099,False,2,,unclassified,30 mph,False,125.47299999999998,"LINESTRING (-2.108183 50.6863262, -2.1088766 50.6861651, -2.1096337 50.6860301, -2.1097801 50.6859969, -2.1098698 50.6859685)",East Street,,,
146967122,False,,,residential,30 mph,False,77.025,"LINESTRING (-2.108183 50.6863262, -2.1080477 50.6859879, -2.1079739 50.6858144, -2.1079354 50.6857226, -2.1079219 50.6856541)",Church Street,,,
146967122,False,,,residential,30 mph,False,25.481,"LINESTRING (-2.1079219 50.6856541, -2.1079017 50.6854253)",Church Street,,,
146967119,False,,,residential,30 mph,False,177.059,"LINESTRING (-2.1079219 50.6856541, -2.1078191 50.6856695, -2.1076831 50.6856883, -2.1072603 50.6856992, -2.1068946 50.6857105, -2.1063099 50.6857981, -2.1054532 50.6859208)",Wyatt's Lane,,,
146967122,False,,,residential,30 mph,True,77.025,"LINESTRING (-2.1079219 50.6856541, -2.1079354 50.6857226, -2.1079739 50.6858144, -2.1080477 50.6859879, -2.108183 50.6863262)",Church Street,,,
1118188108,False,,,residential,30 mph,False,46.495,"LINESTRING (-2.1079016 50.6847651, -2.1080706 50.6843609)",Church Street,,,
"[1218860840, 146967128, 8107923, 23844768]",False,,,residential,30 mph,"[False, True]",320.251,"LINESTRING (-2.1079016 50.6847651, -2.1070335 50.6847431, -2.1069218 50.6847414, -2.1068738 50.6847569, -2.1068479 50.6847804, -2.1068345 50.6849347, -2.1068066 50.6849606, -2.106206 50.6849974, -2.1056736 50.6850263, -2.1051013 50.685048, -2.1051726 50.6855466, -2.105195 50.6856212, -2.1052584 50.6857573, -2.1053228 50.6858388, -2.1054532 50.6859208)","['Church Lane', 'Conniger Lane', 'East Walls']",,,
