osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge
827693685,False,2,Main Street,tertiary,25 mph,False,92.032,"LINESTRING (-80.0182081 42.1494707, -80.0181237 42.1494997, -80.0172751 42.1497915, -80.0172104 42.1498138, -80.0171954 42.149819)",,
827706897,False,,Rumsey Avenue,residential,,False,121.562,"LINESTRING (-80.0182081 42.1494707, -80.0181548 42.1493823, -80.0179771 42.1491019, -80.0175899 42.1484782)",,
827706897,False,,Rumsey Avenue,residential,,True,144.60999999999999,"LINESTRING (-80.0182081 42.1494707, -80.0182544 42.1495467, -80.0183164 42.1496485, -80.0183875 42.149766, -80.0184285 42.1498294, -80.0185146 42.1499627, -80.0185949 42.1500953, -80.0186599 42.1501963, -80.0187575 42.1503477, -80.0188225 42.150454, -80.0189553 42.1506471)",,
841525299,False,2,Main Street,tertiary,25 mph,True,72.49400000000001,"LINESTRING (-80.0182081 42.1494707, -80.0182767 42.1494471, -80.0189352 42.1492208, -80.0190059 42.1491965)",,
827701916,False,,Napier Avenue,residential,,True,10.519,"LINESTRING (-80.0209686 42.1532906, -80.0209768 42.1531962)",,
"[903419496, 903419495, 452140882, 827697383]",True,2,Iroquois Avenue,secondary,35 mph,False,136.06900000000002,"LINESTRING (-80.0209686 42.1532906, -80.0210472 42.1533022, -80.0217756 42.1533969, -80.0222315 42.1534573, -80.022356 42.1534728, -80.0224624 42.1534842, -80.0225129 42.1534892, -80.0225838 42.153457)",PA 955,
827703992,False,,Emmet Drive,residential,,False,140.718,"LINESTRING (-80.0209686 42.1532906, -80.0209604 42.1533544, -80.0209373 42.1534462, -80.0209048 42.1535125, -80.0208601 42.1535878, -80.0208103 42.1536541, -80.0207625 42.1537069, -80.0207218 42.153746, -80.0206324 42.1538146, -80.0205419 42.1538696, -80.0204159 42.1539344, -80.0199117 42.154108, -80.0198405 42.154133)",,
827701916,False,,Napier Avenue,residential,,False,10.519,"LINESTRING (-80.0209768 42.1531962, -80.0209686 42.1532906)",,
11901484,True,2,Iroquois Avenue,secondary,35 mph,False,106.144,"LINESTRING (-80.0209768 42.1531962, -80.0208944 42.1531862, -80.0203708 42.1531187, -80.0203205 42.1531121, -80.0201186 42.1530838, -80.0200402 42.1530728, -80.0197931 42.1530412, -80.0197088 42.1530304)",PA 955,
827694444,False,,Napier Avenue,residential,,False,234.38200000000006,"LINESTRING (-80.0209768 42.1531962, -80.0209758 42.1531234, -80.0209712 42.1530789, -80.0209605 42.1529964, -80.020935 42.1529179, -80.0208961 42.1528214, -80.0208479 42.1527469, -80.0207888 42.1526793, -80.0207164 42.1526206, -80.0206091 42.152544, -80.0205179 42.1524983, -80.0203999 42.1524506, -80.0202859 42.1524148, -80.0201049 42.1523701, -80.019901 42.1523164, -80.0197458 42.1522768, -80.0196945 42.1522637, -80.019555 42.1522309, -80.0194196 42.1521941, -80.0192841 42.1521513, -80.0192439 42.1521334, -80.0191594 42.1520877, -80.0190293 42.1520072, -80.0189763 42.151945)",,
11901484,True,2,Iroquois Avenue,secondary,35 mph,False,131.604,"LINESTRING (-80.0225503 42.1533954, -80.0223759 42.1533781, -80.0222536 42.1533629, -80.0217984 42.1533025, -80.0210623 42.1532091, -80.0209768 42.1531962)",PA 955,
843508497,False,,Lake Cliff Drive,residential,,False,13.704,"LINESTRING (-80.0286745 42.1508581, -80.0287593 42.1509641)",,
"[63047307, 452140876, 903419502]",True,"['3', '2']",East Lake Road,primary,40 mph,False,506.07300000000004,"LINESTRING (-80.0286745 42.1508581, -80.0280245 42.1511312, -80.0279888 42.1511462, -80.0271906 42.1514817, -80.0256725 42.1521196, -80.0252919 42.1522859, -80.0247217 42.1525382, -80.023789 42.1529628, -80.0234475 42.153123, -80.0234453 42.1531851)",PA 5,
843508497,False,,Lake Cliff Drive,residential,,True,13.704,"LINESTRING (-80.0287593 42.1509641, -80.0286745 42.1508581)",,
843508497,False,,Lake Cliff Drive,residential,,False,16.375,"LINESTRING (-80.0287593 42.1509641, -80.0288041 42.1510249, -80.0288546 42.1510933)",,
