osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,ref,maxspeed
9213009,residential,roundabout,True,False,66.618,"LINESTRING (-84.5911141 33.3958723, -84.5912268 33.39594, -84.5913414 33.3959796, -84.5914541 33.3959862, -84.5915668 33.3959664, -84.5916716 33.3959152, -84.591747 33.395854)",,,,
9219489,residential,,False,False,102.51299999999999,"LINESTRING (-84.5911141 33.3958723, -84.590912 33.39606, -84.5908401 33.3961268, -84.5905601 33.396387, -84.5904454 33.3964936, -84.590376 33.396558)",Circle Gate,,,
9213009,residential,roundabout,True,False,111.25999999999998,"LINESTRING (-84.591747 33.395854, -84.5917784 33.3957683, -84.5917922 33.3957254, -84.5918041 33.395633, -84.5917507 33.3955092, -84.5916617 33.3954217, -84.5915688 33.3953771, -84.5914522 33.3953556, -84.5913454 33.3953606, -84.5912386 33.3953969, -84.591154 33.395445, -84.5911042 33.3954976)",,,,
288857557,residential,,False,True,104.976,"LINESTRING (-84.591747 33.395854, -84.5918746 33.3959293, -84.5919998 33.3959982, -84.592133 33.396181, -84.592231 33.396436, -84.592269 33.396559, -84.5922818 33.3966379)",City Circle,,,
9213009,residential,roundabout,True,False,43.912,"LINESTRING (-84.5911042 33.3954976, -84.5910765 33.3955339, -84.5910528 33.3956, -84.5910449 33.3956775, -84.5910627 33.3957766, -84.5911141 33.3958723)",,,,
9213353,residential,,False,False,144.813,"LINESTRING (-84.5911042 33.3954976, -84.5909038 33.3953603, -84.5907649 33.3952651, -84.5906056 33.3951059, -84.5905759 33.3950737, -84.590498 33.3949895, -84.590328 33.394818, -84.5900198 33.394568)",City Circle,,,
592079669,residential,,True,False,69.315,"LINESTRING (-84.5857532 33.3992573, -84.5857428 33.3993397, -84.5858335 33.3994631, -84.5860814 33.3998004)",Willowbend Road,,,
"[904431438, 1215887495]",residential,,False,True,95.50099999999999,"LINESTRING (-84.5857532 33.3992573, -84.5855055 33.3989145, -84.5854117 33.3987864, -84.5852869 33.3986151, -84.5852173 33.3985242)",Willowbend Road,,,
9213149,residential,,False,True,85.446,"LINESTRING (-84.5870576 33.3981634, -84.5869176 33.3979431, -84.5871832 33.3974738)",Pine Ridge Road,,,
9213353,residential,,False,True,144.81300000000002,"LINESTRING (-84.5900198 33.394568, -84.590328 33.394818, -84.590498 33.3949895, -84.5905759 33.3950737, -84.5906056 33.3951059, -84.5907649 33.3952651, -84.5909038 33.3953603, -84.5911042 33.3954976)",City Circle,,,
"[9214060, 1214649757]",unclassified,,False,True,168.706,"LINESTRING (-84.5900198 33.394568, -84.5899647 33.3946197, -84.5896056 33.3949522, -84.5892545 33.3952705, -84.5890019 33.3955109, -84.5889648 33.3955469, -84.5888969 33.3956012, -84.5888671 33.3956332, -84.5888073 33.3956973)",Clover Reach,,,
"[1213381478, 729842119]",unclassified,,False,False,362.992,"LINESTRING (-84.5900198 33.394568, -84.5896536 33.394277, -84.5893729 33.3940625, -84.589266 33.3939877, -84.5890648 33.3938296, -84.5886619 33.3935265, -84.5883864 33.3933264, -84.5882601 33.3932449, -84.5880977 33.3931654, -84.5879396 33.3931127, -84.5878305 33.3931022, -84.5876961 33.3931062, -84.5875999 33.3931251, -84.587383 33.393206, -84.5868426 33.3934271)",Clover Reach,,,
"[1214649759, 729842119]",unclassified,,False,False,55.757,"LINESTRING (-84.5868426 33.3934271, -84.586447 33.393577, -84.5864084 33.3935951, -84.5863068 33.3936513)",Clover Reach,,,
"[1213381478, 729842119]",unclassified,,False,True,362.99199999999996,"LINESTRING (-84.5868426 33.3934271, -84.587383 33.393206, -84.5875999 33.3931251, -84.5876961 33.3931062, -84.5878305 33.3931022, -84.5879396 33.3931127, -84.5880977 33.3931654, -84.5882601 33.3932449, -84.5883864 33.3933264, -84.5886619 33.3935265, -84.5890648 33.3938296, -84.589266 33.3939877, -84.5893729 33.3940625, -84.5896536 33.394277, -84.5900198 33.394568)",Clover Reach,,,
