osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,access,ref,bridge,tunnel
604252821,True,2,Berkeley Street,secondary,25 mph,28.7,False,95.504,"LINESTRING (-71.0734488 42.35206, -71.0734803 42.352125, -71.0736349 42.3524382, -71.0738016 42.3527815, -71.0738136 42.3528076, -71.073844 42.3528677)",,,,
8648550,True,2,Tremont Street,secondary,25 mph,22.6,False,56.564,"LINESTRING (-71.0649214 42.3510876, -71.0649625 42.3509454, -71.0649809 42.3508733, -71.0650616 42.3505896)",,,,
242633873,False,2,Stuart Street,secondary,25 mph,20.7,True,155.65200000000002,"LINESTRING (-71.0649214 42.3510876, -71.0647965 42.3510854, -71.0646674 42.3510788, -71.0643909 42.3510595, -71.0632144 42.3509311, -71.0631842 42.3509302, -71.0630417 42.3509273)",,,,
242652627,False,4,Stuart Street,secondary,25 mph,20.7,False,94.83599999999998,"LINESTRING (-71.0649214 42.3510876, -71.065066 42.3510846, -71.0658057 42.3510992, -71.0659014 42.3511036, -71.0659967 42.351103, -71.0660745 42.3510969)",,,,
8643915,False,2,Hadassah Way,residential,25 mph,14.6,True,71.53999999999999,"LINESTRING (-71.0689417 42.351585, -71.0689738 42.3516734, -71.0690128 42.3517786, -71.069116 42.3520616, -71.0691389 42.3521243, -71.0691497 42.3521538, -71.0691688 42.3522061)",,,,
8652528,True,2,Park Plaza,secondary,,29.9,False,129.727,"LINESTRING (-71.0689417 42.351585, -71.0690144 42.3515715, -71.0697216 42.3514411, -71.0697822 42.3514289, -71.0698344 42.3514142, -71.0698782 42.3513936, -71.0699199 42.3513668, -71.0701935 42.3511472, -71.0702207 42.3511254, -71.0702917 42.3510683)",,,,
825263840,True,2,Hadassah Way,residential,25 mph,14.6,False,7.78,"LINESTRING (-71.0691688 42.3522061, -71.0691922 42.3522739)",,,,
8643915,False,2,Hadassah Way,residential,25 mph,14.6,False,71.53999999999999,"LINESTRING (-71.0691688 42.3522061, -71.0691497 42.3521538, -71.0691389 42.3521243, -71.069116 42.3520616, -71.0690128 42.3517786, -71.0689738 42.3516734, -71.0689417 42.351585)",,,,
825263839,True,2,Boylston Street,primary,25 mph,,False,142.62999999999997,"LINESTRING (-71.0691688 42.3522061, -71.0690203 42.3522359, -71.0685915 42.352322, -71.0685271 42.3523345, -71.068213 42.352401, -71.0677991 42.352479, -71.0676488 42.3525038, -71.067611 42.3525087, -71.0675694 42.3525136, -71.0674872 42.3525186)",,,,
8636363,True,1,Melrose Street,residential,25 mph,10.4,False,120.566,"LINESTRING (-71.0669477 42.3496459, -71.067826 42.349245, -71.068164 42.3491045, -71.068205 42.3490875)",yes,,,
104205451,False,2,Melrose Street,residential,25 mph,6,False,33.648,"LINESTRING (-71.0669477 42.3496459, -71.0668434 42.3496719, -71.0666864 42.349709, -71.0665569 42.349682)",yes,,,
856200767,False,2,Broadway Street,residential,25 mph,8,True,31.093000000000004,"LINESTRING (-71.0669477 42.3496459, -71.0670688 42.3497623, -71.0671724 42.3498708)",yes,,,
8640819,False,2,Avery Street,unclassified,25 mph,12.8,False,52.661,"LINESTRING (-71.0637874 42.353305, -71.0636328 42.3532935, -71.0633661 42.3532851, -71.0631478 42.3532778)",,,,
8640819,False,2,Avery Street,unclassified,25 mph,12.8,True,38.032000000000004,"LINESTRING (-71.0637874 42.353305, -71.0641223 42.3533649, -71.0642375 42.3533846)",,,,
8640819,False,2,Avery Street,unclassified,25 mph,12.8,False,38.032000000000004,"LINESTRING (-71.0642375 42.3533846, -71.0641223 42.3533649, -71.0637874 42.353305)",,,,
"[1121209369, 426831020, 840928388, 1121209367]",True,"['4', '3']",Tremont Street,secondary,25 mph,30.2,False,115.70999999999998,"LINESTRING (-71.0642375 42.3533846, -71.064366 42.353064, -71.0643703 42.3530471, -71.064425 42.3528321, -71.0644722 42.3526648, -71.0645196 42.3525012, -71.0645293 42.3524676, -71.064556 42.3523719)",,,,
"[1120131787, 8650197]",True,3,Tremont Street,secondary,25 mph,20.1,False,146.017,"LINESTRING (-71.064556 42.3523719, -71.0645773 42.3522924, -71.064656 42.351992, -71.0647293 42.3517219, -71.064746 42.3516568, -71.0647717 42.3515447, -71.0647879 42.3514905, -71.0648135 42.3514046, -71.0648734 42.3511991, -71.0649214 42.3510876)",,,,
"[1096242208, 1096242209, 8645216]",True,"['1', '2']",Boylston Street,secondary,25 mph,21.3,False,162.525,"LINESTRING (-71.064556 42.3523719, -71.0644557 42.3523528, -71.0643822 42.3523439, -71.0643166 42.3523382, -71.0642841 42.3523364, -71.064141 42.3523286, -71.0639047 42.3523201, -71.0637652 42.3523163, -71.0636808 42.3523134, -71.0634952 42.3523093, -71.0633365 42.3523198, -71.0632291 42.3523266, -71.0627608 42.3523721, -71.062716 42.3523765, -71.0625912 42.3523923)",,,,
