osmid,name,highway,access,oneway,reversed,length,geometry,lanes,bridge,ref,maxspeed
5299704,Alt Road,residential,permissive,False,False,192.888,"LINESTRING (-76.6460111 39.4818413, -76.6459599 39.4815172, -76.6458567 39.4810808, -76.645711 39.4801228)",,,,
"[5301312, 1014195094, 1014195095]",Cockeysville Road,residential,,False,False,92.38000000000001,"LINESTRING (-76.6460111 39.4818413, -76.6461936 39.4818401, -76.6462506 39.481836, -76.6463867 39.4818263, -76.6465813 39.4818021, -76.6467698 39.4817684, -76.6469319 39.4817321, -76.6469968 39.4817165, -76.6470661 39.4816998)",2,yes,,
1014195094,Cockeysville Road,residential,,False,True,43.258,"LINESTRING (-76.6460111 39.4818413, -76.6457568 39.4818345, -76.6455082 39.4818174)",2,,,
5299704,Alt Road,residential,permissive,False,True,192.888,"LINESTRING (-76.645711 39.4801228, -76.6458567 39.4810808, -76.6459599 39.4815172, -76.6460111 39.4818413)",,,,
5312313,Railroad Avenue,residential,,False,False,259.83099999999996,"LINESTRING (-76.6455082 39.4818174, -76.6455077 39.4820851, -76.6455392 39.4822726, -76.6455808 39.4823966, -76.645586 39.482412, -76.645605 39.482471, -76.6456156 39.4825141, -76.6456312 39.4826285, -76.6456241 39.4826918, -76.6456075 39.4827664, -76.6455843 39.4828367, -76.645579 39.4828528, -76.6455591 39.4829408, -76.6455475 39.4830096, -76.645527 39.4831315, -76.6454244 39.4836459, -76.6454107 39.4837022, -76.6453934 39.4837731, -76.6453683 39.4838329, -76.6453278 39.4838652, -76.6452645 39.483891, -76.6450229 39.4839418)",,,,
1014195094,Cockeysville Road,residential,,False,False,43.258,"LINESTRING (-76.6455082 39.4818174, -76.6457568 39.4818345, -76.6460111 39.4818413)",2,,,
5301312,Cockeysville Road,residential,,False,False,185.352,"LINESTRING (-76.6470661 39.4816998, -76.6476693 39.4815409, -76.6481774 39.4814118, -76.6487019 39.4812785, -76.6491155 39.481174)",2,,,
"[5301312, 1014195094, 1014195095]",Cockeysville Road,residential,,False,True,92.38,"LINESTRING (-76.6470661 39.4816998, -76.6469968 39.4817165, -76.6469319 39.4817321, -76.6467698 39.4817684, -76.6465813 39.4818021, -76.6463867 39.4818263, -76.6462506 39.481836, -76.6461936 39.4818401, -76.6460111 39.4818413)",2,yes,,
"[276511760, 5307588, 276511759]",Veneer Lane,unclassified,permissive,False,False,366.084,"LINESTRING (-76.6470661 39.4816998, -76.6473726 39.4824341, -76.6474964 39.4828024, -76.647702 39.4828462, -76.6479383 39.4828646, -76.6481448 39.4828581, -76.6488358 39.4827586, -76.6489576 39.482743, -76.6490471 39.4827439, -76.6491318 39.4827531, -76.6492178 39.4827752, -76.6492965 39.4827835, -76.6493404 39.4827818, -76.6493896 39.4827798, -76.6501022 39.482633, -76.6502117 39.4826104)",,,,
5301312,Cockeysville Road,residential,,False,False,46.385999999999996,"LINESTRING (-76.6491155 39.481174, -76.6493635 39.4811068, -76.6496174 39.4810201)",2,,,
5301312,Cockeysville Road,residential,,False,True,185.352,"LINESTRING (-76.6491155 39.481174, -76.6487019 39.4812785, -76.6481774 39.4814118, -76.6476693 39.4815409, -76.6470661 39.4816998)",2,,,
5301312,Cockeysville Road,residential,,False,True,46.385999999999996,"LINESTRING (-76.6496174 39.4810201, -76.6493635 39.4811068, -76.6491155 39.481174)",2,,,
