osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,bridge
5265865,10th Street,residential,25 mph,False,True,115.47600000000001,"LINESTRING (-122.4619868 48.9446576, -122.461951 48.9446058, -122.461936 48.9445836, -122.4614056 48.943798, -122.4613457 48.9437083)",,,
405933746,Glenning Street,residential,25 mph,False,False,99.784,"LINESTRING (-122.4619868 48.9446576, -122.461918 48.9446778, -122.4618643 48.9446945, -122.4607512 48.9450406)",,,
405933746,Glenning Street,residential,25 mph,False,True,146.593,"LINESTRING (-122.4619868 48.9446576, -122.4630414 48.9443405, -122.463268 48.9442726, -122.4635271 48.9441778, -122.463708 48.9440192)",,,
5265507,Benson Road,tertiary,35 mph,False,True,59.834,"LINESTRING (-122.463348 48.9495637, -122.4633494 48.9501018)",,,
5255043,Benson Lane,residential,,False,False,117.989,"LINESTRING (-122.463348 48.9495637, -122.4631702 48.949563, -122.4619166 48.9495458, -122.4617568 48.9496058)",,,
5265507,Benson Road,tertiary,35 mph,False,False,215.524,"LINESTRING (-122.463348 48.9495637, -122.4633523 48.9493808, -122.4633541 48.9493061, -122.4633689 48.9489383, -122.4633721 48.9488574, -122.4633733 48.9488141, -122.4634105 48.9476259)",,,
5255043,Benson Lane,residential,,False,True,117.98899999999999,"LINESTRING (-122.4617568 48.9496058, -122.4619166 48.9495458, -122.4631702 48.949563, -122.463348 48.9495637)",,,
952229308,Front Street,tertiary,25 mph,False,False,10.521,"LINESTRING (-122.4506053 48.9435176, -122.4504744 48.9435571)",,,
242783304,Front Street,tertiary,25 mph,False,True,96.071,"LINESTRING (-122.4506053 48.9435176, -122.4512077 48.9433431, -122.4515437 48.943246, -122.4518085 48.9431684)",,,
755576780,3rd Street,tertiary,25 mph,False,False,115.234,"LINESTRING (-122.4506053 48.9435176, -122.450923 48.9439895, -122.4511367 48.9443069, -122.4511865 48.9443809, -122.4512434 48.9444654)",,,
5255809,3rd Street,tertiary,25 mph,False,False,117.739,"LINESTRING (-122.4512434 48.9444654, -122.4513137 48.9445679, -122.4515056 48.9448375, -122.4515749 48.9449359, -122.451649 48.945041, -122.451857 48.9453428, -122.4519176 48.9454272)",,,
755576780,3rd Street,tertiary,25 mph,False,True,115.23400000000001,"LINESTRING (-122.4512434 48.9444654, -122.4511865 48.9443809, -122.4511367 48.9443069, -122.450923 48.9439895, -122.4506053 48.9435176)",,,
755576799,Grover Street,secondary,25 mph,False,True,100.43599999999999,"LINESTRING (-122.4512434 48.9444654, -122.4513863 48.9444239, -122.4519001 48.9442747, -122.4520643 48.944227, -122.4523731 48.9441374, -122.452501 48.9440999)",,,
5255809,3rd Street,tertiary,25 mph,False,False,104.09800000000001,"LINESTRING (-122.4519176 48.9454272, -122.4519848 48.945509, -122.4523467 48.9459429, -122.4524499 48.9461341, -122.452484 48.946278)",,,
