osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,tunnel
19716407,True,Triq San Franġisk,secondary,False,119.10399999999998,"LINESTRING (14.5178572 35.8799325, 14.5178811 35.8801234, 14.517897 35.8802556, 14.517905 35.8803476, 14.5179047 35.8804412, 14.5178886 35.8805346, 14.5178378 35.8807787, 14.5178391 35.8808115, 14.517853 35.8808445, 14.517874 35.8808688, 14.5179152 35.880894, 14.5179998 35.8809344)",,,,,,
154459129,True,Triq San Ġwann t'Għuxa,secondary,False,119.86600000000001,"LINESTRING (14.5178572 35.8799325, 14.5179242 35.8799461, 14.5180178 35.8799403, 14.5181153 35.8798802, 14.5182946 35.8796712, 14.5183927 35.8795222, 14.5183904 35.8794589, 14.5183781 35.8794175, 14.5183356 35.8793815, 14.5182826 35.8793467, 14.5182135 35.8793129, 14.5180507 35.8792483)",1,24,40,,,
138441486,True,Triq San Ġwann t'Għuxa,secondary,False,78.38,"LINESTRING (14.5180507 35.8792483, 14.518223 35.8793787, 14.5182876 35.8794396, 14.5183116 35.8795103, 14.5182599 35.8796014, 14.5180584 35.8798037)",1,24,40,,,
186576131,False,Triq San Ġwann t'Għuxa,secondary,False,148.359,"LINESTRING (14.5180507 35.8792483, 14.5180022 35.8792024, 14.517962 35.8791632, 14.5179342 35.8791266, 14.5179083 35.8790779, 14.5178948 35.8790374, 14.5178877 35.8789949, 14.5178874 35.8789506, 14.5178987 35.8788916, 14.5179553 35.8787068, 14.518079 35.8784718, 14.5182178 35.8783121, 14.5185116 35.8781349)",2,24,40,,,
540616824,False,Triq Verdala,secondary,False,150.55200000000002,"LINESTRING (14.5240919 35.8798051, 14.5239759 35.8802318, 14.5239748 35.880342, 14.5239725 35.8804199, 14.5241806 35.8806032, 14.5242638 35.8806696, 14.5243548 35.8807437, 14.5243965 35.8807792, 14.5244388 35.8808039, 14.5245146 35.8808256, 14.5245731 35.8808286, 14.5246607 35.8807993)",2,,30,,,
27458611,False,Xandru,residential,False,70.545,"LINESTRING (14.5225211 35.8849696, 14.5224671 35.8847371, 14.5223931 35.8843438)",,,,,,
380527796,False,Triq it-8 ta' Diċembru,secondary,False,76.547,"LINESTRING (14.5225211 35.8849696, 14.522189 35.8849677, 14.5219561 35.8849687, 14.521882 35.8849568, 14.5218001 35.8849348, 14.5217384 35.8849114, 14.5216917 35.8848883)",,,,,,
380527796,False,Triq it-8 ta' Diċembru,secondary,True,46.787,"LINESTRING (14.5225211 35.8849696, 14.5226684 35.8849737, 14.5227499 35.8849785, 14.52304 35.8849857)",,,,,,
27458610,False,Triq Dom Mintoff,secondary,False,133.319,"LINESTRING (14.5206548 35.8821229, 14.5203455 35.8814689, 14.5202818 35.8813368, 14.5202476 35.8812701, 14.5202019 35.8811934, 14.5201417 35.8811075, 14.5200779 35.8810212)",2,,30,,,
27458610,False,Triq Dom Mintoff,secondary,True,34.009,"LINESTRING (14.5206548 35.8821229, 14.5207037 35.8822437, 14.5207244 35.8823334, 14.5207328 35.8824206)",2,,30,,,
