osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,junction,width,access
131248867,True,2,12;13,Triq Putirjal,primary,False,56.737,"LINESTRING (14.2406573 36.0429483, 14.2405633 36.0425238, 14.2405587 36.042514, 14.2405288 36.0424499)",,,,
15035588,False,,13,Triq it-Tabib Antone Tabone,primary,False,15.073,"LINESTRING (14.2402259 36.0409572, 14.2402661 36.0408256)",,,,
24949972,False,,10;12,Wesgħa Vinċenzo Labini,secondary,False,28.674,"LINESTRING (14.2402259 36.0409572, 14.2401457 36.040945, 14.2399142 36.0409028)",,,,
26605104,False,,10;12;13,Triq Enrico Mizzi,primary,True,143.211,"LINESTRING (14.2402259 36.0409572, 14.2402512 36.0409983, 14.2401952 36.0413626, 14.2402002 36.0415011, 14.2403449 36.0422281)",,,,
24949743,True,,10,Triq Il Qalb Ta' Ġesu,secondary,False,14.171,"LINESTRING (14.2368846 36.0388424, 14.2369465 36.0389596)",,,,
583021956,False,,10,Triq Ix-Xlendi,secondary,False,14.854,"LINESTRING (14.2368846 36.0388424, 14.2367959 36.0387297)",,,,
29434800,True,,,Triq Għar Gerduf,residential,False,21.551,"LINESTRING (14.2351637 36.0415598, 14.235123 36.0417508)",,,,
29434805,False,,,Trejqet Grezzja Grima,residential,False,52.052,"LINESTRING (14.2351637 36.0415598, 14.2352465 36.0410965)",,,,
"[24949944, 337003379]",True,,,"['Triq Dun Pawl Micallef', 'Triq San Ġwann Bosco']",residential,False,245.57,"LINESTRING (14.2350355 36.0420708, 14.2352659 36.0421351, 14.2356076 36.0422742, 14.2360343 36.0424379, 14.2361651 36.0425346, 14.2363871 36.0427165, 14.2366047 36.0429276, 14.2372842 36.0432683)",,,,
29434802,False,2,,Triq id-Dawwara,secondary,True,67.378,"LINESTRING (14.2372842 36.0432683, 14.2371566 36.0438654)",,,,
29551620,False,,,Triq San Ġwann,residential,False,64.751,"LINESTRING (14.2372842 36.0432683, 14.2377736 36.0433319, 14.2378588 36.04334, 14.237918 36.0433323, 14.2379895 36.0433056)",,,,
"[140283608, 1159351356]",False,,,Pjazzetta fuq it-Tomba,secondary,True,123.47400000000002,"LINESTRING (14.2372842 36.0432683, 14.2373827 36.0431309, 14.2374572 36.0429416, 14.2375325 36.0426901, 14.2375529 36.0426273, 14.2375733 36.0425412, 14.2376025 36.0424907, 14.2376637 36.0424665, 14.237735 36.0424474, 14.2378182 36.0424204, 14.2378652 36.0424081, 14.2379321 36.0423883)",,,,
157515749,False,,,Triq Mro. Dirjanu Lanzon,residential,True,30.888,"LINESTRING (14.2451814 36.0464658, 14.2449126 36.0462928)",,,,
519178364,False,,,Triq Patri Manwel Magri,residential,True,66.129,"LINESTRING (14.2451814 36.0464658, 14.2450424 36.0470498)",,,,
157515749,False,,,Triq Mro. Dirjanu Lanzon,residential,False,65.347,"LINESTRING (14.244364 36.0459073, 14.2449126 36.0462928)",,,,
157515749,False,,,Triq Mro. Dirjanu Lanzon,residential,True,76.254,"LINESTRING (14.244364 36.0459073, 14.2438204 36.0453809)",,,,
157514727,False,,2,Trejqet l-Exchange,residential,True,57.285,"LINESTRING (14.2420328 36.0445376, 14.2420375 36.0445744, 14.2420338 36.0446378, 14.2418719 36.0450313)",,,,
157798846,False,2,1,Triq ir-Repubblika,primary,True,188.369,"LINESTRING (14.2420328 36.0445376, 14.2421501 36.0445081, 14.2430522 36.044256, 14.2431054 36.0442404, 14.2435318 36.0440958, 14.243865 36.0440168, 14.2440089 36.0439782)",40,,,
838987130,False,2,1;2,Triq ir-Repubblika,primary,False,32.26,"LINESTRING (14.2420328 36.0445376, 14.2418708 36.0445834, 14.2416925 36.0446295)",40,,,
29434821,False,2,1,Triq Sant' Orsla,primary,False,159.582,"LINESTRING (14.2374587 36.0455069, 14.2370912 36.045483, 14.2369347 36.0454773, 14.2368077 36.045476, 14.236664 36.045479, 14.2365189 36.0454885, 14.2356982 36.0456052)",40,,,
"[1155279849, 519050767]",False,2,1,"['Triq Sir Adrian Dingli', ""Triq Sant' Orsla""]",primary,True,45.279,"LINESTRING (14.2374587 36.0455069, 14.2378078 36.0455762, 14.237892 36.0454816)",40,,,
519321723,False,2,1,Triq Papa Ġwanni Pawlu II,primary,False,9.54,"LINESTRING (14.2355717 36.0456234, 14.2354665 36.0456346)",,,,
519321732,True,,,Triq Gedrin,secondary,False,13.409,"LINESTRING (14.2355717 36.0456234, 14.2356088 36.0455066)",,,,
519321733,False,2,1,Triq Sant'Orsla,primary,True,11.552,"LINESTRING (14.2355717 36.0456234, 14.2356982 36.0456052)",,,,
23917268,False,,,Triq Is-Sajjieda,residential,True,27.136,"LINESTRING (14.2380951 36.0392959, 14.2379276 36.0394989)",,,,
15664722,True,,10,Triq L-Isptar San Giljan,secondary,False,106.86,"LINESTRING (14.2380951 36.0392959, 14.2378065 36.0391119, 14.2377197 36.0390686, 14.2370416 36.0388754)",,,,
15664761,False,,12,Triq Santa Dminka,secondary,False,91.774,"LINESTRING (14.2397002 36.040146, 14.2395495 36.0393297)",,,,
29434719,False,,10;12,Triq Santa Dminka,secondary,False,86.324,"LINESTRING (14.2397002 36.040146, 14.2399142 36.0409028)",,,,
15664722,True,,10,Triq L-Isptar San Giljan,secondary,False,175.865,"LINESTRING (14.2397002 36.040146, 14.2392625 36.0400635, 14.2391674 36.0400211, 14.2380951 36.0392959)",,,,
29434724,False,,,Triq Il Qalb Ta' Ġesu,secondary,True,77.628,"LINESTRING (14.237518 36.041399, 14.2374554 36.0412901, 14.2372848 36.0409665, 14.2371788 36.0407571)",,,,
