osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry,access
354054215,False,trunk_link,True,12.9,,,,,"LINESTRING (151.9499147 -27.4672494, 151.9498199 -27.4671695)",
574554709,True,trunk,False,324.582,2,A3;ACW,New England Highway,70,"LINESTRING (151.9499147 -27.4672494, 151.9474492 -27.4691821)",
354054217,False,trunk_link,True,13.006,,,,,"LINESTRING (151.9474492 -27.4691821, 151.9473902 -27.4690775)",
41440696,False,residential,False,118.49799999999999,,,Eclipse Court,,"LINESTRING (151.9474492 -27.4691821, 151.9475267 -27.4692527, 151.9477738 -27.4694798, 151.9478536 -27.4695055, 151.9479489 -27.4694877, 151.9480641 -27.4694383, 151.9481528 -27.4694185, 151.9482326 -27.4694225, 151.948483 -27.4694521)",
41440696,False,residential,False,340.04699999999997,,,Eclipse Court,,"LINESTRING (151.948483 -27.4694521, 151.9500301 -27.4696716, 151.9501254 -27.4697012, 151.9502052 -27.4697566, 151.9505154 -27.4700234, 151.9506529 -27.4700669, 151.9507792 -27.470059, 151.9512003 -27.4699918, 151.9516347 -27.4698692, 151.9517231 -27.4698578)",
41440696,False,residential,True,118.49800000000002,,,Eclipse Court,,"LINESTRING (151.948483 -27.4694521, 151.9482326 -27.4694225, 151.9481528 -27.4694185, 151.9480641 -27.4694383, 151.9479489 -27.4694877, 151.9478536 -27.4695055, 151.9477738 -27.4694798, 151.9475267 -27.4692527, 151.9474492 -27.4691821)",
41440696,False,residential,False,14.166,,,Eclipse Court,,"LINESTRING (151.9517231 -27.4698578, 151.9518652 -27.4698395)",
41440697,False,residential,False,10.992,,,,,"LINESTRING (151.9517231 -27.4698578, 151.9517034 -27.4697605)",
41440696,False,residential,True,340.047,,,Eclipse Court,,"LINESTRING (151.9517231 -27.4698578, 151.9516347 -27.4698692, 151.9512003 -27.4699918, 151.9507792 -27.470059, 151.9506529 -27.4700669, 151.9505154 -27.4700234, 151.9502052 -27.4697566, 151.9501254 -27.4697012, 151.9500301 -27.4696716, 151.948483 -27.4694521)",
41440696,False,residential,True,14.166,,,Eclipse Court,,"LINESTRING (151.9518652 -27.4698395, 151.9517231 -27.4698578)",
41440697,False,residential,True,10.992,,,,,"LINESTRING (151.9517034 -27.4697605, 151.9517231 -27.4698578)",
140180188,False,residential,True,362.77,,,Gladswood Drive,50,"LINESTRING (151.9464452 -27.4679343, 151.9493923 -27.4659834)",yes
70506555,False,residential,False,157.643,,,Ninderry Drive,50,"LINESTRING (151.9464452 -27.4679343, 151.947327 -27.4690014, 151.9473902 -27.4690775)",yes
"[70506555, 70506564]",False,residential,True,374.47,,,"['Merrol Street', 'Ninderry Drive']",50,"LINESTRING (151.9464452 -27.4679343, 151.9447426 -27.4658685, 151.9446901 -27.4658283, 151.9446348 -27.4658095, 151.9445723 -27.4658073, 151.9445229 -27.4658237, 151.9439871 -27.4661766)",yes
