osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,ref,tunnel,width
511157055,2,Rruga Egnatia,secondary,False,False,48.679,"LINESTRING (19.4486756 41.3122727, 19.4486863 41.3122332, 19.4487047 41.3121831, 19.4488435 41.3118537)",,,,,
511157055,2,Rruga Egnatia,secondary,False,True,44.222,"LINESTRING (19.4486756 41.3122727, 19.4486768 41.3123132, 19.4486915 41.3123513, 19.44871 41.3123892, 19.4488341 41.3126502)",,,,,
172313872,1,Rruga Fetah Bllaca,residential,True,False,125.553,"LINESTRING (19.449554 41.3139909, 19.4487163 41.314281, 19.448633 41.3143116, 19.4484528 41.3143776, 19.4481906 41.3144664)",,,,,
511157055,2,Rruga Egnatia,secondary,False,False,64.186,"LINESTRING (19.449554 41.3139909, 19.4495161 41.3139204, 19.4492664 41.3134556)",,,,,
511157055,2,Rruga Egnatia,secondary,False,True,76.33500000000001,"LINESTRING (19.449554 41.3139909, 19.4496917 41.3142472, 19.4498961 41.3146275)",,,,,
717912833,,Rruga Fetah Bllaca,residential,False,True,104.279,"LINESTRING (19.449554 41.3139909, 19.449676 41.3139538, 19.4506903 41.3136025)",20,,,,
511157055,2,Rruga Egnatia,secondary,False,False,63.912,"LINESTRING (19.4504627 41.3156822, 19.4502059 41.3152041, 19.4501763 41.3151492)",,,,,
511157055,2,Rruga Egnatia,secondary,False,True,37.308,"LINESTRING (19.4504627 41.3156822, 19.450473 41.3157014, 19.4505806 41.3158839, 19.4506016 41.3159483, 19.450616 41.315996)",,,,,
180604221,1,Rruga Admiral Abdi Mati,residential,True,False,80.911,"LINESTRING (19.4488341 41.3126502, 19.4487539 41.3126794, 19.4486757 41.3126672, 19.44793 41.3124501)",,,,,
511157055,2,Rruga Egnatia,secondary,False,False,44.222,"LINESTRING (19.4488341 41.3126502, 19.44871 41.3123892, 19.4486915 41.3123513, 19.4486768 41.3123132, 19.4486756 41.3122727)",,,,,
511157055,2,Rruga Egnatia,secondary,False,True,18.918999999999997,"LINESTRING (19.4488341 41.3126502, 19.4489109 41.3127829, 19.4489236 41.3128065)",,,,,
180603201,1,,residential,False,False,45.346000000000004,"LINESTRING (19.4431819 41.3163248, 19.443411 41.3164154, 19.4434755 41.31646, 19.4435474 41.3165107, 19.4436006 41.3165723)",,,,,
733748041,1,,tertiary,True,False,8.736,"LINESTRING (19.4493722 41.3173117, 19.4493565 41.317296, 19.4493515 41.3172767, 19.4493583 41.3172577, 19.4493754 41.3172429)",,roundabout,,,
733748042,2,Hafiz Podgorica,tertiary,False,True,42.558,"LINESTRING (19.4493722 41.3173117, 19.4492926 41.3173967, 19.4490654 41.3176172)",50,,,,
529255498,1,Bulevardi Dyrrah,residential,False,True,10.192,"LINESTRING (19.4494933 41.3173971, 19.4494269 41.3173202)",,,,,
727858132,2,Rruga Taulantia,secondary,True,False,43.706,"LINESTRING (19.445647 41.3096321, 19.4458158 41.3095801, 19.4458959 41.3095517, 19.4459618 41.3095094, 19.446008 41.309469, 19.4460588 41.309409)",40,,,,
"[733322510, 734555879]",4,Rruga Taulantia,secondary,False,False,67.212,"LINESTRING (19.445647 41.3096321, 19.4454693 41.309667, 19.4454027 41.3096801, 19.4448722 41.3097952)",40,,,,
266864847,2,Rruga Kont Urani,tertiary,True,False,20.167,"LINESTRING (19.4464134 41.3098913, 19.4464677 41.3098197, 19.446474 41.3097843, 19.4464738 41.3097534, 19.4464646 41.3097218)",,,,,
713493954,2,Rruga Kont Urani,tertiary,False,False,126.84700000000001,"LINESTRING (19.4464134 41.3098913, 19.445466 41.3107111, 19.4454179 41.3107528)",,,,,
172312973,1,Rruga Kap. Qema Hate,residential,True,False,35.164,"LINESTRING (19.4448722 41.3097952, 19.4449111 41.3098792, 19.4450131 41.3100932)",,,,,
727868380,4,Rruga Taulantia,secondary,False,False,57.190999999999995,"LINESTRING (19.4448722 41.3097952, 19.4448001 41.3098123, 19.4445063 41.3098858, 19.4443041 41.3099373, 19.4442227 41.309958)",40,,,,
"[733322510, 734555879]",4,Rruga Taulantia,secondary,False,True,67.212,"LINESTRING (19.4448722 41.3097952, 19.4454027 41.3096801, 19.4454693 41.309667, 19.445647 41.3096321)",40,,,,
172312865,2,Bulevardi Epidamn,secondary,False,False,51.241,"LINESTRING (19.4465782 41.3112047, 19.4468188 41.3107808)",20,,SH51,,
172312865,2,Bulevardi Epidamn,secondary,False,True,73.955,"LINESTRING (19.4465782 41.3112047, 19.4462223 41.3118137)",20,,SH51,,
717904886,,Rruga Xhamia,residential,True,False,56.018,"LINESTRING (19.4465782 41.3112047, 19.445962 41.3110058)",,,,,
307581403,,,residential,False,False,28.809,"LINESTRING (19.4465782 41.3112047, 19.4468123 41.3112761, 19.446894 41.3113083)",,,,,
713537596,,,residential,False,True,57.727,"LINESTRING (19.4457994 41.3127362, 19.4463672 41.3126013, 19.4464585 41.3125799)",,,,,
"[172312865, 727835151]",2,Bulevardi Epidamn,secondary,False,False,110.051,"LINESTRING (19.4457994 41.3127362, 19.4457922 41.3126854, 19.4457893 41.3126396, 19.4457882 41.3125921, 19.4457962 41.3125516, 19.4459503 41.3122879, 19.4462223 41.3118137)",20,,SH51,,
"[697995746, 727835148, 727835149, 727835151]",2,"['Rruga Aleksander Goga', 'Bulevardi Epidamn']",secondary,False,True,171.637,"LINESTRING (19.4457994 41.3127362, 19.4458534 41.3129425, 19.4458699 41.3130115, 19.4459408 41.3133317, 19.4460438 41.3137455, 19.4460709 41.3138576, 19.4460797 41.3139192, 19.4460813 41.313977, 19.4460778 41.3140218, 19.4460629 41.3140646, 19.4460454 41.3141022, 19.4459929 41.3142042, 19.4459662 41.3142452)",70,,SH51,,
172576238,2,Rruga Tofik Kalaçi,residential,False,False,25.723999999999997,"LINESTRING (19.4465231 41.3175009, 19.4466998 41.3174571, 19.4468211 41.3174477)",50,,,,
717904895,2,,residential,False,False,34.711,"LINESTRING (19.4465231 41.3175009, 19.4464306 41.3175242, 19.4461323 41.3176071)",,,,,
"[778307633, 717904899]",,,residential,False,False,93.507,"LINESTRING (19.4465231 41.3175009, 19.4465002 41.3174321, 19.4464335 41.3172224, 19.4464084 41.3172045, 19.4463895 41.317076, 19.4461933 41.3170694, 19.4461942 41.3170376, 19.4461706 41.3168185)",,,,,
"[714030904, 714030905]",2,"['Rruga Ismail Beja', 'Rruga Mustafa Varoshi']",residential,False,True,154.389,"LINESTRING (19.4490654 41.3176172, 19.4477881 41.3176663, 19.4476662 41.3176728, 19.4474861 41.3174316, 19.4474513 41.3173781)",50,,,,
733748042,2,Hafiz Podgorica,tertiary,False,False,42.558,"LINESTRING (19.4490654 41.3176172, 19.4492926 41.3173967, 19.4493722 41.3173117)",50,,,,
