osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,access,bridge
425210894,2,8518,Fő út,secondary,False,True,106.12899999999999,"LINESTRING (16.8648174 47.6196337, 16.8647016 47.6195979, 16.8644303 47.6195445, 16.8640389 47.6194906, 16.8634389 47.6194311)",,,
"[966503640, 302488120, 302814022]",,8521,Vasút sor,secondary,False,False,154.23499999999999,"LINESTRING (16.8648174 47.6196337, 16.8648561 47.6195758, 16.8648735 47.6195175, 16.8648898 47.6194294, 16.864994 47.6186236, 16.8650071 47.6184021, 16.8649963 47.6182575)",50,,
"[972929968, 1005980211, 972929967]",,8518;8521,Joseph Haydn út,secondary,False,False,95.943,"LINESTRING (16.8648174 47.6196337, 16.8650435 47.6197153, 16.8650883 47.619731, 16.8652564 47.6197902, 16.8653575 47.6198261, 16.865808 47.6199796, 16.865955 47.6200292)",50,,
302814018,,8518,Joseph Haydn út,secondary,False,True,265.298,"LINESTRING (16.8704601 47.6216737, 16.8703898 47.6215981, 16.8702328 47.6214962, 16.8700077 47.6213967, 16.8674045 47.6205048)",50,,
377874678,,8521,Kossuth Lajos utca,secondary,False,True,15.715,"LINESTRING (16.8658374 47.622563, 16.8658338 47.6226388, 16.8658232 47.6227039)",,,
"[96695626, 584333555, 584333557]",2,8521,Sarródi út,secondary,False,True,288.674,"LINESTRING (16.8658374 47.622563, 16.8657262 47.6210418, 16.8657075 47.6207552, 16.8656736 47.6203648, 16.8656989 47.6202811, 16.8657825 47.6201589, 16.865836 47.6201061, 16.8658843 47.6200721, 16.865955 47.6200292)",50,,
"[157385162, 966503636]",,,Hársfa köz,residential,False,False,189.04399999999998,"LINESTRING (16.8658374 47.622563, 16.8657005 47.6225488, 16.8656674 47.6225463, 16.8644821 47.6223004, 16.8634004 47.6221314)",50,,
157385155,,,Baross telep,residential,False,False,44.203,"LINESTRING (16.8685505 47.6228583, 16.8683534 47.6227892, 16.868014 47.622694)",30,destination,
222346379,,,Baross telep,residential,False,False,38.227,"LINESTRING (16.8672702 47.6218607, 16.8672534 47.6215171)",30,destination,
223165583,,,Baross telep,residential,False,True,55.689,"LINESTRING (16.8672702 47.6218607, 16.8665916 47.6216567)",30,,
223165390,,,Baross telep,residential,False,False,67.101,"LINESTRING (16.8672702 47.6218607, 16.867289 47.6221223, 16.8673177 47.6224633)",30,,
1008752173,,,Baross telep,residential,False,True,69.50399999999999,"LINESTRING (16.8672702 47.6218607, 16.8677599 47.6219946, 16.868026 47.6221949)",,,
157385136,,,,residential,False,True,183.333,"LINESTRING (16.8634689 47.6253993, 16.8633354 47.6253394, 16.861415 47.6245037)",,,
377874678,,8521,Kossuth Lajos utca,secondary,False,False,348.42400000000004,"LINESTRING (16.8634689 47.6253993, 16.8641124 47.6246829, 16.8649008 47.6237971, 16.8655384 47.6231003, 16.8657498 47.6228625, 16.8657953 47.622795, 16.8658232 47.6227039)",,,
157385154,,,Váci Mihály utca,residential,False,True,303.006,"LINESTRING (16.8634004 47.6221314, 16.86326 47.6223473, 16.861415 47.6245037)",,,
157385159,,,Gárdonyi Géza utca,residential,False,False,301.418,"LINESTRING (16.8634004 47.6221314, 16.8632602 47.6203514, 16.8632947 47.6201583, 16.8633539 47.6198313, 16.8634159 47.6195466, 16.8634389 47.6194311)",50,,
"[157385162, 966503636]",,,Hársfa köz,residential,False,True,189.044,"LINESTRING (16.8634004 47.6221314, 16.8644821 47.6223004, 16.8656674 47.6225463, 16.8657005 47.6225488, 16.8658374 47.622563)",50,,
157385154,,,Váci Mihály utca,residential,False,True,105.151,"LINESTRING (16.861415 47.6245037, 16.8606858 47.6253116)",,,
157385136,,,,residential,False,False,183.333,"LINESTRING (16.861415 47.6245037, 16.8633354 47.6253394, 16.8634689 47.6253993)",,,
157385154,,,Váci Mihály utca,residential,False,False,303.006,"LINESTRING (16.861415 47.6245037, 16.86326 47.6223473, 16.8634004 47.6221314)",,,
222343721,,,Sétáló köz,residential,False,True,7.946,"LINESTRING (16.8670905 47.6231894, 16.8670043 47.6231478)",,,
223165298,,,Baross telep,residential,False,True,56.817,"LINESTRING (16.8673177 47.6224633, 16.866622 47.6222603)",30,destination,
157385155,,,Baross telep,residential,False,True,58.155,"LINESTRING (16.8673177 47.6224633, 16.867896 47.622652, 16.868014 47.622694)",30,destination,
223165390,,,Baross telep,residential,False,True,67.101,"LINESTRING (16.8673177 47.6224633, 16.867289 47.6221223, 16.8672702 47.6218607)",30,,
