osmid,oneway,ref,name,highway,reversed,length,geometry,junction,tunnel
257259017,True,RR33E,شارع فرحات حشاد,secondary,False,8.55,"LINESTRING (10.2724435 36.7679385, 10.272442 36.7679317, 10.2724274 36.7678627)",,
103526767,False,,,residential,False,73.866,"LINESTRING (10.2738409 36.7680508, 10.2739945 36.767398)",,
103526872,False,RR33E,شارع الجمهورية,secondary,False,124.182,"LINESTRING (10.2738409 36.7680508, 10.2751983 36.7683055)",,
103526872,False,RR33E,شارع الجمهورية,secondary,True,89.526,"LINESTRING (10.2738409 36.7680508, 10.2728551 36.7678939)",,
69414453,False,RR33E,شارع محمد علي,secondary,True,87.777,"LINESTRING (10.2730885 36.7715895, 10.2732494 36.7723683)",,
28207590,False,,شارع خير الدين,residential,True,130.549,"LINESTRING (10.2730885 36.7715895, 10.2737899 36.7717259, 10.2745081 36.7718812)",,
69414453,False,RR33E,شارع محمد علي,secondary,False,94.912,"LINESTRING (10.2730885 36.7715895, 10.2730503 36.7713945, 10.2729966 36.7710889, 10.2729242 36.7707462)",,
26135546,False,,شارع الحبيب بورقيبة,residential,True,67.892,"LINESTRING (10.2727257 36.7698551, 10.2719879 36.7697018)",,
69414453,False,RR33E,شارع محمد علي,secondary,False,7.302,"LINESTRING (10.2727257 36.7698551, 10.2727103 36.7697906)",,
69414453,False,RR33E,شارع محمد علي,secondary,True,100.651,"LINESTRING (10.2727257 36.7698551, 10.2729242 36.7707462)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,False,135.955,"LINESTRING (10.2727257 36.7698551, 10.2742164 36.7701178)",,
103526870,False,,نهج باستور,residential,True,28.463,"LINESTRING (10.2755242 36.7683734, 10.2752161 36.7684413)",,
103526872,False,RR33E,شارع الجمهورية,secondary,True,29.995,"LINESTRING (10.2755242 36.7683734, 10.2751983 36.7683055)",,
221055861,False,,,residential,True,69.5,"LINESTRING (10.2755242 36.7683734, 10.2760014 36.7678789)",,
103526872,False,RR33E,شارع الجمهورية,secondary,False,109.16799999999999,"LINESTRING (10.2755242 36.7683734, 10.2759169 36.7683569, 10.2761523 36.7683211, 10.2764106 36.7682613, 10.2766827 36.7681206)",,
103526872,False,RR33E,شارع الجمهورية,secondary,True,121.199,"LINESTRING (10.2777368 36.7674331, 10.2770609 36.7679036, 10.2766827 36.7681206)",,
704508108,False,RR33E,شارع الجمهورية,secondary,False,2.741,"LINESTRING (10.2769512 36.7639696, 10.2769288 36.7639527)",,
270803471,True,RR33E,,secondary,False,31.945,"LINESTRING (10.2769512 36.7639696, 10.2770639 36.7640264, 10.2771239 36.7640607, 10.2771829 36.7640843, 10.2772569 36.7641191)",,
704508108,False,RR33E,شارع الجمهورية,secondary,True,9.165,"LINESTRING (10.2767001 36.7637857, 10.2767732 36.7638437)",,
704508108,False,RR33E,شارع الجمهورية,secondary,False,43.009,"LINESTRING (10.2767001 36.7637857, 10.2765694 36.7636933, 10.2763246 36.7635429)",,
704508108,False,RR33E,شارع الجمهورية,secondary,True,26.045,"LINESTRING (10.2760738 36.7634225, 10.2763246 36.7635429)",,
103473982,False,,,residential,False,106.33,"LINESTRING (10.2749929 36.7702639, 10.2752799 36.7693357)",,
103473982,False,,,residential,True,94.515,"LINESTRING (10.2749929 36.7702639, 10.2747488 36.7710911)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,False,68.725,"LINESTRING (10.2749929 36.7702639, 10.2757426 36.77041)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,True,71.047,"LINESTRING (10.2749929 36.7702639, 10.2742164 36.7701178)",,
28207626,False,,,residential,False,89.239,"LINESTRING (10.2764761 36.7705507, 10.2767175 36.7697718)",,
28207626,False,,,residential,True,95.098,"LINESTRING (10.2764761 36.7705507, 10.2762441 36.7713855)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,False,67.648,"LINESTRING (10.2764761 36.7705507, 10.2772182 36.7706801)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,True,67.181,"LINESTRING (10.2764761 36.7705507, 10.2757426 36.77041)",,
698276473,False,,شارع الحبيب بورقيبة,tertiary,True,75.388,"LINESTRING (10.2780438 36.7708294, 10.2776036 36.7707498, 10.2772182 36.7706801)",,
28207459,False,,,tertiary,True,65.64,"LINESTRING (10.268801 36.7673407, 10.2680641 36.7673396)",,
28207459,False,,,tertiary,False,64.215,"LINESTRING (10.268801 36.7673407, 10.2689821 36.7673321, 10.2692503 36.767302, 10.2695118 36.7672526)",,
103526869,False,,نهج عبد الله فرحات,residential,False,141.312,"LINESTRING (10.268801 36.7673407, 10.2687185 36.7679396, 10.2687152 36.7679794, 10.268727 36.7680029, 10.268748 36.7680213, 10.2688106 36.7680393, 10.2694381 36.7681904)",,
103510303,False,,نهج جلولي,residential,False,50.543,"LINESTRING (10.2710594 36.7667487, 10.2715677 36.7665467)",,
103510303,False,,نهج جلولي,residential,True,47.692,"LINESTRING (10.2710594 36.7667487, 10.27059 36.766955)",,
704577441,False,,,residential,False,22.422,"LINESTRING (10.2710594 36.7667487, 10.2710675 36.7668368, 10.2710809 36.7669496)",,
103510303,False,,نهج جلولي,residential,True,68.698,"LINESTRING (10.2722704 36.7662921, 10.2715677 36.7665467)",,
103526999,False,,نهج سيدي أبو يحي,residential,False,47.415,"LINESTRING (10.2722704 36.7662921, 10.2727078 36.7665351)",,
103510303,False,,نهج جلولي,residential,False,139.269,"LINESTRING (10.2722704 36.7662921, 10.2724032 36.766204, 10.2724984 36.7661224, 10.2726084 36.7660042, 10.2727807 36.7657807, 10.2728384 36.7657023, 10.2729343 36.7655917, 10.2730543 36.7654525, 10.2731281 36.7653763, 10.2732112 36.7653)",,
103510303,False,,نهج جلولي,residential,False,69.878,"LINESTRING (10.2732112 36.7653, 10.2737423 36.7648375)",,
103510303,False,,نهج جلولي,residential,True,139.269,"LINESTRING (10.2732112 36.7653, 10.2731281 36.7653763, 10.2730543 36.7654525, 10.2729343 36.7655917, 10.2728384 36.7657023, 10.2727807 36.7657807, 10.2726084 36.7660042, 10.2724984 36.7661224, 10.2724032 36.766204, 10.2722704 36.7662921)",,
103526823,False,,,residential,False,55.25,"LINESTRING (10.2732112 36.7653, 10.2734902 36.7654595, 10.2735214 36.7654732, 10.2735448 36.7654748, 10.2735706 36.7654676, 10.2737074 36.7653607)",,
28207511,False,,نهج مصر,residential,False,12.678,"LINESTRING (10.2713746 36.7640843, 10.2713228 36.7641905)",,
1264631682,False,,نهج الكرامة,residential,True,44.914,"LINESTRING (10.2713746 36.7640843, 10.271675 36.7637599)",,
701598494,False,,نهج لبنان,residential,False,64.031,"LINESTRING (10.2678508 36.7636917, 10.2678502 36.7637916, 10.2678569 36.7638781, 10.2678958 36.7639839, 10.2679823 36.7640698, 10.2681613 36.7641585)",,
28207515,False,,نهج البحرين,residential,False,64.271,"LINESTRING (10.2668671 36.7667895, 10.2668644 36.7673675)",,
103526895,False,,,residential,True,101.306,"LINESTRING (10.2668671 36.7667895, 10.2680042 36.7668066)",,
28207459,False,,,tertiary,False,53.783,"LINESTRING (10.2668644 36.7673675, 10.2674679 36.7673525)",,
28207515,False,,نهج البحرين,residential,False,31.856,"LINESTRING (10.2668644 36.7673675, 10.2668772 36.7676538)",,
28207515,False,,نهج البحرين,residential,True,64.271,"LINESTRING (10.2668644 36.7673675, 10.2668671 36.7667895)",,
28207512,False,,,residential,False,47.022,"LINESTRING (10.2680309 36.7663499, 10.2685509 36.7662771)",,
103526829,False,,,residential,False,50.649,"LINESTRING (10.2680309 36.7663499, 10.2680309 36.7668054)",,
103526895,False,,,residential,False,61.826,"LINESTRING (10.2687179 36.7667262, 10.2680309 36.7668054)",,
103526895,False,,,residential,True,47.506,"LINESTRING (10.2687179 36.7667262, 10.2692449 36.7666606)",,
