osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref
195637227,40,residential,False,True,76.409,,"LINESTRING (-82.9585728 22.7430303, -82.9586246 22.7423448)",,
317932754,27A,residential,False,False,80.12,,"LINESTRING (-82.9585728 22.7430303, -82.9593526 22.7430747)",,
404616889,27A,residential,False,False,2.825,,"LINESTRING (-82.9585728 22.7430303, -82.958549 22.7430431)",,
195637232,35,tertiary,False,False,59.421,50,"LINESTRING (-82.9579562 22.7405542, -82.9573783 22.7405154)",,
195644776,35,residential,False,False,82.287,,"LINESTRING (-82.9579562 22.7405542, -82.9587579 22.740585)",,
787020856,38,residential,False,False,83.257,,"LINESTRING (-82.9579562 22.7405542, -82.9579992 22.7398065)",,
195637219,38,tertiary,False,True,57.032,50,"LINESTRING (-82.9579562 22.7405542, -82.9579543 22.7405842, -82.9579233 22.7410662)",,
195644769,29,residential,False,True,83.39,,"LINESTRING (-82.9549038 22.7421569, -82.9557157 22.7421987)",,
404616895,30,residential,False,True,46.498,,"LINESTRING (-82.9549038 22.7421569, -82.9548556 22.7425727)",,
404616895,30,residential,False,False,83.459,,"LINESTRING (-82.9549038 22.7421569, -82.9549072 22.7421186, -82.9549697 22.7414088)",,
955936916,Avenida 31,primary,False,False,82.64,50,"LINESTRING (-82.9549697 22.7414088, -82.9557742 22.7414517)",2,CC
404616892,30,tertiary,False,False,58.352000000000004,50,"LINESTRING (-82.9549697 22.7414088, -82.9549766 22.7413018, -82.9550043 22.740885)",,
404616895,30,residential,False,True,83.459,,"LINESTRING (-82.9549697 22.7414088, -82.9549072 22.7421186, -82.9549038 22.7421569)",,
"[461789105, 955936916]",Avenida 31,primary,False,True,198.565,50,"LINESTRING (-82.9549697 22.7414088, -82.9544567 22.7413814, -82.9535249 22.7412342, -82.9530547 22.74116)",2,CC
195637230,48,residential,False,False,98.97,,"LINESTRING (-82.9619798 22.7387632, -82.961991 22.7396532)",,
195637230,48,residential,False,True,219.739,,"LINESTRING (-82.9619798 22.7387632, -82.9619798 22.7379617, -82.9620085 22.7369445, -82.9619849 22.7367889)",,
404616898,39,residential,False,True,94.047,,"LINESTRING (-82.9619798 22.7387632, -82.9613465 22.7390996, -82.9611641 22.7391343)",,
195637230,48,residential,False,True,78.554,,"LINESTRING (-82.9618172 22.7424935, -82.9618569 22.741788)",,
