osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge
22951866,High Street,unclassified,50,False,False,237.696,,"LINESTRING (172.1984527 -43.2971327, 172.1978989 -43.2950334)",,
"[214682451, 591439030]",Oxford Road,secondary,"['70', '50']",False,True,389.902,72,"LINESTRING (172.1984527 -43.2971327, 172.1992004 -43.2970305, 172.1997284 -43.2969629, 172.2000964 -43.2969117, 172.2003318 -43.2968894, 172.2005844 -43.2968763, 172.2008439 -43.2968717, 172.2009165 -43.2968715, 172.2011085 -43.2968708, 172.2028316 -43.2968894, 172.2032398 -43.2968923)",,
22951866,High Street,unclassified,50,False,True,237.696,,"LINESTRING (172.1978989 -43.2950334, 172.1984527 -43.2971327)",,
28916291,Transport Lane,residential,50,False,True,178.807,,"LINESTRING (172.1978989 -43.2950334, 172.1977742 -43.2950512, 172.195731 -43.2953435)",2,
147215860,High Street,unclassified,50,False,False,265.36,,"LINESTRING (172.1978989 -43.2950334, 172.1976518 -43.2940929, 172.1974769 -43.2934109, 172.1972877 -43.2926888)",,
147215860,High Street,unclassified,50,False,True,262.718,,"LINESTRING (172.1966844 -43.2903673, 172.1967148 -43.2904877, 172.1969041 -43.2911972, 172.1972877 -43.2926888)",,
28916291,Transport Lane,residential,50,False,False,178.807,,"LINESTRING (172.195731 -43.2953435, 172.1977742 -43.2950512, 172.1978989 -43.2950334)",2,
"[592919529, 592919530, 178733909]",Stonebridge Lane,residential,50,False,True,97.28,,"LINESTRING (172.195731 -43.2953435, 172.19576 -43.2954598, 172.1958256 -43.295723, 172.1958453 -43.2958022, 172.1959134 -43.2960859, 172.1959455 -43.2962043)",2,yes
"[592919529, 592919530, 178733909]",Stonebridge Lane,residential,50,False,False,97.28,,"LINESTRING (172.1959455 -43.2962043, 172.1959134 -43.2960859, 172.1958453 -43.2958022, 172.1958256 -43.295723, 172.19576 -43.2954598, 172.195731 -43.2953435)",2,yes
147215860,High Street,unclassified,50,False,False,262.718,,"LINESTRING (172.1972877 -43.2926888, 172.1969041 -43.2911972, 172.1967148 -43.2904877, 172.1966844 -43.2903673)",,
147215860,High Street,unclassified,50,False,True,265.36,,"LINESTRING (172.1972877 -43.2926888, 172.1974769 -43.2934109, 172.1976518 -43.2940929, 172.1978989 -43.2950334)",,
214676287,Knight Street East,residential,50,False,True,166.041,,"LINESTRING (172.1972877 -43.2926888, 172.1971752 -43.2926987, 172.1966211 -43.2927474, 172.196089 -43.2927861, 172.1960217 -43.2927923, 172.1959808 -43.2928104, 172.1959721 -43.2928421, 172.1959795 -43.2928817, 172.1961323 -43.2933268)",2,
"[214682451, 591439030]",Oxford Road,secondary,"['70', '50']",False,False,389.90200000000004,72,"LINESTRING (172.2032398 -43.2968923, 172.2028316 -43.2968894, 172.2011085 -43.2968708, 172.2009165 -43.2968715, 172.2008439 -43.2968717, 172.2005844 -43.2968763, 172.2003318 -43.2968894, 172.2000964 -43.2969117, 172.1997284 -43.2969629, 172.1992004 -43.2970305, 172.1984527 -43.2971327)",,
214676287,Knight Street East,residential,50,False,False,166.041,,"LINESTRING (172.1961323 -43.2933268, 172.1959795 -43.2928817, 172.1959721 -43.2928421, 172.1959808 -43.2928104, 172.1960217 -43.2927923, 172.196089 -43.2927861, 172.1966211 -43.2927474, 172.1971752 -43.2926987, 172.1972877 -43.2926888)",2,
