osmid,oneway,ref,name,highway,reversed,length,geometry,junction,bridge,maxspeed,width
261641751,True,PB-082;ITA-201,Praça Manoel Joaquim de Araújo,secondary,False,24.258,"LINESTRING (-35.3315262 -7.3256239, -35.3315889 -7.3256398, -35.3316868 -7.3257593)",,,,
261641911,False,,Rua Erivaldo Corrêia da Silva,residential,True,69.742,"LINESTRING (-35.3400366 -7.3259723, -35.3394822 -7.3256706)",,,,
261642026,True,BR-408;PB-066;ITA-103,Av. João Rodrigues de Almeida,primary,False,12.421,"LINESTRING (-35.3375241 -7.3255377, -35.3375496 -7.3256465)",,,,
325122694,True,,,primary,False,13.030999999999999,"LINESTRING (-35.3375241 -7.3255377, -35.3375056 -7.3255605, -35.3374806 -7.3255761, -35.3374518 -7.3255828, -35.3374224 -7.3255799)",roundabout,,,
261641868,True,BR-408;PB-066;ITA-202,Avenida Deputado Adauto Pereira de Lima,secondary,False,12.487,"LINESTRING (-35.3373068 -7.3256006, -35.3373565 -7.3254997)",,,,
"[1223254712, 261641737, 261641875]",False,BR-408;PB-066;ITA-202,"['Avenida Deputado Adauto Pereira de Lima', 'Ponte Prefeito Severino Ramos da Silva']",secondary,False,387.895,"LINESTRING (-35.3373068 -7.3256006, -35.3370343 -7.3258234, -35.3367373 -7.3260688, -35.3357247 -7.3269372, -35.3346909 -7.3278272, -35.3346381 -7.3278726)",,yes,40,
261642028,True,BR-408;PB-066;ITA-103,Av. João Rodrigues de Almeida,primary,False,15.863,"LINESTRING (-35.3375496 -7.3256465, -35.3374224 -7.3255799)",,,,
459024053,False,BR-408;PB-066;ITA-103,Avenida João Rodrigues de Almeida,primary,True,55.455,"LINESTRING (-35.3375496 -7.3256465, -35.3377233 -7.3258188, -35.3379052 -7.3259991)",,,,
261641751,True,PB-082;ITA-201,Praça Manoel Joaquim de Araújo,secondary,False,115.72999999999999,"LINESTRING (-35.3316868 -7.3257593, -35.332012 -7.3261396, -35.3323214 -7.3265865)",,,,
"[261642184, 261642211]",False,,"['Rua Heroína Maria Cleide', 'Rua José Joaquim do Nascimento']",residential,True,305.264,"LINESTRING (-35.3316868 -7.3257593, -35.3321033 -7.3251371, -35.3321621 -7.3251261, -35.3326963 -7.3256575, -35.3328801 -7.3258558, -35.3331034 -7.3260644, -35.3333372 -7.3262953, -35.3335197 -7.3265191)",,,,
261642241,False,,,residential,False,11.64,"LINESTRING (-35.3316868 -7.3257593, -35.3316496 -7.3257936, -35.3316167 -7.325837)",,,,
459024053,False,BR-408;PB-066;ITA-103,Avenida João Rodrigues de Almeida,primary,False,55.455,"LINESTRING (-35.3379052 -7.3259991, -35.3377233 -7.3258188, -35.3375496 -7.3256465)",,,,
459024053,False,BR-408;PB-066;ITA-103,Avenida João Rodrigues de Almeida,primary,True,80.3,"LINESTRING (-35.3379052 -7.3259991, -35.3380347 -7.3261178, -35.3381252 -7.3261996, -35.3381809 -7.3262442, -35.3382546 -7.3262947, -35.3383291 -7.3263406, -35.3383713 -7.3263626, -35.3384122 -7.3263772, -35.3384511 -7.3263879, -35.3384987 -7.3263992)",,,,
261641960,False,,Rua Idalício Francisco da Fonseca,residential,True,95.04,"LINESTRING (-35.3330401 -7.3261149, -35.3323214 -7.3265865)",,,,
459024053,False,BR-408;PB-066;ITA-103,Avenida João Rodrigues de Almeida,primary,False,80.29999999999998,"LINESTRING (-35.3384987 -7.3263992, -35.3384511 -7.3263879, -35.3384122 -7.3263772, -35.3383713 -7.3263626, -35.3383291 -7.3263406, -35.3382546 -7.3262947, -35.3381809 -7.3262442, -35.3381252 -7.3261996, -35.3380347 -7.3261178, -35.3379052 -7.3259991)",,,,
459024053,False,BR-408;PB-066;ITA-103,Avenida João Rodrigues de Almeida,primary,True,71.077,"LINESTRING (-35.3384987 -7.3263992, -35.3388332 -7.3264269, -35.3391415 -7.3264445)",,,,
