osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,maxspeed
204305214,True,Avenida Brasil,tertiary,False,90.566,,"LINESTRING (-52.2589641 -23.8000157, -52.259675 -23.7995255)",,
111069555,True,,tertiary,False,12.065999999999999,roundabout,"LINESTRING (-52.2589641 -23.8000157, -52.2589756 -23.8000503, -52.2589741 -23.8000865, -52.2589596 -23.8001201)",,
111069567,True,Avenida Ivaí,tertiary,False,9.404,,"LINESTRING (-52.256628 -23.8016078, -52.2566655 -23.8016851)",,
433713347,True,Avenida Brasil,residential,False,123.24600000000001,,"LINESTRING (-52.256628 -23.8016078, -52.2568412 -23.8014544, -52.2571014 -23.801274, -52.2575989 -23.8009452)",,
111069526,True,Avenida Sete de Setembro,tertiary,False,9.722,,"LINESTRING (-52.2586786 -23.8000918, -52.2587463 -23.8000301)",,
111069537,True,Avenida Brasil,residential,False,14.118,,"LINESTRING (-52.2566655 -23.8016851, -52.2565515 -23.8017575)",,
111069567,True,Avenida Ivaí,tertiary,False,71.342,,"LINESTRING (-52.2566655 -23.8016851, -52.2569405 -23.8022753)",,
204398725,True,Avenida Carlota Fontanari,primary,False,26.112,,"LINESTRING (-52.2576472 -23.803803, -52.2579036 -23.8037924)",1,40
111069526,True,Avenida Sete de Setembro,tertiary,False,35.267,,"LINESTRING (-52.2576472 -23.803803, -52.2577491 -23.8036913, -52.2578001 -23.8036017, -52.2578229 -23.8035342)",,
111069651,False,Rua Engenheiro Rebouças,residential,False,116.023,,"LINESTRING (-52.2589322 -23.8001488, -52.259624 -23.8009783)",,
111069555,True,,tertiary,False,8.126999999999999,roundabout,"LINESTRING (-52.2589322 -23.8001488, -52.2588972 -23.8001664, -52.2588578 -23.8001724)",,
111069558,True,Avenida Sete de Setembro,tertiary,False,30.127,,"LINESTRING (-52.2580093 -23.8032937, -52.2579651 -23.8034263, -52.2579382 -23.8035563)",,
"[204305221, 111069575]",False,Rua Otorino Paro,tertiary,"[False, True]",165.326,,"LINESTRING (-52.2580093 -23.8032937, -52.2580375 -23.8034643, -52.2580791 -23.8036214, -52.2581126 -23.8037023, -52.2581635 -23.8037465, -52.2582373 -23.8037821, -52.2583325 -23.8037956, -52.2587134 -23.8037796, -52.25924 -23.8036986)",,
111069555,True,,tertiary,False,9.144,roundabout,"LINESTRING (-52.2587911 -23.7999755, -52.2588176 -23.7999628, -52.2588468 -23.7999567, -52.2588768 -23.7999575)",,
204493834,True,Avenida Sete de Setembro,tertiary,False,102.225,,"LINESTRING (-52.2587911 -23.7999755, -52.2588797 -23.7998224, -52.2589501 -23.7997231, -52.2593692 -23.7992261)",,
111069555,True,,tertiary,False,2.494,roundabout,"LINESTRING (-52.2587463 -23.8000301, -52.2587565 -23.8000097)",,
111069555,True,,tertiary,False,11.364,roundabout,"LINESTRING (-52.2588768 -23.7999575, -52.2589122 -23.799968, -52.2589423 -23.7999881, -52.2589641 -23.8000157)",,
111069648,False,Rua José Bueno de Godoy,residential,False,125.7,,"LINESTRING (-52.2587565 -23.8000097, -52.2577797 -23.7993175)",,
111069555,True,,tertiary,False,5.215,roundabout,"LINESTRING (-52.2587565 -23.8000097, -52.2587717 -23.7999908, -52.2587911 -23.7999755)",,
111069537,True,Avenida Brasil,residential,False,19.16,,"LINESTRING (-52.258763 -23.8002752, -52.2586101 -23.8003758)",,
111069558,True,Avenida Sete de Setembro,tertiary,False,161.29,,"LINESTRING (-52.258763 -23.8002752, -52.2584076 -23.8016888)",,
111069558,True,Avenida Sete de Setembro,tertiary,False,14.956,,"LINESTRING (-52.2588578 -23.8001724, -52.258763 -23.8002752)",,
111069555,True,,tertiary,False,22.593,roundabout,"LINESTRING (-52.2588578 -23.8001724, -52.2588213 -23.8001669, -52.2587884 -23.8001514, -52.2587624 -23.8001273, -52.2587458 -23.800097, -52.2587403 -23.8000635, -52.2587463 -23.8000301)",,
433713347,True,Avenida Brasil,residential,False,14.195,,"LINESTRING (-52.256514 -23.8016814, -52.256628 -23.8016078)",,
433713348,True,Avenida Ivaí,tertiary,False,68.292,,"LINESTRING (-52.256514 -23.8016814, -52.2562379 -23.8011216)",,
433713346,True,Avenida Ivaí,tertiary,False,9.282,,"LINESTRING (-52.2565515 -23.8017575, -52.256514 -23.8016814)",,
433713345,True,Avenida Pe Helio José da Costa,residential,False,112.46600000000001,,"LINESTRING (-52.2565515 -23.8017575, -52.255936 -23.8020225, -52.2555377 -23.8021587)",,
111069526,True,Avenida Sete de Setembro,tertiary,False,32.339,,"LINESTRING (-52.2586101 -23.8003758, -52.2586786 -23.8000918)",,
111069537,True,Avenida Brasil,residential,False,122.502,,"LINESTRING (-52.2586101 -23.8003758, -52.2576392 -23.8010274)",,
111069650,False,Rua Antônio Fonseca da Silva,residential,False,89.548,,"LINESTRING (-52.2589293 -23.8014728, -52.259624 -23.8009783)",,
111069658,False,Avenida Renil Polato,residential,False,58.258,,"LINESTRING (-52.2589293 -23.8014728, -52.2584076 -23.8016888)",,
111069658,False,Avenida Renil Polato,residential,True,90.033,,"LINESTRING (-52.2589293 -23.8014728, -52.259738 -23.801144)",,
111069650,False,Rua Antônio Fonseca da Silva,residential,True,97.689,,"LINESTRING (-52.2633268 -23.798431, -52.262557 -23.7989561)",,
111069654,False,Rua Bandeirantes,residential,True,136.906,,"LINESTRING (-52.2633268 -23.798431, -52.2633543 -23.7984684, -52.2634012 -23.7985279, -52.2634462 -23.7985819, -52.2635132 -23.7986629, -52.2635901 -23.7987577, -52.2636895 -23.7988799, -52.2641301 -23.7994187)",,
111069649,False,Rua São Paulo,residential,False,106.567,,"LINESTRING (-52.2575989 -23.8009452, -52.2571881 -23.8000636)",,
111069649,False,Rua São Paulo,residential,True,10.018,,"LINESTRING (-52.2575989 -23.8009452, -52.2576392 -23.8010274)",,
433713347,True,Avenida Brasil,residential,False,146.03300000000002,,"LINESTRING (-52.2575989 -23.8009452, -52.2583969 -23.8003955, -52.25848 -23.8003255, -52.2586786 -23.8000918)",,
111069558,True,Avenida Sete de Setembro,tertiary,False,34.629,,"LINESTRING (-52.2580817 -23.8029894, -52.2580093 -23.8032937)",,
111069655,False,Rua Padre Aloisio Jacob,residential,False,80.321,,"LINESTRING (-52.2580817 -23.8029894, -52.2588113 -23.8027134)",,
111069655,False,Rua Padre Aloisio Jacob,residential,True,13.565,,"LINESTRING (-52.2580817 -23.8029894, -52.257953 -23.8030213)",,
111069526,True,Avenida Sete de Setembro,tertiary,False,156.074,,"LINESTRING (-52.2582735 -23.8017452, -52.2586101 -23.8003758)",,
111069658,False,Avenida Renil Polato,residential,False,29.34,,"LINESTRING (-52.2582735 -23.8017452, -52.2580053 -23.8018422)",,
111069658,False,Avenida Renil Polato,residential,True,15.015,,"LINESTRING (-52.2582735 -23.8017452, -52.2584076 -23.8016888)",,
111069649,False,Rua São Paulo,residential,True,15.527,,"LINESTRING (-52.255944 -23.7977008, -52.2560768 -23.7977696)",,
204398732,False,Rua Paranaguá,residential,False,130.364,,"LINESTRING (-52.255944 -23.7977008, -52.2546636 -23.797656)",,
